Type,Day cases,Report Date,School Name,Address 1,County,Local Authority,Eircode,Region,Roll Number,Lat,Long
Secondary,1,1.05.2021,Killina Presentation Secondary School,Rahan,Offaly,Offaly County Council,R35PX95,Leinster,65630B,-7.6153168,53.2810415
Primary,1,1.05.2021,Bun Scoil Muire,Youghal,Cork,Cork County Council,P36PR62,Munster,20024C,-7.850556,51.95
Secondary,1,1.05.2021,Coláiste Lorcain,Castledermot,Kildare,Kildare County Council,R14X620,Leinster,70670R,-6.8368376,52.9119491
Primary,1,1.05.2021,Corpus Christi NS,"Drumcondra, D9",Dublin,Dublin City Council,D09K270,Dublin,16860Q,-6.259665718431606,53.36334425
Secondary,1,1.05.2021,Deele College,Lifford,Donegal,Donegal County Council,F93D237,Ulster,71230R,-7.483095,54.832219
Primary,1,1.05.2021,Askea Boys NS,Carlow,Carlow,Carlow County Council,R93VX27,Leinster,19477J,-6.8250188975846555,52.69053605
Secondary,1,1.05.2021,Naas Community College,Naas,Kildare,Kildare County Council,W91PD87,Leinster,76194S,-6.6574093,53.2214677
Pre-school,1,1.05.2021,Naíonra Lios na nÓg* (not a school),Athlone,Westmeath,,,Leinster,Creche50,-7.942705,53.4230832
Primary,1,1.05.2021,Scoil Bhríde Milltown,Newbridge,Kildare,Kildare County Council,W12PF82,Leinster,16654N,-6.7982137,53.180124
Primary,1,1.05.2021,Scoil Mhuire,Tallow,Waterford,Waterford County Council,P51W212,Munster,19616U,-7.996715473942556,52.067453799999996
Primary,1,1.05.2021,St Patrick's NS,"Castleknock, D15",Dublin,Fingal County Council,D15PH21,Dublin,20130B,-6.3714239,53.3815285
Secondary,1,1.05.2021,St Raphael's College,Loughrea,Galway,Galway County Council,H62K271,Connacht,63070C,-8.5690594,53.1981624
Primary,1,1.05.2021,Clashmore NS,Clashmore,Waterford,Waterford County Council,P36ET78,Munster,02889O,-7.8193151,52.0089017
Primary,1,1.05.2021,Scoil Mhuire,Newbridge,Kildare,Kildare County Council,W12HD29,Leinster,19452Q,-6.7982137,53.180124
Primary,1,1.05.2021,Scoil Na Naomh Uilig,Newbridge,Kildare,Kildare County Council,W12FK10,Leinster,20271T,-6.7982137,53.180124
Secondary,3,1.05.2021,Pobalscoil na Tríonóide,Youghal,Cork,Cork County Council,P36Y763,Munster,91513S,-7.850556,51.95
Primary,2,30.04.2021,Abacas Special School,"Kilnamanagh, D24",Dublin,South Dublin County Council,D24A2XF,Dublin,20378O,-6.353967184457755,53.30683895
Pre-school,1,30.04.2021,Bright Sparks Montessori* (not a school),Borrisokane,Tipperary,,,Munster,Creche49,-8.1329107015534,52.99975125
Primary,1,30.04.2021,Clashmore NS,Clashmore,Waterford,Waterford County Council,P36ET78,Munster,02889O,-7.8193151,52.0089017
Primary,1,30.04.2021,Clonaghadoo NS,Geashill,Laois,Laois County Council,R35W427,Leinster,16160L,-7.3221015,53.2353767
Primary,1,30.04.2021,Collon NS,Collon,Louth,Louth County Council,A92WV96,Leinster,14578N,-6.4868544,53.7778345
Secondary,1,30.04.2021,Edmund Rice College,"Blanchardstown, D15",Dublin,Fingal County Council,,Dublin,68306H,-6.3777514,53.389792
Secondary,1,30.04.2021,Kennedy College,New Ross,Wexford,Wexford County Council,Y34YW08,Leinster,71660T,-6.9446066,52.3955671
Secondary,3,30.04.2021,Larkin Comm. College,"Champions Avenue, D1",Dublin,Dublin City Council,D01WD93,Dublin,76077O,-6.256385,53.3519005
Secondary,1,30.04.2021,Newpark Comp. School,Blackrock,Dublin,Dun Laoghaire Rathdown,A94EV70,Dublin,81001I,-6.1788342,53.3018639
Primary,1,30.04.2021,Scoil Mhuire,Oranmore,Galway,Galway County Council,H91F9T8,Connacht,13365O,-8.9285692,53.2725116
Primary,1,30.04.2021,St Declan's NS,Ashbourne,Meath,Meath County Council,A84KT02,Leinster,19486K,-6.3981743,53.5116146
Secondary,1,30.04.2021,St Dominic's College,"Cabra, D7",Dublin,Dublin City Council,D07NX47,Dublin,60731F,-6.2817747,53.3641011
Primary,1,30.04.2021,St Joseph's NS,Glenealy,Wicklow,Wicklow County Council,A67CD78,Leinster,00984V,-6.1430173,52.9668073
Primary,3,30.04.2021,St Mary's Parish Primary School,Drogheda,Louth,Louth County Council,A92XD80,Leinster,20205G,-6.3524183,53.7149877
Primary,1,30.04.2021,St Nicholas Primary School,Longwood,Meath,Meath County Council,A83K889,Leinster,16655P,-6.9242396,53.4550951
Secondary,1,30.04.2021,CBS High School,Clonmel,Tipperary,Tipperary (SR) County Council,E91AC03,Munster,65320J,-7.703889,52.355
Secondary,1,30.04.2021,Clonturk College,"Whitehall, D9",Dublin,Dublin City Council,D09W5K6,Dublin,76394D,-6.2431944,53.382668
Secondary,1,30.04.2021,Confey Community College,Leixlip,Kildare,Kildare County Council,W23VH66,Leinster,70691C,-6.4897438,53.3644766
Primary,1,30.04.2021,Scoil Cholmcille,Newtowncunningham,Donegal,Donegal County Council,F93WN51,Ulster,16820E,,
Primary,1,30.04.2021,St Joseph's Primary,"Fairview, D3",Dublin,Dublin City Council,D03H524,Dublin,18726W,-6.235517,53.36313
Primary,1,30.04.2021,St Paul's NS,Dooradoyle,Limerick,Limerick County Council,V94Y62V,Munster,19336O,-8.6494406,52.6359639
Secondary,1,30.04.2021,Árdscoil Rís,"Marino, D9",Dublin,Dublin City Council,D09AK30,Dublin,60420L,-6.2347491,53.3663095
Primary,1,30.04.2021,Scoil Bhríde,Naas,Kildare,Kildare County Council,W91YA62,Leinster,20114D,-6.6574093,53.2214677
Secondary,1,30.04.2021,Rosses Comm. School,Dungloe,Donegal,Donegal County Council,F94NX79,Ulster,91407T,,
Secondary,2,30.04.2021,Colaiste De Lacy,Ashbourne,Meath,Meath County Council,A84VF79,Leinster,76196W,-6.3981743,53.5116146
Secondary,3,30.04.2021,Pobalscoil na Tríonóide,Youghal,Cork,Cork County Council,P36Y763,Munster,91513S,-7.850556,51.95
Secondary,1,30.04.2021,Killina Presentation Secondary School,Rahan,Offaly,Offaly County Council,R35PX95,Leinster,65630B,-7.6153168,53.2810415
Primary,1,30.04.2021,Scoil Einne,Spiddal,Galway,Galway County Council,H91N9C9,Connacht,20115F,-9.3063031,53.2443899
Primary,1,30.04.2021,St Brigid's Senior Girls,"Finglas West, D11",Dublin,Dublin City Council,D11X262,Dublin,19929S,-6.305873184309119,53.3864407
Primary,1,30.04.2021,Marist National School,"Crumlin, D12",Dublin,Dublin City Council,D12YP98,Dublin,18386B,-6.3161673,53.3202316
Primary,2,30.04.2021,Scoil Maelruain Senior,"Tallaght, D24",Dublin,South Dublin County Council,D24EV18,Dublin,19463V,-6.3746438,53.2874685
Secondary,1,29.04.2021,St Oliver's Comm. College,Drogheda,Louth,Louth County Council,A92D766,Leinster,71761C,-6.3524183,53.7149877
Secondary,2,29.04.2021,Coláiste Chiaráin,Athlone,Roscommon,Roscommon County Council,N37AH97,Connacht,68325L,-8.04471113233565,53.45738255
Secondary,1,29.04.2021,Coláiste Choilm,Ballincollig,Cork,Cork County Council,P31NY77,Munster,71103K,-8.5893917,51.8883458
Secondary,1,29.04.2021,Gael-Choláiste Chill Dara,Naas,Kildare,Kildare County Council,W91E282,Leinster,68072I,-6.6574093,53.2214677
Primary,1,29.04.2021,Gaelscoil Chill Mhantáin,Merrymeeting,Wicklow,Wicklow County Council,A67N797,Leinster,20045K,-6.07654780153052,52.990481700000004
Primary,1,29.04.2021,Gaelscoil Ui Drisceoil,Glanmire,Cork,Cork County Council,T45YY19,Munster,20239A,-8.3960403,51.9196904
Secondary,1,29.04.2021,Greenhills College,"Greenhills, D12",Dublin,South Dublin County Council,D12DP8W,Dublin,70130I,-6.218504149999999,53.2978468
Secondary,1,29.04.2021,Nenagh College,Nenagh,Tipperary,Tipperary (NR) County Council,E45VF51,Munster,72440K,-8.196667,52.861944
Secondary,1,29.04.2021,O'Carolan College,Nobber,Meath,Meath County Council,A82PK51,Leinster,71980O,-6.750556,53.822778
Primary,1,29.04.2021,Powerstown Educate Together National School,"Tyrrelstown, D15",Dublin,Fingal County Council,D15VR80,Dublin,20384J,-6.392217673487099,53.416537649999995
Primary,1,29.04.2021,Cornafulla NS,Athlone,Roscommon,Roscommon County Council,N37FW74,Connacht,01607T,-8.04471113233565,53.45738255
Primary,1,29.04.2021,Scoil Na Naomh Uilig,Newbridge,Kildare,Kildare County Council,W12FK10,Leinster,20271T,-6.7982137,53.180124
Primary,4,29.04.2021,St Fiachra's SNS,"Beaumont, D5",Dublin,Dublin City Council,D05K3C3,Dublin,19628E,-6.2329828,53.3860585
Secondary,9,29.04.2021,St Gerard's School,Bray,Wicklow,Dun Laoghaire Rathdown,A98R242,Leinster,61811I,-6.1105049,53.2014604
Secondary,1,29.04.2021,St Mary's Secondary School,"Killester, D5",Dublin,Dublin City Council,D05K588,Dublin,60791A,-6.2049747,53.3727798
Secondary,1,29.04.2021,Thomond Comm. College,Limerick City,Limerick,Limerick City Council,V94V342,Munster,76414G,-8.6301239,52.661252
Primary,1,29.04.2021,Trim ETNS,Trim,Meath,Meath County Council,C15KA9P,Leinster,20444B,-6.789775120801938,53.5542857
Pre-school,1,29.04.2021,Newtowncunningham Community Playgroup* (not a school),Newtowncunningham,Donegal,,,Ulster,Creche47,,
Primary,1,29.04.2021,Scoil Mochua,Celbridge,Kildare,Kildare County Council,W23YY00,Leinster,19794V,-6.5396223,53.3383004
Secondary,1,29.04.2021,Beech Hill College,Tirkeenan,Monaghan,Monaghan County Council,H18P997,Ulster,72210Q,,
Primary,1,29.04.2021,Lusk JNS,Lusk,Dublin,Fingal County Council,,Dublin,20509D,-6.1658125,53.5255827
Primary,1,29.04.2021,Athenry Boys NS,Athenry,Galway,Galway County Council,H65R921,Connacht,17280D,-8.7468297,53.2991901
Primary,1,29.04.2021,St Brigid's GNS,"Killester, D5",Dublin,Dublin City Council,D05YV44,Dublin,16792C,-6.2049747,53.3727798
Secondary,1,29.04.2021,St Kevin's College,"Finglas, D11",Dublin,Dublin City Council,D11VF10,Dublin,60581M,-6.2992966,53.3902233
Primary,1,29.04.2021,St Conleths And Marys NS,Newbridge,Kildare,Kildare County Council,W12VN26,Leinster,17872F,-6.7982137,53.180124
Secondary,2,29.04.2021,St Brigid's College,Loughrea,Galway,Galway County Council,H62XF63,Connacht,71280J,-8.5690594,53.1981624
Secondary,2,29.04.2021,Rosses Comm. School,Dungloe,Donegal,Donegal County Council,F94NX79,Ulster,91407T,,
Secondary,2,29.04.2021,Pobalscoil na Tríonóide,Youghal,Cork,Cork County Council,P36Y763,Munster,91513S,-7.850556,51.95
Primary,8,29.04.2021,Scoil Maelruain Senior,"Tallaght, D24",Dublin,South Dublin County Council,D24EV18,Dublin,19463V,-6.3746438,53.2874685
Primary,1,29.04.2021,Ballyhass Mixed NS,Cecilstown,Cork,Cork County Council,P51K590,Munster,04953H,-8.7782713,52.1692203
Secondary,1,29.04.2021,Dominican College,"Drumcondra, D9",Dublin,Dublin City Council,D09A5X0,Dublin,60690R,-6.259665718431606,53.36334425
Primary,2,29.04.2021,Griffith Barracks Multi D School,"South Circular Road, D8",Dublin,Dublin City Council,D08KVY4,Dublin,20012S,-6.2869247,53.3322802
Primary,1,28.04.2021,St Laserians Mxd NS,Leighlinbridge,Carlow,Carlow County Council,R93YY72,Leinster,19784S,-6.9766258,52.7360233
Primary,1,28.04.2021,Gaelscoil Chorain,Youghal,Cork,Cork County Council,P36N263,Munster,19833F,-7.850556,51.95
Secondary,1,28.04.2021,Loreto Comm. School,Milford,Donegal,Donegal County Council,F92FK13,Ulster,91500J,-74.364454,41.059956
Primary,1,28.04.2021,St Joseph's Primary,"Fairview, D3",Dublin,Dublin City Council,D03H524,Dublin,18726W,-6.235517,53.36313
Primary,1,28.04.2021,St Joseph's Mxd NS,Dublin 3,Dublin,Dublin City Council,D03HF24,Dublin,19774P,-6.1854668060000355,53.361223100000004
Primary,1,28.04.2021,St Canices BNS,"Finglas, D11",Dublin,Dublin City Council,D11TW01,Dublin,18682F,-6.2992966,53.3902233
Secondary,1,28.04.2021,Lusk Comm. College,Lusk,Dublin,Fingal County Council,K45WN50,Dublin,76213T,-6.1658125,53.5255827
Primary,1,28.04.2021,Gaelscoil Ros Eo,Rush,Dublin,Fingal County Council,K56C867,Dublin,20334R,-6.0908956,53.5220444
Primary,1,28.04.2021,Holywell Educate Together National School,Swords,Dublin,Fingal County Council,K67AP99,Dublin,20348F,-6.2184562,53.4598264
Primary,1,28.04.2021,St Peter Apostle JNS,"Clondalkin, D22",Dublin,South Dublin County Council,D22AK09,Dublin,19569O,-6.3942689,53.3219624
Primary,2,28.04.2021,Scoil Maelruain Senior,"Tallaght, D24",Dublin,South Dublin County Council,D24EV18,Dublin,19463V,-6.3746438,53.2874685
Secondary,1,28.04.2021,Coláiste Mhuirlinne/Merlin College,Doughiska Road,Galway,Galway City Council,H91309Y,Connacht,76096S,-8.9815801,53.2845757
Secondary,1,28.04.2021,Scoil Chuimsitheach Chiaráin,Carraroe,Galway,Galway County Council,H91N267,Connacht,81012N,-9.599728,53.2636035
Pre-school,1,28.04.2021,Chuckles Creche* (not a school),Rathangan,Kildare,Kildare County Council,,Leinster,Creche45,-6.9929735,53.2203302
Primary,1,28.04.2021,Scoil Na Mainistreach,Celbridge,Kildare,Kildare County Council,W23VR98,Leinster,18551N,-6.5396223,53.3383004
Primary,1,28.04.2021,Presentation Primary School,Limerick City,Limerick,Limerick City Council,V94P028,Munster,20018H,-8.6301239,52.661252
Secondary,1,28.04.2021,St Joseph's Secondary School,Foxford,Mayo,Mayo County Council,F26W866,Connacht,64640W,-9.116667,53.983333
Primary,1,28.04.2021,Ard Rí CNS,Navan,Meath,Meath County Council,C15D340,Leinster,20352T,-6.6833615,53.651908
Secondary,1,28.04.2021,Coláiste Na Mí,Navan,Meath,Meath County Council,C15T028,Leinster,76173K,-6.6833615,53.651908
Primary,1,28.04.2021,Gaelscoil Eanna,Navan,Meath,Meath County Council,C15WF67,Leinster,19725C,-6.6833615,53.651908
Secondary,1,28.04.2021,Coláiste Muire,Ballymote,Sligo,Sligo County Council,F56NA09,Connacht,65140H,-8.5155338,54.0885294
Secondary,1,28.04.2021,Loreto Secondary School,Bray,Wicklow,Wicklow County Council,A98C822,Leinster,61820J,-6.1105049,53.2014604
Pre-school,1,28.04.2021,Building Blocks Montessori* (not a school),Arklow,Wicklow,Wicklow County Council,Y14KX31,Leinster,Creche46,-6.1540035,52.798221
Secondary,1,28.04.2021,St Oliver's Comm. College,Drogheda,Louth,Louth County Council,A92D766,Leinster,71761C,-6.3524183,53.7149877
Pre-school,1,28.04.2021,Gaelscoil na gCloch Liath Preschool* (not a school),Greystones,Wicklow,,,Leinster,Creche48,-6.0632184,53.1448901
Secondary,1,28.04.2021,St Macartan's College,Mullamurphy,Monaghan,Monaghan County Council,H18X704,Ulster,64810V,,
Primary,1,28.04.2021,St Raphael's Special School,CELBRIDGE,Kildare,Kildare County Council,W23F2P5,Leinster,18988G,-6.5396223,53.3383004
Secondary,1,28.04.2021,Moate Comm. School,Moate,Westmeath,Westmeath County Council,N37DY70,Leinster,91501L,-7.7240549,53.3962015
