Report Date,School Name,Address,County,Daily Cases,Eircode,location,Long,Lat,type
30.04.2021,St Joseph's NS,Glenealy,Wicklow,1,A67CD78,"St. Joseph's NS, L70712, Ballymitty ED, The Borough District of Wexford, County Wexford, Leinster, Éire / Ireland",-6.71504365,52.27869355,S
30.04.2021,Clashmore NS,Clashmore,Waterford,1,P36ET78,"Clashmore, The Municipal District of Dungarvan — Lismore, County Waterford, Munster, Éire / Ireland",-7.824900840222208,52.0158498,SA
30.04.2021,Scoil Mhuire,Oranmore,Galway,1,H91F9T8,"Briarhill National School, R339, Ballybaan, Ballintemple ED, Athenry-Oranmore Municipal District, County Galway, Connacht, H91 W9KH, Éire / Ireland",-8.9797820131175,53.294665,SA
30.04.2021,Collon NS,Collon,Louth,1,A92WV96,"Collon, Collon ED, The Municipal District of Ardee, County Louth, Leinster, A92 K168, Éire / Ireland",-6.488994670718943,53.7820371,SA
30.04.2021,Clonaghadoo NS,Geashill,Laois,1,R35W427,"Clonaghadoo, Cappalough ED, The Municipal District of Borris-in-Ossory — Mountmellick, County Laois, Leinster, Éire / Ireland",-7.366184427328035,53.17246435,S
30.04.2021,St Nicholas Primary School,Longwood,Meath,1,A83K889,"St. Nicholas Primary School, 8, Minorca Drive, Carrickfergus, County Antrim, Northern Ireland, BT38 8AU, United Kingdom",-5.814891819199742,54.71393665,S
30.04.2021,Scoil Cholmcille,Newtowncunningham,Donegal,1,F93WN51,"Scoil Cholmcille, R241, Moville ED, Inishowen Municipal District, County Donegal, Éire / Ireland",-6.982328917237192,55.2043221,S
30.04.2021,Marist National School,"Crumlin, D12",Dublin,1,D12YP98,"Marist National School, Clogher Road, Crumlin C ED, Dublin, Dublin 12, Leinster, D6W HY98, Éire / Ireland",-6.292894655253282,53.326080149999996,SA
30.04.2021,St Joseph's Primary,"Fairview, D3",Dublin,1,D03H524,"Saint Joseph's Primary, Saint Joseph's View, Riverstown, Cobh Municipal District, County Cork, Munster, T45 XA50, Éire / Ireland",-8.392943265185291,51.92990435,S
30.04.2021,St Paul's NS,Dooradoyle,Limerick,1,V94Y62V,"Saint Paul's, Saint Paul's Roundabout, Dooradoyle, Ballycummin ED, The Metropolitan District of Limerick City, County Limerick, Munster, V94 EE0P, Éire / Ireland",-8.65246866594546,52.63836395,SA
30.04.2021,Scoil Maelruain Senior,"Tallaght, D24",Dublin,2,D24EV18,"<[OK] Osm - Geocode [Tallaght, Belgard Square West, Clondalkin ED, Tallaght, South Dublin, County Dublin, Leinster, D24 V6XK, Éire / Ireland]>",-6.3746438,53.2874685,AC
30.04.2021,St Declan's NS,Ashbourne,Meath,1,A84KT02,"<[OK] Osm - Geocode [Ashbourne, The Municipal District of Ashbourne, County Meath, Leinster, A84 WK40, Éire / Ireland]>",-6.3981743,53.5116146,AC
30.04.2021,St Brigid's Senior Girls,"Finglas West, D11",Dublin,1,D11X262,"<[OK] Osm - Geocode [Finglas West, Finglas South A ED, Dublin, Dublin 11, Leinster, Éire / Ireland]>",-6.305873184309119,53.3864407,AC
30.04.2021,Scoil Bhríde,Naas,Kildare,1,W91YA62,"Scoil Bhríde, Prosperous Road, Clane ED, The Municipal District of Clane — Maynooth, County Kildare, Leinster, W91 X253, Éire / Ireland",-6.693917233194176,53.29089505,S
30.04.2021,Scoil Einne,Spiddal,Galway,1,H91N9C9,"Scoil Éinne, Cois Trá, An Spidéal, Conamara Municipal District, County Galway, Connacht, H91 CH01, Éire / Ireland",-9.302488697468917,53.24509725,SA
30.04.2021,St Mary's Parish Primary School,Drogheda,Louth,3,A92XD80,"<[OK] Osm - Geocode [Drogheda, The Borough District of Drogheda, County Louth, Leinster, A92DKR0, Éire / Ireland]>",-6.3524183,53.7149877,AC
30.04.2021,Abacas Special School,"Kilnamanagh, D24",Dublin,2,D24A2XF,"<[OK] Osm - Geocode [Kilnamanagh, Fashion City, Tallaght-Kilnamanagh ED, South Dublin, Dublin 12, Leinster, Éire / Ireland]>",-6.353967184457755,53.30683895,AC
30.04.2021,Árdscoil Rís,"Marino, D9",Dublin,1,D09AK30,"Ardscoil Rís, Malahide Road, Donnycarney, Clontarf West C ED, Dublin, County Dublin, Leinster, D05 Y4T8, Éire / Ireland",-6.226922891181463,53.369752250000005,S
30.04.2021,St Dominic's College,"Cabra, D7",Dublin,1,D07NX47,"Saint Dominic's College, Ratoath Road, Cabra West A ED, Dublin, Dublin 7, Leinster, D07 E5W4, Éire / Ireland",-6.308915591396927,53.370587900000004,SA
30.04.2021,CBS High School,Clonmel,Tipperary,1,E91AC03,"CBS New Ross, College Road, Irishtown, New Ross Urban ED, New Ross, County Wexford, Leinster, Y34 WR12, Éire / Ireland",-6.940466063982839,52.398624999999996,S
30.04.2021,Killina Presentation Secondary School,Rahan,Offaly,1,R35PX95,"<[OK] Osm - Geocode [Rahan, The Municipal District of Tullamore, County Offaly, Leinster, Éire / Ireland]>",-7.6153168,53.2810415,AC
30.04.2021,Edmund Rice College,"Blanchardstown, D15",Dublin,1,D15TPP8,"Edmund Rice College, 96-100, Hightown Road, Glengormley, Belfast, County Antrim, Northern Ireland, BT36 7AU, United Kingdom",-5.967245814894271,54.666613,S
30.04.2021,Confey Community College,Leixlip,Kildare,1,W23VH66,"<[OK] Osm - Geocode [Leixlip, Leixlip ED, The Municipal District of Celbridge — Leixlip, County Kildare, Leinster, Éire / Ireland]>",-6.4897438,53.3644766,AC
30.04.2021,Kennedy College,New Ross,Wexford,1,Y34YW08,"Kennedy College, Stephen's Court, New Ross Rural ED, The Municipal District of New Ross, County Wexford, Leinster, Y34 YW08, Éire / Ireland",-6.932864518552634,52.3908981,SA
30.04.2021,Larkin Comm. College,"Champions Avenue, D1",Dublin,3,D01WD93,"Larkin Community College, Champions' Avenue, Champions Avenue, North City ED, Dublin, Dublin 1, Leinster, D01 W207, Éire / Ireland",-6.2575803510741785,53.3519815,SA
30.04.2021,Colaiste De Lacy,Ashbourne,Meath,2,A84VF79,"Coláiste de Lacy, Brindley Park Road, Brindley, Kilbrew ED, The Municipal District of Ashbourne, County Meath, Leinster, A84TW90, Éire / Ireland",-6.415204962635867,53.511747299999996,SA
30.04.2021,Clonturk College,"Whitehall, D9",Dublin,1,D09W5K6,"Clonturk, Whitehall A ED, Dublin, Dublin 9, Leinster, D09 C7F8, Éire / Ireland",-6.245751593837436,53.38171705,S
30.04.2021,Newpark Comp. School,Blackrock,Dublin,1,A94EV70,"<[OK] Osm - Geocode [Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 RF20, Éire / Ireland]>",-6.1788342,53.3018639,AC
30.04.2021,Rosses Comm. School,Dungloe,Donegal,1,F94NX79,"Rosses Community School, Chapel Road, Dunglow ED, Glenties Municipal District, County Donegal, Éire / Ireland",-8.352197630453752,54.9494998,SA
30.04.2021,Pobalscoil na Tríonóide,Youghal,Cork,3,P36Y763,"Pobalscoil na Tríonóide, Parkmountain Road, Youghal Rural, The Municipal District of East Cork, County Cork, Munster, P36 N260, Éire / Ireland",-7.873229189388024,51.9518987,SA
30.04.2021,Bright Sparks Montessori,Borrisokane,Tipperary,1,"52.99904300796586, -8.125763930688084","Bright Sparks Montessori, N70, Kenmare ED, Kenmare Municipal District, County Kerry, Munster, V93 HY28, Éire / Ireland",-9.599520620507196,51.8826276,S
29.04.2021,Cornafulla NS,Athlone,Roscommon,1,N37FW74,"Cornafulla, Crannagh ED, Athlone Municipal District, Connacht, Éire / Ireland",-8.0040846,53.3757928,SA
29.04.2021,Ballyhass Mixed NS,Cecilstown,Cork,1,P51K590,"<[OK] Osm - Geocode [Cecilstown, The Municipal District of Kanturk – Mallow, County Cork, Munster, Éire / Ireland]>",-8.7782713,52.1692203,AC
29.04.2021,St Brigid's GNS,"Killester, D5",Dublin,1,D05YV44,"Saint Brigid's, Castlepark Road, Ballybane, Ballybaan, Galway Municipal District, Cathair na Gaillimhe, County Galway, Connacht, H91 F62K, Éire / Ireland",-9.000865202593321,53.2846859,S
29.04.2021,Athenry Boys NS,Athenry,Galway,1,H65R921,"<[OK] Osm - Geocode [Athenry, Athenry-Oranmore Municipal District, County Galway, Connacht, H65 WD54, Éire / Ireland]>",-8.7468297,53.2991901,AC
29.04.2021,St Conleths And Marys NS,Newbridge,Kildare,1,W12VN26,"<[OK] Osm - Geocode [Newbridge, The Municipal District of Kildare — Newbridge, County Kildare, Leinster, W12 AD93, Éire / Ireland]>",-6.7982137,53.180124,AC
29.04.2021,Scoil Maelruain Senior,"Tallaght, D24",Dublin,8,D24EV18,"<[OK] Osm - Geocode [Tallaght, Belgard Square West, Clondalkin ED, Tallaght, South Dublin, County Dublin, Leinster, D24 V6XK, Éire / Ireland]>",-6.3746438,53.2874685,AC
29.04.2021,St Fiachra's SNS,"Beaumont, D5",Dublin,4,D05K3C3,"<[OK] Osm - Geocode [Beaumont, Drumcondra Rural ED, Dublin, County Dublin, Leinster, D09VY19, Éire / Ireland]>",-6.2329828,53.3860585,AC
29.04.2021,Scoil Mochua,Celbridge,Kildare,1,W23YY00,"Scoil Mochua, Ash Grove, Celbridge ED, The Municipal District of Celbridge — Leixlip, County Kildare, Leinster, W23 A2Y6, Éire / Ireland",-6.549897763852875,53.348592550000006,SA
29.04.2021,Griffith Barracks Multi D School,"South Circular Road, D8",Dublin,2,D08KVY4,"<[OK] Osm - Geocode [South Circular Road, Dolphin's Barn, Dublin, Dublin 8, Leinster, D08 N2X7, Éire / Ireland]>",-6.2910504,53.3332796,AC
29.04.2021,Gaelscoil Chill Mhantáin,Merrymeeting,Wicklow,1,A67N797,"Wicklow Community College, Dublin Road, Wicklow Urban ED, The Municipal District of Wicklow, County Wicklow, Leinster, A67 PP78, Éire / Ireland",-6.0498619,52.9822424,S
29.04.2021,Gaelscoil Ui Drisceoil,Glanmire,Cork,1,T45YY19,"Gaelscoil Uí Drisceoil, Glanmire Bypass, Caherlag ED, Cobh Municipal District, County Cork, Munster, T45 NW94, Éire / Ireland",-8.384114629269883,51.9068452,SA
29.04.2021,Scoil Na Naomh Uilig,Newbridge,Kildare,1,W12FK10,"<[OK] Osm - Geocode [Newbridge, The Municipal District of Kildare — Newbridge, County Kildare, Leinster, W12 AD93, Éire / Ireland]>",-6.7982137,53.180124,AC
