"Kod";"Nazwa";"ogółem;ogółem;2020;[osoba]";"0-4;ogółem;2020;[osoba]";"5-9;ogółem;2020;[osoba]";"10-14;ogółem;2020;[osoba]";"15-19;ogółem;2020;[osoba]";"20-24;ogółem;2020;[osoba]";"25-29;ogółem;2020;[osoba]";"30-34;ogółem;2020;[osoba]";"35-39;ogółem;2020;[osoba]";"40-44;ogółem;2020;[osoba]";"45-49;ogółem;2020;[osoba]";"50-54;ogółem;2020;[osoba]";"55-59;ogółem;2020;[osoba]";"60-64;ogółem;2020;[osoba]";"65-69;ogółem;2020;[osoba]";"70 i więcej;ogółem;2020;[osoba]";"70-74;ogółem;2020;[osoba]";"75-79;ogółem;2020;[osoba]";"80-84;ogółem;2020;[osoba]";"85 i więcej;ogółem;2020;[osoba]";"0-14;ogółem;2020;[osoba]";
0000000;"POLSKA";38265013;1902236;1910470;2065628;1794310;1969685;2402721;2820162;3225731;3075130;2693241;2282038;2323428;2680248;2505595;4614390;1916928;1013492;865717;818253;5878334;
0200000;"DOLNOŚLĄSKIE";2891321;137082;137412;149007;124292;136330;170962;215944;258513;242018;204657;162216;170857;213829;210384;357818;157986;71277;64369;64186;423501;
0201000;"Powiat bolesławiecki";89762;4182;4260;4868;4175;4739;5760;6740;7331;7275;6491;5167;5597;6776;6170;10231;4392;2187;1896;1756;13310;
0201011;"Bolesławiec (1)";38486;1673;1729;1766;1559;1663;2110;2739;3096;3111;2700;2071;2261;3094;3127;5787;2469;1236;1073;1009;5168;
0201022;"Bolesławiec (2)";14863;741;721;913;772;902;1073;1153;1154;1225;1144;1010;988;1018;867;1182;552;249;218;163;2375;
0201032;"Gromadka (2)";5317;229;238;275;241;339;390;406;433;415;399;274;360;397;361;560;237;115;110;98;742;
0201043;"Nowogrodziec (3)";15229;774;784;907;769;935;1090;1201;1277;1239;1010;894;1018;1127;850;1354;527;315;256;256;2465;
0201044;"Nowogrodziec - miasto (4)";4263;222;206;214;189;224;288;353;345;363;254;212;324;354;285;430;177;92;79;82;642;
0201045;"Nowogrodziec - obszar wiejski (5)";10966;552;578;693;580;711;802;848;932;876;756;682;694;773;565;924;350;223;177;174;1823;
0201052;"Osiecznica (2)";7288;380;363;467;396;427;544;571;635;606;569;417;438;454;414;607;276;112;115;104;1210;
0201062;"Warta Bolesławiecka (2)";8579;385;425;540;438;473;553;670;736;679;669;501;532;686;551;741;331;160;124;126;1350;
0202000;"Powiat dzierżoniowski";99935;3924;4295;4772;4234;4712;5857;6812;8221;8068;6957;5875;6495;8214;7893;13606;5624;2633;2613;2736;12991;
0202011;"Bielawa (1)";29523;1096;1192;1373;1157;1324;1704;2004;2462;2383;2030;1743;1904;2457;2532;4162;1724;764;780;894;3661;
0202021;"Dzierżoniów (1)";32869;1244;1393;1474;1281;1341;1788;2068;2680;2620;2292;1953;2091;2735;2709;5200;2122;1074;1019;985;4111;
0202033;"Pieszyce (3)";9318;387;419;442;455;531;567;630;752;812;696;502;633;721;705;1066;435;214;197;220;1248;
0202034;"Pieszyce - miasto (4)";7012;316;327;331;344;399;418;482;569;614;516;375;472;552;524;773;326;158;146;143;974;
0202035;"Pieszyce - obszar wiejski (5)";2306;71;92;111;111;132;149;148;183;198;180;127;161;169;181;293;109;56;51;77;274;
0202041;"Piława Górna (1)";6364;248;289;337;289;365;441;485;523;502;408;376;396;574;414;717;260;127;159;171;874;
0202052;"Dzierżoniów (2)";9013;396;419;484;444;467;576;630;731;777;648;536;607;700;667;931;414;177;156;184;1299;
0202062;"Łagiewniki (2)";7437;338;373;412;381;393;453;615;660;547;503;413;483;578;465;823;362;137;170;154;1123;
0202073;"Niemcza (3)";5411;215;210;250;227;291;328;380;413;427;380;352;381;449;401;707;307;140;132;128;675;
0202074;"Niemcza - miasto (4)";2932;111;106;124;102;147;163;209;224;233;206;190;197;248;220;452;176;100;96;80;341;
0202075;"Niemcza - obszar wiejski (5)";2479;104;104;126;125;144;165;171;189;194;174;162;184;201;181;255;131;40;36;48;334;
0203000;"Powiat głogowski";88447;3800;4409;5180;4263;4572;5018;6037;7434;7766;6482;4727;4940;6563;7042;10214;5451;1992;1571;1200;13389;
0203011;"Głogów (1)";66120;2776;3221;3629;2968;3148;3563;4507;5586;5764;4680;3415;3606;5018;5765;8474;4633;1645;1293;903;9626;
0203022;"Głogów (2)";6845;303;354;457;389;412;458;464;568;582;528;410;451;546;392;531;262;106;84;79;1114;
0203032;"Jerzmanowa (2)";5347;223;324;427;362;366;303;324;449;592;528;305;251;296;267;330;150;67;59;54;974;
0203042;"Kotla (2)";4456;206;230;309;258;277;286;316;373;364;338;266;281;307;249;396;186;86;54;70;745;
0203052;"Pęcław (2)";2210;113;105;146;115;164;156;145;194;176;154;112;132;162;151;185;81;23;34;47;364;
0203062;"Żukowice (2)";3469;179;175;212;171;205;252;281;264;288;254;219;219;234;218;298;139;65;47;47;566;
