Report Date,School Name,Address,County,Daily Cases,Eircode,location,Long,Lat,type
31.03.2021,St Columba's GNS with Facility for Deaf Children,Douglas West,Cork,3,T12WK3D,"<[OK] Osm - Geocode [West Douglas Street, Grange, Douglas, Ballincollig - Carrigaline, Cork, County Cork, Munster, T12 RX66, Éire / Ireland]>",-8.4397421,51.8738756,AC
31.03.2021,Mayo Abbey NS,Claremorris,Mayo,1,F12T256,"Mayo Abbey, Castlebar Municipal District, County Mayo, Connacht, Éire / Ireland",-9.1208355,53.7619629,S
31.03.2021,Taney Parish Primary School,"Dundrum, D14",Dublin,1,D14PN29,"<[OK] Osm - Geocode [Dundrum, Dundrum Office Park, Dundrum, Dundrum-Kilmacud ED, Dundrum, Dún Laoghaire-Rathdown, County Dublin, Leinster, D14 HD83, Éire / Ireland]>",-6.2451244,53.2923909,AC
31.03.2021,CRC Special School,"Clontarf, D3",Dublin,3,D03K298,"<[OK] Osm - Geocode [Clontarf, Clontarf East C ED, Dublin, County Dublin, Leinster, D03 P6D0, Éire / Ireland]>",-6.1968538,53.3608138,AC
31.03.2021,Robertstown NS,Robertstown,Kildare,1,W91D403,"Robertstown, The Hill, Binn's Bridge, Robertstown ED, The Municipal District of Clane — Maynooth, County Kildare, Leinster, W91XW6H, Éire / Ireland",-6.8154335,53.2693964,SA
31.03.2021,St Kevin's Girls,"Tallaght, D24",Dublin,1,D24R6PT,"<[OK] Osm - Geocode [Tallaght, Belgard Square West, Clondalkin ED, Tallaght, South Dublin, County Dublin, Leinster, D24 V6XK, Éire / Ireland]>",-6.3746438,53.2874685,AC
31.03.2021,Scoil Mhuire,Ramelton,Donegal,1,F92XHW5,"Gowran National School, Church Road, Gowran, The Municipal District of Castlecomer, County Kilkenny, Leinster, R95 YE82, Éire / Ireland",-7.077316882282072,52.628283499999995,S
31.03.2021,St Bernadette's Junior NS,"Clondalkin, D22",Dublin,1,D22CD39,"<[OK] Osm - Geocode [Clondalkin, South Dublin, County Dublin, Leinster, D22 E9X5, Éire / Ireland]>",-6.3942689,53.3219624,AC
31.03.2021,Dunboyne Junior NS,Dunboyne,Meath,1,A86HW57,"<[OK] Osm - Geocode [Dunboyne, The Municipal District of Ratoath, County Meath, Leinster, A86 R688, Éire / Ireland]>",-6.4760189,53.4194359,AC
31.03.2021,Mullingar ETNS,Mullingar,Westmeath,1,N91N722,"<[OK] Osm - Geocode [Mullingar, The Municipal District of Mullingar — Kinnegad, County Westmeath, Leinster, N91 FY58, Éire / Ireland]>",-7.3415454,53.5263035,AC
