Report Date,School Name,Address,County,Daily Cases,Eircode,location,Long,Lat,type
12.05.2021,Greenmount Monastery NS,Greenmount,Cork,1,T12HE14,"<[OK] Osm - Geocode [Greenmount, Cork, County Cork, Munster, T12 K765, Éire / Ireland]>",-8.478441524148609,51.889869149999996,AC
12.05.2021,Helping Hands Preschool,Ballymore Eustace,Kildare,1,W91PF86,"<[OK] Osm - Geocode [Ballymore Eustace, The Municipal District of Naas, County Kildare, Leinster, W91 TC66, Éire / Ireland]>",-6.6152013,53.1334772,AC
12.05.2021,Scoil Bhríde Eglantine,Cork,Cork,1,T12AK09,"<[OK] Osm - Geocode [Cork, County Cork, Munster, Éire / Ireland]>",-8.4705942,51.898627,AC
12.05.2021,St Joseph's NS,Charleville,Cork,1,P56AC85,"St. Joseph's NS, L70712, Ballymitty ED, The Borough District of Wexford, County Wexford, Leinster, Éire / Ireland",-6.71504365,52.27869355,S
12.05.2021,Stepaside ET Sec. School,"Stepaside, D18",Dublin,1,D18H7W6,"<[OK] Osm - Geocode [Stepaside, Dún Laoghaire-Rathdown, County Dublin, Leinster, D18 YR68, Éire / Ireland]>",-6.2143744,53.2531104,AC
12.05.2021,Clonkeen College,Blackrock,Dublin,1,A94P206,"Clonkeen Park, Kill of the Grange, Cabinteely-Pottery ED, Cornelscourt, Dún Laoghaire-Rathdown, County Dublin, Leinster, Éire / Ireland",-6.157142676887956,53.27269575,SA
12.05.2021,Gaelcholáiste Charraig Uí Leighin,Carrigaline,Cork,1,P43YW71,"Gaelcholáiste Charraig Uí Leighin, Windsor Court, Carrigaline ED, Ballincollig - Carrigaline, Carrigaline, County Cork, Munster, P43 XE06, Éire / Ireland",-8.386297700259085,51.8162832,SA
12.05.2021,Gaelscoil Eiscir Riada,Lucan,Dublin,1,K78YX77,"Gaelscoil Eiscir Riada, Griffeen Road, Lucan ED, Lucan, South Dublin, County Dublin, Leinster, K78 N8X6, Éire / Ireland",-6.436399258181559,53.348147749999995,SA
12.05.2021,Knocktemple NS,Virginia,Cavan,1,A82PF98,"Knocktemple, The Municipal District of Kanturk – Mallow, County Cork, Munster, Éire / Ireland",-8.85651560103849,52.25902815,S
12.05.2021,Mercy Kilbeggan,Kilbeggan,Westmeath,1,N91K123,"Convent of Mercy Secondary School, R446, Kilbeggan ED, The Municipal District of Athlone — Moate, County Westmeath, Leinster, Éire / Ireland",-7.4937956,53.3674166,SA
12.05.2021,Scoil Mhuire Agus Eoin,Mayfield,Cork,1,T23CA33,"<[OK] Osm - Geocode [Mayfield, Cork, County Cork, Munster, Éire / Ireland]>",-8.441123745465362,51.9132858,AC
12.05.2021,Loreto Secondary School,Balbriggan,Dublin,1,K32R248,"Loreto Secondary School, Balbriggan, Convent Lane, Balbriggan ED, Balbriggan, Fingal, County Dublin, Leinster, K32 TW27, Éire / Ireland",-6.184802001951708,53.61281785,SA
12.05.2021,Scoil Mhuire,Trim,Meath,1,C15FF67,"Scoil Mhuire, Patrick Street, Trim Urban ED, The Municipal District of Trim, County Meath, Leinster, Éire / Ireland",-6.7900059644731545,53.5524722,SA
12.05.2021,Mullingar ETNS,Mullingar,Westmeath,1,N91N722,"<[OK] Osm - Geocode [Mullingar, The Municipal District of Mullingar — Kinnegad, County Westmeath, Leinster, N91 FY58, Éire / Ireland]>",-7.3415454,53.5263035,AC
12.05.2021,Coláiste Bhaile Chláir,Claregalway,Galway,1,H91D635,"<[OK] Osm - Geocode [Baile Chláir, Athenry-Oranmore Municipal District, County Galway, Connacht, H91 W9KH, Éire / Ireland]>",-8.9462388,53.3404819,AC
12.05.2021,St Joseph's Mxd NS,Dublin 3,Dublin,3,D03HF24,"<[OK] Osm - Geocode [Dublin 3, Dublin, Dublin 3, Leinster, Éire / Ireland]>",-6.1854668060000355,53.361223100000004,AC
11.05.2021,Coláiste Íosagáin,Stillorgan,Dublin,1,A94KV12,"Coláiste Eoin / Coláiste Íosagáin, Hampton Park, Booterstown, Blackrock No.1 ED, Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 AN81, Éire / Ireland",-6.204838265507078,53.3019514,S
11.05.2021,Pobalscoil Iosolde,"Palmerstown, D20",Dublin,1,D20P236,"Pobalscoil Iosolde - Palmerstown Community School, Kennelsfort Road Upper, Palmerstown Village ED, Palmerstown, South Dublin, Dublin 20, Leinster, D20 DT92, Éire / Ireland",-6.375759228934962,53.34791345,SA
11.05.2021,St Patrick's NS,Slane,Meath,1,C15NX78,"St Patricks, Carrickbrennan Road, Blackrock-Monkstown ED, Dún Laoghaire, Dún Laoghaire-Rathdown, County Dublin, Leinster, A96 HF51, Éire / Ireland",-6.152905495355443,53.2928278,S
11.05.2021,Scoil Bhríde,Nurney,Kildare,1,R51YC66,"Scoil Bhríde, Prosperous Road, Clane ED, The Municipal District of Clane — Maynooth, County Kildare, Leinster, W91 X253, Éire / Ireland",-6.693917233194176,53.29089505,S
11.05.2021,Castletroy College,Castletroy,Limerick,1,V946D85,"Castletroy Park Retail Park, Castletroy, Ballysimon ED, The Metropolitan District of Limerick City, County Limerick, Munster, Éire / Ireland",-8.5756069931127,52.667338099999995,SA
11.05.2021,Coolmine Comm. School,"Clonsilla, D15",Dublin,1,D15FW97,"Coolmine Community School, Grove Road, Clonsilla ED, Blanchardstown, Fingal, County Dublin, Leinster, D15 W638, Éire / Ireland",-6.395622635069987,53.3887078,SA
11.05.2021,St Benildus College,Stillorgan,Dublin,1,A94X886,"St Benildus College, Kilmacud Road Upper, Kilmacud West, Stillorgan-Kilmacud ED, Goatstown, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 X886, Éire / Ireland",-6.222981957612072,53.28396065,SA
11.05.2021,St Aidan's C.B.S.,"Whitehall, D9",Dublin,1,D09XT54,"<[OK] Osm - Geocode [Whitehall, Whitehall D ED, Dublin, County Dublin, Leinster, D09 C7F8, Éire / Ireland]>",-6.2431944,53.382668,AC
11.05.2021,Ashbourne ETNS,Ashbourne,Meath,1,A84TW90,"<[OK] Osm - Geocode [Ashbourne, The Municipal District of Ashbourne, County Meath, Leinster, A84 WK40, Éire / Ireland]>",-6.3981743,53.5116146,AC
11.05.2021,Scoil Bhríde,Rathcormac,Cork,1,P61ER24,"Scoil Bhríde, Prosperous Road, Clane ED, The Municipal District of Clane — Maynooth, County Kildare, Leinster, W91 X253, Éire / Ireland",-6.693917233194176,53.29089505,S
11.05.2021,Colaiste De Lacy,Ashbourne,Meath,1,A84VF79,"Coláiste de Lacy, Brindley Park Road, Brindley, Kilbrew ED, The Municipal District of Ashbourne, County Meath, Leinster, A84TW90, Éire / Ireland",-6.415204962635867,53.511747299999996,SA
11.05.2021,St Anne's NS,Ardclough,Kildare,1,W23H330,"Saint Anne's, Ballintruckle, Waterford City Metropolitan District, County Waterford, Munster, X91 KT29, Éire / Ireland",-7.1182477,52.245565,S
11.05.2021,Coláiste Bhaile Chláir,Claregalway,Galway,5,H91D635,"<[OK] Osm - Geocode [Baile Chláir, Athenry-Oranmore Municipal District, County Galway, Connacht, H91 W9KH, Éire / Ireland]>",-8.9462388,53.3404819,AC
11.05.2021,St Joseph's Mxd NS,Dublin 3,Dublin,4,D03HF24,"<[OK] Osm - Geocode [Dublin 3, Dublin, Dublin 3, Leinster, Éire / Ireland]>",-6.1854668060000355,53.361223100000004,AC
11.05.2021,Mullingar ETNS,Mullingar,Westmeath,1,N91N722,"<[OK] Osm - Geocode [Mullingar, The Municipal District of Mullingar — Kinnegad, County Westmeath, Leinster, N91 FY58, Éire / Ireland]>",-7.3415454,53.5263035,AC
11.05.2021,Errigal College,Letterkenny,Donegal,1,F92FC82,"Errigal View, Ballaghderg, Gortnavern ED, Letterkenny Municipal District, County Donegal, F92 A3N1, Éire / Ireland",-7.7231351,54.9850233,SA
11.05.2021,Scoil Ui Mhuiri,Dunleer,Louth,1,A92FY96,"<[OK] Osm - Geocode [Dunleer, The Municipal District of Ardee, County Louth, Leinster, Éire / Ireland]>",-6.3950752,53.8316175,AC
11.05.2021,Milford NS,Milford,Donegal,2,F92D744,"Milford, Malahide-West ED, Malahide, Fingal, County Dublin, Leinster, K36 CH99, Éire / Ireland",-6.1738644,53.4539915,SA
10.05.2021,Errigal College,Letterkenny,Donegal,1,F92FC82,"Errigal View, Ballaghderg, Gortnavern ED, Letterkenny Municipal District, County Donegal, F92 A3N1, Éire / Ireland",-7.7231351,54.9850233,SA
10.05.2021,Gaelscoil Na Giúise,"Firhouse, D24",Dublin,1,D24W682,"Gaelscoil na Giúise, Ballycullen Drive, Knocklyon, Ballycragh, Firhouse Village ED, South Dublin, Dublin 16, Leinster, D24 W682, Éire / Ireland",-6.338279489825421,53.2766529,SA
10.05.2021,Presentation Brothers College,Cork,Cork,1,T12VK49,"Presentation Brothers College, Mardyke Walk, Greenmount, Cork, County Cork, Munster, T12 E2RF, Éire / Ireland",-8.485432085345192,51.8976276,SA
10.05.2021,Presentation Comm. College,"Terenure, D6W",Dublin,1,D6WCP28,"<[OK] Osm - Geocode [Terenure, Rathfarnham ED, Dublin, Dublin 6, Leinster, Éire / Ireland]>",-6.2832703,53.3098292,AC
10.05.2021,Queen Of Angels Primary School,"Sandyford, D16",Dublin,1,D16AX05,"Queen of Angels Primary School, Blackthorn Drive, Balally, Dundrum-Balally ED, Dún Laoghaire-Rathdown, Dublin 16, Leinster, D18 Y640, Éire / Ireland",-6.225886335141473,53.276725400000004,S
10.05.2021,Scoil Bhríde,Leixlip,Kildare,1,W23R9Y6,"Scoil Bhríde, Green Lane, Leixlip, Lucan ED, The Municipal District of Celbridge — Leixlip, County Kildare, Leinster, W23K5D0, Éire / Ireland",-6.500474218036072,53.3658646,SA
10.05.2021,Scoil Bhríde Cailíní,"Blanchardstown, D15",Dublin,1,D15R271,"<[OK] Osm - Geocode [Blanchardstown, Blanchardstown Bypass, Blanchardstown-Abbotstown ED, Blanchardstown, Fingal, County Dublin, Leinster, D15 NX98, Éire / Ireland]>",-6.3777514,53.389792,AC
10.05.2021,Brigid's GNS,"Palmerstown, D20",Dublin,1,D20AC82,"St Patricks & St Brigids College, 55, Main Street, Claudy, County Londonderry, Northern Ireland, BT47 4HR, United Kingdom",-7.157215594844274,54.91128555,S
10.05.2021,St Conleth's Comm. College,Newbridge,Kildare,1,W12C432,"<[OK] Osm - Geocode [Newbridge, The Municipal District of Kildare — Newbridge, County Kildare, Leinster, W12 AD93, Éire / Ireland]>",-6.7982137,53.180124,AC
10.05.2021,St Joseph's Boys NS,"Terenure, D6",Dublin,1,D06ED86,"<[OK] Osm - Geocode [Terenure, Rathfarnham ED, Dublin, Dublin 6, Leinster, Éire / Ireland]>",-6.2832703,53.3098292,AC
10.05.2021,St Killians Special School,Mayfield,Cork,1,T23NV96,"<[OK] Osm - Geocode [Mayfield, Cork, County Cork, Munster, Éire / Ireland]>",-8.441123745465362,51.9132858,AC
10.05.2021,Coláiste Cois Life,Lucan,Dublin,1,K78Y330,"Colaiste Cois Life, Esker Manor, Lucan ED, Lucan, South Dublin, County Dublin, Leinster, K78 N8X6, Éire / Ireland",-6.43546567580807,53.349423099999996,SA
10.05.2021,S N Chiaran Naofa,STONEYFORD,Kilkenny,1,R95XR65,"<[OK] Osm - Geocode [Stonyford, The Municipal District of Callan — Thomastown, County Kilkenny, Leinster, 0000, Éire / Ireland]>",-7.2278963,52.5362671,AC
10.05.2021,Coláiste Eoin,"Finglas West, D11",Dublin,1,D11AY65,"Coláiste Eoin, Cappagh Road, Finglas ED, Dublin, County Dublin, Leinster, D11 K254, Éire / Ireland",-6.309491490660492,53.3878455,S
10.05.2021,Dominican College,"Drumcondra, D9",Dublin,1,D09A5X0,"Dominican College, Dunlambert Drive, Fortwilliam, Belfast, County Antrim, Northern Ireland, BT15 4AQ, United Kingdom",-5.932692774554456,54.629944949999995,S
10.05.2021,Gaelscoil Cholaiste Mhuire,"Rotunda, D1",Dublin,1,D01WC99,"<[OK] Osm - Geocode [Children's Health Ireland at Temple Stree, Temple Street North, Rotunda A ED, Dublin, County Dublin, Leinster, Éire / Ireland]>",-6.261585291541774,53.3571279,AC
10.05.2021,Scoil Mochua,Celbridge,Kildare,1,W23YY00,"Scoil Mochua, Ash Grove, Celbridge ED, The Municipal District of Celbridge — Leixlip, County Kildare, Leinster, W23 A2Y6, Éire / Ireland",-6.549897763852875,53.348592550000006,SA
10.05.2021,Gaelscoil Ros Eo,Rush,Dublin,1,K56C867,"Gaelscoil Ros Eo, Palmer Road, Rush ED, Rush, Fingal, County Dublin, Leinster, K56 D252, Éire / Ireland",-6.105581566746494,53.532361949999995,SA
10.05.2021,St Brigid's GNS,"Killester, D5",Dublin,1,D05YV44,"Saint Brigid's, Castlepark Road, Ballybane, Ballybaan, Galway Municipal District, Cathair na Gaillimhe, County Galway, Connacht, H91 F62K, Éire / Ireland",-9.000865202593321,53.2846859,S
10.05.2021,St Joseph's Mxd NS,Dublin 3,Dublin,1,D03HF24,"<[OK] Osm - Geocode [Dublin 3, Dublin, Dublin 3, Leinster, Éire / Ireland]>",-6.1854668060000355,53.361223100000004,AC
10.05.2021,Loreto Comm. School,Milford,Donegal,1,F92FK13,"<[OK] Osm - Geocode [Milford, Letterkenny Municipal District, County Donegal, Éire / Ireland]>",-7.6989323,55.0879227,AC
10.05.2021,Firhouse Educate Together National School,"Firhouse, D24",Dublin,2,D24FW9Y,"Firhouse Educate Together National School, Ballycullen Drive, Knocklyon, Ballycragh, Firhouse Village ED, South Dublin, Dublin 16, Leinster, D24 FW9Y, Éire / Ireland",-6.3374431,53.277,SA
10.05.2021,Milford NS,Milford,Donegal,2,F92D744,"Milford, Malahide-West ED, Malahide, Fingal, County Dublin, Leinster, K36 CH99, Éire / Ireland",-6.1738644,53.4539915,SA
10.05.2021,Pobalscoil Ghaoth Dobhair,Gweedore,Donegal,3,F92HX52,"Pobalscoil Ghaoth Dobhair, Lag Na Carraige, Magheraclogher ED, Glenties Municipal District, County Donegal, Éire / Ireland",-8.278616269319084,55.09708995,S
10.05.2021,Portmarnock Comm. School,Portmarnock,Dublin,1,D13F766,"Portmarnock Community School, Carrickhill Road, Malahide ED, Portmarnock, Fingal, County Dublin, Leinster, D13 F766, Éire / Ireland",-6.137560003113304,53.43127105,SA
10.05.2021,St Ronan's NS,"Clondalkin, D22",Dublin,1,D22C861,"Saint Ronans, L2024, Taghmaconnell ED, Athlone Municipal District, Connacht, Éire / Ireland",-8.152058197449243,53.4043854,S
10.05.2021,Riverview ETNS,"Greenhills, D12",Dublin,1,D12VY8A,"<[OK] Osm - Geocode [Greenhills, Terenure-St. James ED, South Dublin, Dublin 12, Leinster, Éire / Ireland]>",-6.3354441,53.3125931,AC
