OBJECTID;Data;LICZBA_ZAKAZEN;LICZBA_ZGONOW;ZGONY_KOBIETY;ZGONY_MEZCZYZNI;ZGONY0_10;ZGONY11_20;ZGONY21_30;ZGONY31_40;ZGONY41_50;ZGONY51_60;ZGONY61_70;ZGONY71_80;ZGONY81_;ZAKAZENIA_DZIENNE;ZGONY_DZIENNE;LICZBA_OZDROWIENCOW;
55;2020-11-24 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;10141;540;None;
56;2020-11-25 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;15360;674;None;
57;2020-11-26 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;16846;580;None;
58;2020-11-27 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;17059;579;None;
59;2020-11-28 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;15183;599;None;
60;2020-11-29 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;11483;283;None;
61;2020-11-30 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;5734;121;None;
62;2020-12-01 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;9066;449;None;
63;2020-12-02 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;13870;609;None;
64;2020-12-03 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;14838;620;None;
65;2020-12-04 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;13230;531;None;
66;2020-12-05 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;12430;502;None;
67;2020-12-06 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;9175;228;None;
68;2020-12-07 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;4424;92;None;
69;2020-12-08 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;8315;411;None;
70;2020-12-09 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;12164;568;None;
71;2020-12-10 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;13747;470;None;
72;2020-12-11 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;13105;544;None;
73;2020-12-12 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;11498;502;None;
74;2020-12-13 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;8978;188;None;
75;2020-12-14 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;4858;96;None;
76;2020-12-15 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;6908;349;None;
77;2020-12-16 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;12447;605;None;
78;2020-12-17 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;11953;431;None;
79;2020-12-18 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;10992;426;None;
80;2020-12-19 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;11261;483;None;
81;2020-12-20 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;8593;143;None;
82;2020-12-21 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;4633;77;None;
83;2020-12-22 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;7190;309;None;
84;2020-12-23 01:00:00;None;None;None;None;None;None;None;None;None;None;None;None;None;12363;472;None;
85;2020-12-24 08:30:00;1240002;26807;243;309;0;0;2;10;14;40;127;151;208;13114;552;0;
86;2020-12-25 08:30:00;1248924;27051;102;142;0;0;0;1;8;19;64;70;82;9077;244;0;
87;2020-12-26 08:30:00;1253956;27119;34;34;0;0;0;1;2;3;8;19;35;5048;68;0;
88;2020-12-27 20:30:00;1257582;27175;22;34;0;0;0;0;1;3;12;15;25;3678;56;0;
89;2020-12-28 08:30:00;1260762;27203;9;18;0;0;0;0;1;1;5;10;10;3211;27;0;
90;2020-12-29 08:30:00;1268634;27515;126;185;0;1;1;4;7;21;62;94;121;7914;311;0;
91;2020-12-30 08:45:00;1281414;28019;240;325;0;0;1;6;8;42;139;172;197;12955;565;0;
92;2020-12-31 08:56:00;1294878;28554;221;311;0;0;2;5;7;34;126;148;210;13397;532;1026746;
93;2021-01-01 10:15:00;1305774;28956;176;224;0;0;0;1;9;29;100;108;153;11008;400;1040024;
94;2021-01-02 08:02:00;1312780;29058;47;55;0;1;0;0;3;7;18;31;42;6945;102;1051751;
95;2021-01-03 08:02:00;1318562;29119;22;38;0;0;0;0;0;4;15;21;21;5739;61;1059521;
96;2021-01-04 08:02:00;1322947;29161;16;26;0;0;0;0;0;2;10;14;16;4432;42;1064780;
97;2021-01-05 08:02:00;1330543;29502;142;199;0;0;2;1;1;24;78;96;139;7624;341;1069435;
98;2021-01-06 22:45:00;1344763;30055;239;313;0;0;1;6;15;25;129;167;210;14151;553;1073214;
99;2021-01-07 08:02:00;1356882;30241;79;106;0;0;0;1;3;11;44;65;62;12054;186;1080961;
100;2021-01-08 08:34:00;1365645;30574;128;204;0;0;0;2;4;20;71;104;131;8790;332;1093450;
101;2021-01-09 08:02:00;1376389;31011;197;241;0;0;0;0;12;20;80;125;201;10548;438;1106177;
102;2021-01-10 08:02:00;1385522;31189;79;98;0;0;0;0;1;14;31;61;70;9410;177;1115677;
103;2021-01-11 08:02:00;1390385;31264;35;40;0;0;0;1;2;3;15;27;27;4622;75;1122540;
104;2021-01-12 08:01:00;1395779;31593;144;182;0;0;0;3;11;18;79;95;120;5569;326;1129123;
105;2021-01-13 08:01:00;1404905;32074;222;258;0;0;1;3;5;16;109;134;213;9053;481;1133661;
106;2021-01-14 08:01:00;1414362;32456;159;222;0;0;0;5;9;21;91;108;147;9436;381;1141838;
107;2021-01-15 10:30:00;1422320;32844;173;212;0;0;2;2;7;23;88;122;142;7795;386;1154673;
108;2021-01-16 10:29:00;1429612;33213;163;205;0;0;2;3;8;20;73;109;154;7412;369;1166114;
109;2021-01-17 10:30:00;1435582;33355;61;81;0;0;0;2;2;7;34;38;59;6055;142;1173623;
110;2021-01-18 10:30:00;1438914;33407;21;31;0;0;0;1;0;4;9;15;23;3271;52;1184273;
111;2021-01-19 10:30:00;1443804;33698;141;150;0;1;0;2;7;12;60;93;116;4835;291;1193594;
112;2021-01-20 10:30:00;1450747;34141;203;239;0;0;0;2;9;29;79;153;171;6919;443;1197931;
113;2021-01-21 10:30:00;1457755;34561;167;251;0;0;1;5;12;19;82;141;159;7152;419;1204210;
114;2021-01-22 10:30:00;1464448;34908;154;191;0;0;1;3;6;17;73;94;152;6640;346;1213012;
115;2021-01-23 10:30:00;1470879;35253;160;186;0;0;0;2;8;25;75;123;113;6322;346;1222782;
116;2021-01-24 10:30:00;1475445;35363;51;59;0;1;0;1;4;8;25;36;35;4683;110;1230446;
117;2021-01-25 10:30:00;1478119;35401;9;29;0;0;0;0;0;4;4;19;11;2419;38;1237736;
118;2021-01-26 10:30:00;1482722;35665;118;145;0;0;1;0;3;16;53;77;114;4604;264;1243575;
119;2021-01-27 10:30:00;1489512;36054;179;210;1;0;2;0;7;17;86;109;167;6789;389;1246267;
120;2021-01-28 10:30:00;1496665;36443;172;216;0;0;0;3;4;15;80;117;170;7156;389;1250892;
121;2021-01-29 10:30:00;1502810;36780;149;187;0;0;0;1;6;17;84;99;129;6144;336;1257352;
122;2021-01-30 10:30:00;1508674;37082;129;174;0;0;0;2;1;15;64;92;129;5864;303;1264574;
123;2021-01-31 10:30:00;1513385;37180;44;54;0;0;0;1;2;6;25;28;36;4706;98;1270467;
124;2021-02-01 10:30:00;1515889;37222;22;20;0;0;0;0;1;2;8;8;23;2503;42;1276636;
125;2021-02-02 10:30:00;1520215;37476;107;146;0;0;0;1;8;13;55;92;84;4326;253;1281396;
126;2021-02-03 10:30:00;1527016;37897;193;228;0;0;0;7;9;14;97;133;161;6802;421;1283698;
127;2021-02-04 10:30:00;1533511;38344;182;262;1;0;1;9;6;34;108;130;155;6496;444;1288163;
128;2021-02-05 10:30:00;1539564;38712;154;214;0;0;2;2;16;17;69;129;133;6053;368;1294687;
129;2021-02-06 10:30:00;1545530;38994;131;151;0;0;1;3;6;26;55;86;106;6026;367;1301571;
130;2021-02-07 10:30:00;1550255;39087;37;56;0;0;0;1;2;3;24;24;39;4728;93;1307161;
131;2021-02-08 10:30:00;1552686;39132;22;23;0;0;0;1;0;4;6;14;20;2431;45;1312856;
132;2021-02-09 10:30:00;1556685;39360;95;132;0;0;0;1;4;18;42;77;85;4029;227;1317474;
133;2021-02-10 10:30:00;1563645;39721;126;234;0;0;1;2;5;19;90;111;132;6930;360;1319635;
134;2021-02-11 10:30:00;1570658;40177;212;244;0;0;1;4;7;26;101;126;191;7008;456;1324101;
135;2021-02-12 10:30:00;1577036;40424;108;139;0;0;1;3;6;16;52;86;83;6379;247;1330127;
136;2021-02-13 10:30:00;1583621;40709;114;169;0;0;2;0;3;14;65;92;108;6586;284;1336467;
137;2021-02-14 10:30:00;1588955;40807;35;63;0;0;0;0;2;10;24;27;35;5334;98;1342031;
138;2021-02-15 10:30:00;1591497;40832;13;12;0;0;0;0;1;1;6;5;12;2543;25;1347670;
