OBJECTID;JPT_NAZWA_;JPT_KJ_I_1;JPT_KJ_I_2;POTWIERDZONE_DZIENNE;POTWIERDZONE_10_TYS_OSOB;ZGONY;ZGONY_COVID;ZGONY_WSPOLISTNIEJACE;KWARANTANNA;TESTY;TESTY_POZYTYWNE;TESTY_NEGATYWNE;ZLECENIA_POZ;TESTY_POZOSTALE;POPULACJA;Shape__Area;Shape__Length;LICZBA_OZDROWIENCOW;WOJEWODZTWO;Shape__Area_2;Shape__Length_2;
1;powiat ropczycko-sędziszowski;1815;t1815;10;1.34;3;0;3;295;68;10;57;12;1;74374;None;None;33;podkarpackie;1328553503.47754;219259.724430695;
2;powiat łosicki;1410;t1410;5;1.63;0;0;0;188;33;5;28;13;0;31023;None;None;8;mazowieckie;2054340984.66113;292396.382378776;
3;powiat piaseczyński;1418;t1418;88;4.64;6;0;6;2515;461;92;351;114;18;184951;None;None;220;mazowieckie;1636885578.38379;260084.867937023;
4;powiat radomski;1425;t1425;81;5.32;0;0;0;1439;268;87;171;104;10;152117;None;None;130;mazowieckie;3919572154.58496;568835.507604939;
5;powiat sierpecki;1427;t1427;2;0.39;1;0;1;296;44;2;42;16;0;52196;None;None;32;mazowieckie;2329323694.23145;277923.119528555;
6;powiat szydłowiecki;1430;t1430;8;2.02;0;0;0;283;44;9;34;23;1;39864;None;None;18;mazowieckie;1150743070.96875;234733.067521549;
7;powiat węgrowski;1433;t1433;24;3.66;0;0;0;718;121;29;87;54;5;66174;None;None;74;mazowieckie;3280184715.02246;408300.517628992;
8;powiat gostyniński;1404;t1404;15;3.35;0;0;0;318;85;16;67;19;2;45203;None;None;28;mazowieckie;1646296436.69336;313028.771559387;
9;powiat grodziski;1405;t1405;40;4.14;1;0;1;1164;225;47;176;60;2;94091;None;None;66;mazowieckie;969760334.243164;253432.807904447;
10;powiat łukowski;0611;t0611;30;2.81;1;0;1;640;156;32;118;40;6;107449;None;None;9;lubelskie;3652019834.61621;415561.367453444;
11;powiat tomaszowski;0618;t0618;16;1.94;0;0;0;493;124;17;101;45;6;83715;None;None;27;lubelskie;3665640012.82324;480760.441342278;
12;powiat Chełm;0662;t0662;17;2.76;0;0;0;354;114;18;94;34;2;62670;None;None;28;lubelskie;89371838.109375;52772.7704527186;
13;powiat brzeski;1202;t1202;32;3.44;0;0;0;754;192;33;157;33;2;93206;None;None;71;małopolskie;1427576426.61621;284295.74786701;
14;powiat Kraków;1261;t1261;352;4.51;12;12;0;7342;1680;378;1263;465;39;771069;None;None;794;małopolskie;791065595.84082;181896.379623438;
15;powiat zgierski;1020;t1020;56;3.37;0;0;0;1522;403;63;339;104;1;165916;None;None;110;łódzkie;2245893310.69531;338156.138243631;
16;powiat sulęciński;0807;t0807;15;4.27;0;0;0;402;74;15;57;33;2;35297;None;None;18;lubuskie;3164455036.13184;427262.830321922;
17;powiat łańcucki;1810;t1810;29;3.57;1;0;1;797;133;29;102;34;2;80834;None;None;81;podkarpackie;1096604628.40918;228051.365631003;
18;powiat brzeski;1601;t1601;23;2.57;1;0;1;840;139;27;111;39;1;90275;None;None;49;opolskie;2190054038.21875;410917.033361145;
19;powiat ostrzeszowski;3018;t3018;10;1.8;0;0;0;399;66;10;56;13;0;55403;None;None;8;wielkopolskie;1987821616.54004;317702.165357666;
20;powiat Radom;1463;t1463;105;4.99;1;1;0;1639;450;112;328;144;10;213029;None;None;172;mazowieckie;286866221.12207;99405.1594261839;
21;powiat żyrardowski;1438;t1438;23;3.04;0;0;0;487;164;27;134;33;3;75848;None;None;43;mazowieckie;1403384189.0957;274757.56116534;
22;powiat obornicki;3016;t3016;36;6.02;1;0;1;888;128;36;88;29;4;59858;None;None;30;wielkopolskie;1932894204.86523;339522.334245198;
23;powiat leszczyński;3013;t3013;49;8.52;0;0;0;675;133;52;80;51;1;56485;None;None;57;wielkopolskie;2110456495.67676;377714.056172256;
24;powiat Siedlce;1464;t1464;33;4.22;2;0;2;586;128;38;88;49;2;77872;None;None;64;mazowieckie;84540698.8037109;53834.2885521824;
25;powiat Leszno;3063;t3063;37;5.84;0;0;0;640;155;39;115;37;1;63952;None;None;100;wielkopolskie;83234365.65625;53296.9519063519;
26;powiat kolski;3009;t3009;24;2.78;2;0;2;557;169;26;140;34;3;87216;None;None;8;wielkopolskie;2689627317.29785;346607.709128693;
27;powiat Łomża;2062;t2062;17;2.71;0;0;0;242;79;19;53;26;7;63000;None;None;33;podlaskie;90798559.5029297;53833.6554236795;
28;powiat rawicki;3022;t3022;33;5.48;0;0;0;678;114;33;77;49;4;60405;None;None;56;wielkopolskie;1435598543.22363;229831.604207011;
29;powiat słupecki;3023;t3023;7;1.19;2;0;2;428;42;7;35;40;0;59371;None;None;55;wielkopolskie;2236917169.48145;329652.758618665;
30;powiat kościerski;2206;t2206;18;2.47;1;0;1;520;199;23;174;16;2;72528;None;None;41;pomorskie;3374023733.17383;381052.1409156;
31;powiat włoszczowski;2613;t2613;22;4.9;0;0;0;593;82;26;45;37;11;45336;None;None;49;świętokrzyskie;2267836783.9043;367329.543037109;
32;powiat stargardzki;3214;t3214;80;6.66;1;0;1;1024;265;85;179;86;1;120112;None;None;100;zachodniopomorskie;4258906684.40625;516440.084834603;
33;powiat Wrocław;0264;t0264;330;5.13;7;7;0;6322;1770;360;1382;439;28;640648;None;None;718;dolnośląskie;742689431.648438;172246.356099942;
34;powiat giżycki;2806;t2806;35;6.2;0;0;0;391;101;36;65;38;0;56754;None;None;34;warmińsko-mazurskie;3233268847.53613;367483.272257108;
35;powiat mrągowski;2810;t2810;19;3.83;1;1;0;248;71;20;48;20;3;50080;None;None;16;warmińsko-mazurskie;3047532968.61133;372497.477901551;
36;powiat głogowski;0203;t0203;48;5.4;2;0;2;1080;180;48;132;55;0;89541;None;None;140;dolnośląskie;1151495126.96387;268512.573808448;
37;powiat choszczeński;3202;t3202;25;5.2;0;0;0;257;75;27;44;13;4;48602;None;None;18;zachodniopomorskie;3683805162.16992;437622.74475475;
38;powiat Sosnowiec;2475;t2475;194;9.75;4;0;4;2234;643;200;424;161;19;202036;None;None;313;śląskie;222869967.538086;89880.5253151145;
39;powiat rybnicki;2412;t2412;66;8.44;3;0;3;1043;204;68;134;36;2;78104;None;None;96;śląskie;543149677.302734;250866.035890597;
40;powiat Gliwice;2466;t2466;116;6.51;1;0;1;1893;575;123;435;102;17;179806;None;None;250;śląskie;327095687.392578;122476.894972759;
41;powiat Jaworzno;2468;t2468;61;6.72;1;0;1;979;201;65;135;52;1;91563;None;None;88;śląskie;371789702.15918;117798.818425105;
42;powiat inowrocławski;0407;t0407;57;3.58;5;0;5;1153;247;58;182;96;7;160647;None;None;119;kujawsko-pomorskie;3344123622.82617;417364.692078503;
43;powiat brodnicki;0402;t0402;24;3.03;0;0;0;484;120;24;96;40;0;78898;None;None;55;kujawsko-pomorskie;2901882513.53906;384842.988495902;
44;powiat włocławski;0418;t0418;30;3.49;0;0;0;590;106;32;73;51;1;86352;None;None;42;kujawsko-pomorskie;3971132691.14453;546408.762528724;
45;powiat mogileński;0409;t0409;18;3.95;1;0;1;392;82;19;62;27;1;45821;None;None;27;kujawsko-pomorskie;1830878798.17969;341384.805254151;
46;powiat Toruń;0463;t0463;62;3.08;2;0;2;1160;379;63;314;98;2;202074;None;None;159;kujawsko-pomorskie;319730773.796875;115820.566222376;
47;powiat tucholski;0416;t0416;27;5.59;3;0;3;449;88;28;57;31;3;48374;None;None;29;kujawsko-pomorskie;3045030205.1709;414890.990343218;
48;powiat raciborski;2411;t2411;74;6.86;1;0;1;1075;292;78;208;67;6;108513;None;None;64;śląskie;1320566551.63086;284943.783365904;
49;powiat cieszyński;2403;t2403;63;3.54;5;0;5;1866;326;70;253;127;3;178139;None;None;171;śląskie;1746094047.98535;297963.581678226;
50;powiat krośnieński;1807;t1807;28;2.5;2;0;2;691;166;31;129;34;6;112414;None;None;47;podkarpackie;2359074440.76563;386308.471975173;
51;powiat nyski;1607;t1607;61;4.5;0;0;0;1084;291;64;224;97;3;136946;None;None;108;opolskie;3017485437.58887;412248.516378641;
52;powiat Jelenia Góra;0261;t0261;57;7.24;3;0;3;798;200;61;138;53;1;79480;None;None;57;dolnośląskie;273672854.238281;146391.453307817;
53;powiat zgorzelecki;0225;t0225;26;2.93;0;0;0;860;140;26;110;33;4;90003;None;None;69;dolnośląskie;2132117267.69336;386431.113289665;
54;powiat przasnyski;1422;t1422;14;2.67;0;0;0;325;58;15;42;16;1;52824;None;None;30;mazowieckie;3379846423.33496;414273.631272807;
55;powiat Ostrołęka;1461;t1461;16;3.08;0;0;0;351;50;20;29;24;1;52262;None;None;40;mazowieckie;92778715.2519531;60930.284348666;
56;powiat średzki;3025;t3025;34;5.76;3;3;0;869;178;35;139;67;4;58456;None;None;80;wielkopolskie;1654338840.12109;276699.430033747;
57;powiat jarociński;3006;t3006;23;3.22;0;0;0;742;133;24;108;31;1;71686;None;None;23;wielkopolskie;1548712812.72559;242427.762247188;
58;powiat Gdynia;2262;t2262;87;3.54;6;0;6;1649;501;89;408;151;4;246309;None;None;275;pomorskie;400077606.737305;115156.274724867;
59;powiat Świnoujście;3263;t3263;7;1.71;0;0;0;220;94;10;83;33;1;40910;None;None;23;zachodniopomorskie;579660814.197266;106283.270909058;
60;powiat kamiennogórski;0207;t0207;9;2.09;2;2;0;267;83;9;74;20;0;43621;None;None;14;dolnośląskie;986597842.087891;216304.098117033;
61;powiat pabianicki;1008;t1008;75;6.29;0;0;0;1265;316;80;231;110;5;119289;None;None;181;łódzkie;1277442648.47559;277941.70249674;
62;powiat kolneński;2006;t2006;3;0.79;0;0;0;96;34;3;30;9;1;38396;None;None;8;podlaskie;2639716648.68652;370471.722655264;
63;powiat Opole;1661;t1661;46;3.59;0;0;0;1206;298;50;245;50;3;128137;None;None;103;opolskie;370507528.037109;155580.155286229;
64;powiat ostródzki;2815;t2815;37;3.56;5;0;5;897;185;38;146;51;1;104780;None;None;74;warmińsko-mazurskie;5042597559.16211;622700.634562464;
65;powiat Piekary Śląskie;2471;t2471;20;3.65;1;0;1;514;116;23;88;53;5;55299;None;None;59;śląskie;98519196.1826172;59359.6945616342;
66;powiat przemyski;1813;t1813;37;5;2;1;1;700;141;37;101;44;3;74398;None;None;46;podkarpackie;2900318656.96875;421926.781547859;
67;powiat Przemyśl;1862;t1862;35;5.79;1;0;1;378;142;41;99;31;2;61251;None;None;56;podkarpackie;110467770.129883;63587.4865778194;
68;powiat warszawski zachodni;1432;t1432;45;3.77;0;0;0;1548;266;51;212;46;3;117007;None;None;148;mazowieckie;1422442797.84473;300946.070073515;
69;powiat włodawski;0619;t0619;12;3.14;0;0;0;180;64;13;48;25;3;38668;None;None;12;lubelskie;3237473503.5127;421757.275549954;
70;powiat Lublin;0663;t0663;108;3.18;5;1;4;2029;839;121;710;207;8;339682;None;None;193;lubelskie;375389215.995117;125787.250021537;
71;powiat bocheński;1201;t1201;36;3.36;1;0;1;1039;208;52;150;63;6;106514;None;None;127;małopolskie;1565150432.29883;259581.649769124;
72;powiat Tarnów;1263;t1263;54;4.99;8;0;8;677;204;64;135;59;5;109062;None;None;113;małopolskie;175003818.802734;70971.079900714;
73;powiat wschowski;0812;t0812;15;3.87;2;2;0;378;85;16;69;32;0;39065;None;None;36;lubuskie;1631936221.04395;300539.2997591;
74;powiat międzyrzecki;0803;t0803;31;5.4;0;0;0;623;149;34;114;35;1;58024;None;None;45;lubuskie;3738526044.19043;366585.342178519;
