,lp,date,location,new_cases
0,1,2020-11-03,Dolnośląskie,1964.0
1,2,2020-11-04,Dolnośląskie,2324.0
2,3,2020-11-05,Dolnośląskie,2451.0
3,4,2020-11-06,Dolnośląskie,2512.0
4,5,2020-11-07,Dolnośląskie,2045.0
5,6,2020-11-08,Dolnośląskie,1799.0
6,7,2020-11-09,Dolnośląskie,1719.0
7,8,2020-11-10,Dolnośląskie,2541.0
8,9,2020-11-11,Dolnośląskie,2661.0
9,10,2020-11-12,Dolnośląskie,1847.0
10,11,2020-11-13,Dolnośląskie,2823.0
11,12,2020-11-14,Dolnośląskie,2794.0
12,13,2020-11-15,Dolnośląskie,2016.0
13,14,2020-11-16,Dolnośląskie,1784.0
14,15,2020-11-17,Dolnośląskie,2418.0
15,16,2020-11-18,Dolnośląskie,2091.0
16,17,2020-11-19,Dolnośląskie,1808.0
17,18,2020-11-20,Dolnośląskie,1626.0
18,19,2020-11-21,Dolnośląskie,1792.0
19,20,2020-11-22,Dolnośląskie,1005.0
20,21,2020-11-23,Dolnośląskie,1035.0
21,22,2020-11-24,Dolnośląskie,1033.0
22,23,2020-11-25,Dolnośląskie,820.0
23,24,2020-11-26,Dolnośląskie,1117.0
24,25,2020-11-27,Dolnośląskie,1319.0
25,26,2020-11-28,Dolnośląskie,1486.0
26,27,2020-11-29,Dolnośląskie,782.0
27,28,2020-11-30,Dolnośląskie,446.0
28,29,2020-12-01,Dolnośląskie,718.0
29,30,2020-12-02,Dolnośląskie,848.0
30,31,2020-12-03,Dolnośląskie,845.0
31,32,2020-12-04,Dolnośląskie,828.0
32,33,2020-12-05,Dolnośląskie,918.0
33,34,2020-12-06,Dolnośląskie,475.0
34,35,2020-12-07,Dolnośląskie,288.0
35,36,2020-12-08,Dolnośląskie,570.0
36,37,2020-12-09,Dolnośląskie,819.0
37,38,2020-12-10,Dolnośląskie,986.0
38,39,2020-12-11,Dolnośląskie,800.0
39,40,2020-12-12,Dolnośląskie,703.0
40,41,2020-12-13,Dolnośląskie,507.0
41,42,2020-12-14,Dolnośląskie,266.0
42,43,2020-12-15,Dolnośląskie,531.0
43,44,2020-12-16,Dolnośląskie,634.0
44,45,2020-12-17,Dolnośląskie,685.0
45,46,2020-12-18,Dolnośląskie,684.0
46,47,2020-12-19,Dolnośląskie,598.0
47,48,2020-12-20,Dolnośląskie,486.0
48,49,2020-12-21,Dolnośląskie,203.0
49,50,2020-12-22,Dolnośląskie,418.0
50,51,2020-12-23,Dolnośląskie,601.0
51,52,2020-12-24,Dolnośląskie,742.0
52,53,2020-12-25,Dolnośląskie,474.0
53,54,2020-12-26,Dolnośląskie,219.0
54,55,2020-12-27,Dolnośląskie,153.0
55,56,2020-12-28,Dolnośląskie,109.0
56,57,2020-12-29,Dolnośląskie,405.0
