,,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna
date,,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
location,wojew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biała Podlaska,lubelskie,"0,0","0,0","0,0","0,0","0,71","0,43","0,11","0,0","0,0","0,0","0,0","0,0","0,11","0,64","0,71","0,07","0,71","1,46","3,14","0,93","0,71","2,07","8,64","8,78","3,11","0,61","0,14","0,75","1,14","1,5","2,75","9,78","19,49","26,2","70,04","131,01","90,42","78,25","51,26","37,16","20,06","25,53","17,38","17,74","18,7","16,85","21,31","16,78","16,06","14,03","16,78","17,63","28,81","35,12","38,16","49,41","41,66","46,76","33,03"
Białystok,podlaskie,"0,0","0,0","0,0","0,0","0,0","1,6","1,49","0,3","0,13","0,11","0,51","0,73","1,41","1,93","1,34","1,01","0,31","0,23","0,08","0,13","0,39","1,01","0,93","0,8","1,18","1,12","1,19","1,83","2,41","5,3","8,12","16,94","22,48","33,02","53,37","72,37","64,98","61,65","30,72","27,3","26,86","25,77","23,22","24,9","23,99","20,01","21,43","22,01","19,9","20,4","23,73","27,67","26,78","32,98","44,0","53,04","43,56","43,78","31,11"
Bielsko-Biała,śląskie,"0,0","0,0","0,29","0,55","0,17","0,5","0,31","0,6","0,73","0,37","0,39","0,36","0,06","0,18","0,27","0,48","0,36","0,59","0,62","1,42","2,44","2,51","1,83","1,82","1,82","1,0","0,3","0,8","1,26","3,31","6,55","9,49","14,49","28,23","65,61","129,9","60,93","40,74","28,66","26,72","20,76","19,32","15,28","12,46","12,44","11,7","11,99","11,06","12,2","14,62","27,46","41,52","63,22","93,29","117,68","140,28","99,94","64,35","42,72"
Bydgoszcz,kujawsko-pomorskie,"0,0","0,3","0,17","1,42","1,66","1,14","0,97","0,21","0,35","0,08","0,03","0,01","0,03","0,07","0,01","-0,01","0,0","0,08","0,1","0,04","0,25","0,38","0,8","1,13","0,9","0,93","0,58","0,14","1,13","4,27","8,17","17,85","32,31","56,25","73,09","66,32","54,17","53,34","51,58","53,36","57,85","57,25","45,52","55,25","53,39","39,31","34,17","29,68","28,71","30,44","35,62","44,25","51,13","67,61","84,76","95,22","71,85","59,28","39,81"
Bytom,śląskie,"0,0","0,15","0,14","2,19","4,1","10,47","9,1","6,53","4,38","9,1","22,3","13,05","7,46","3,69","1,91","1,77","1,99","1,11","0,43","1,06","2,25","3,04","1,89","1,39","1,28","0,47","-0,05","0,13","0,62","0,95","2,67","7,08","11,87","15,31","11,67","63,55","54,69","37,97","20,73","21,8","19,8","17,45","22,43","17,83","15,24","12,71","10,59","8,32","10,05","11,27","14,3","21,28","26,06","41,9","56,57","75,43","65,71","62,55","48,51"
Chełm,lubelskie,"0,0","0,0","0,0","0,82","0,56","0,0","0,0","0,0","0,0","0,2","0,07","0,69","0,2","0,0","0,07","0,2","0,2","0,0","0,0","0,0","0,0","0,0","0,36","0,1","0,0","0,0","0,0","0,0","0,23","0,89","3,99","17,07","25,8","29,53","64,16","48,05","54,57","49,63","47,49","48,34","45,28","37,07","26,59","23,22","18,12","17,43","26,1","13,68","8,83","11,86","16,38","15,62","22,77","35,22","40,23","49,53","36,74","36,35","25,33"
Chorzów,śląskie,"0,09","0,36","0,55","0,72","1,08","0,17","1,17","0,78","0,97","1,27","1,53","0,78","2,07","2,71","3,2","2,67","2,29","1,67","0,8","1,29","3,84","1,87","1,89","2,18","2,54","1,7","1,44","1,4","1,08","1,95","4,6","6,19","9,71","13,91","38,73","102,45","64,97","38,22","24,46","19,63","16,58","17,8","17,42","17,44","17,64","14,5","10,11","11,7","12,02","10,77","11,26","17,15","31,33","43,5","67,9","89,81","65,54","59,61","44,82"
Częstochowa,śląskie,"0,0","0,0","0,36","0,56","1,2","1,32","0,84","0,45","0,23","0,05","0,15","0,01","0,07","0,18","0,18","0,16","0,08","0,49","0,43","1,61","0,74","0,78","0,88","1,05","2,23","1,63","1,25","2,41","3,34","5,38","13,12","21,6","33,61","49,94","94,74","108,17","48,57","31,53","24,23","18,67","14,29","16,33","15,88","15,87","12,77","11,03","9,78","9,84","11,29","13,5","17,64","22,74","29,83","44,52","63,96","78,52","63,7","58,41","49,19"
