Województwo;Powiat/Miasto;Liczba;Liczba na 10 tys. mieszkañców;Wszystkie przypadki œmiertelne;Przypadki œmiertelne w wyniku Covid;Przypadki œmiertelne w wyniku chorób wspó³istniej¹cych;id
Ca³y kraj;;15362;4,01;674;152;522;t0000
dolnoœl¹skie;boles³awiecki;70;7,78;2;1;1;t0201
dolnoœl¹skie;dzier¿oniowski;4;0,4;1;1;0;t0202
dolnoœl¹skie;g³ogowski;23;2,59;1;0;1;t0203
dolnoœl¹skie;górowski;8;2,31;0;0;0;t0204
dolnoœl¹skie;jaworski;23;4,61;5;5;0;t0205
dolnoœl¹skie;jeleniogórski;29;4,57;3;0;3;t0206
dolnoœl¹skie;kamiennogórski;9;2,09;0;0;0;t0207
dolnoœl¹skie;k³odzki;6;0,38;0;0;0;t0208
dolnoœl¹skie;legnicki;24;4,35;1;0;1;t0209
dolnoœl¹skie;lubañski;8;1,48;1;0;1;t0210
dolnoœl¹skie;lubiñski;48;4,52;0;0;0;t0211
dolnoœl¹skie;lwówecki;23;5,03;0;0;0;t0212
dolnoœl¹skie;milicki;4;1,08;0;0;0;t0213
dolnoœl¹skie;oleœnicki;18;1,68;2;2;0;t0214
dolnoœl¹skie;o³awski;9;1,17;1;1;0;t0215
dolnoœl¹skie;polkowicki;24;3,8;1;1;0;t0216
dolnoœl¹skie;strzeliñski;11;2,53;0;0;0;t0217
dolnoœl¹skie;œredzki;27;4,88;4;4;0;t0218
dolnoœl¹skie;œwidnicki;19;1,21;3;1;2;t0219
dolnoœl¹skie;trzebnicki;24;2,81;2;2;0;t0220
dolnoœl¹skie;wa³brzyski;10;1,8;0;0;0;t0221
dolnoœl¹skie;wo³owski;8;1,71;0;0;0;t0222
dolnoœl¹skie;wroc³awski;33;2,14;0;0;0;t0223
dolnoœl¹skie;z¹bkowicki;6;0,93;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;35;3,94;3;0;3;t0225
dolnoœl¹skie;z³otoryjski;10;2,31;0;0;0;t0226
