Województwo;Liczba;Liczba na 10 tys. mieszkañców;Wszystkie przypadki œmiertelne;Przypadki œmiertelne w wyniku Covid;Przypadki œmiertelne w wyniku chorób wspó³istniej¹cych;id
Ca³y kraj;15362;4,01;674;152;522;t00
dolnoœl¹skie;825;2,85;37;21;16;t02
kujawsko-pomorskie;1321;6,38;35;13;22;t04
lubelskie;932;4,43;52;3;49;t06
lubuskie;504;4,99;8;2;6;t08
³ódzkie;1010;4,12;60;24;36;t10
ma³opolskie;933;2,73;86;28;58;t12
mazowieckie;1577;2,91;94;11;83;t14
opolskie;459;4,68;39;2;37;t16
podkarpackie;590;2,78;36;3;33;t18
podlaskie;449;3,82;13;0;13;t20
pomorskie;1126;4,8;25;22;3;t22
œl¹skie;1941;4,31;53;4;49;t24
œwiêtokrzyskie;303;2,46;19;7;12;t26
warmiñsko-mazurskie;858;6,04;34;4;30;t28
wielkopolskie;1420;4,06;66;6;60;t30
zachodniopomorskie;1011;5,97;17;2;15;t32
