Województwo;Liczba;Liczba na 10 tys, mieszkañców;Wszystkie przypadki œmiertelne;Przypadki œmiertelne w wyniku Covid;Przypadki œmiertelne w wyniku chorób wspó³istniej¹cych;id
Ca³y kraj;16687;4,35;580;78;502;t00
dolnoœl¹skie;1112;3,84;51;8;43;t02
kujawsko-pomorskie;1207;5,83;24;1;23;t04
lubelskie;1027;4,88;30;5;25;t06
lubuskie;508;5,03;7;3;4;t08
³ódzkie;1099;4,49;37;8;29;t10
ma³opolskie;914;2,68;40;14;26;t12
mazowieckie;1785;3,29;74;4;70;t14
opolskie;587;5,99;23;0;23;t16
podkarpackie;649;3,05;69;10;59;t18
podlaskie;464;3,94;24;3;21;t20
pomorskie;1105;4,71;32;5;27;t22
œl¹skie;1824;4,05;69;3;66;t24
œwiêtokrzyskie;473;3,85;10;0;10;t26
warmiñsko-mazurskie;1210;8,52;22;3;19;t28
wielkopolskie;1668;4,77;45;8;37;t30
zachodniopomorskie;991;5,85;23;3;20;t32
