Województwo;Liczba przypadków;Liczba na 10 tys, mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;17060;4,45;579;112;467;t00
dolnoœl¹skie;1318;4,55;65;12;53;t02
kujawsko-pomorskie;1368;6,61;30;0;30;t04
lubelskie;802;3,81;37;11;26;t06
lubuskie;494;4,89;27;6;21;t08
³ódzkie;1001;4,09;43;11;32;t10
ma³opolskie;868;2,54;43;27;16;t12
mazowieckie;2057;3,79;81;7;74;t14
opolskie;536;5,47;19;1;18;t16
podkarpackie;790;3,72;33;1;32;t18
podlaskie;491;4,17;25;5;20;t20
pomorskie;1258;5,36;30;8;22;t22
œl¹skie;1560;3,46;50;5;45;t24
œwiêtokrzyskie;406;3,3;19;1;18;t26
warmiñsko-mazurskie;1065;7,5;30;0;30;t28
wielkopolskie;2072;5,92;25;10;15;t30
zachodniopomorskie;915;5,4;22;7;15;t32
