Województwo;Powiat/Miasto;Liczba przypadków;Liczba na 10 tys, mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;;15178;3,96;599;85;514;t0000
dolnoœl¹skie;boles³awiecki;26;2,89;0;0;0;t0201
dolnoœl¹skie;dzier¿oniowski;24;2,39;1;0;1;t0202
dolnoœl¹skie;g³ogowski;78;8,78;0;0;0;t0203
dolnoœl¹skie;górowski;18;5,19;0;0;0;t0204
dolnoœl¹skie;jaworski;35;7,01;1;0;1;t0205
dolnoœl¹skie;jeleniogórski;30;4,73;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;13;3,02;2;0;2;t0207
dolnoœl¹skie;k³odzki;74;4,71;2;0;2;t0208
dolnoœl¹skie;legnicki;17;3,08;0;0;0;t0209
dolnoœl¹skie;lubañski;28;5,18;0;0;0;t0210
dolnoœl¹skie;lubiñski;31;2,92;1;0;1;t0211
dolnoœl¹skie;lwówecki;42;9,18;0;0;0;t0212
dolnoœl¹skie;milicki;23;6,23;2;0;2;t0213
dolnoœl¹skie;oleœnicki;84;7,83;0;0;0;t0214
dolnoœl¹skie;o³awski;70;9,11;1;0;1;t0215
dolnoœl¹skie;polkowicki;37;5,87;1;1;0;t0216
dolnoœl¹skie;strzeliñski;31;7,13;0;0;0;t0217
dolnoœl¹skie;œredzki;46;8,31;1;0;1;t0218
dolnoœl¹skie;œwidnicki;59;3,77;5;0;5;t0219
dolnoœl¹skie;trzebnicki;42;4,92;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;21;3,79;1;0;1;t0221
dolnoœl¹skie;wo³owski;26;5,56;0;0;0;t0222
dolnoœl¹skie;wroc³awski;91;5,91;2;0;2;t0223
dolnoœl¹skie;z¹bkowicki;17;2,64;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;27;3,04;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;27;6,24;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;73;9,27;2;0;2;t0261
dolnoœl¹skie;Legnica;25;2,52;0;0;0;t0262
dolnoœl¹skie;Wroc³aw;332;5,16;5;0;5;t0264
dolnoœl¹skie;Wa³brzych;34;3,07;3;0;3;t0265
