Województwo;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;12430;3,24;502;104;398;t00
dolnoœl¹skie;920;3,17;22;4;18;t02
kujawsko-pomorskie;1091;5,27;14;10;4;t04
lubelskie;728;3,46;48;14;34;t06
lubuskie;339;3,36;16;4;12;t08
³ódzkie;897;3,66;44;5;39;t10
ma³opolskie;548;1,61;35;16;19;t12
mazowieckie;1574;2,9;45;5;40;t14
opolskie;359;3,66;23;1;22;t16
podkarpackie;255;1,2;31;5;26;t18
podlaskie;287;2,44;24;3;21;t20
pomorskie;969;4,13;45;8;37;t22
œl¹skie;1283;2,85;51;0;51;t24
œwiêtokrzyskie;209;1,7;22;3;19;t26
warmiñsko-mazurskie;762;5,36;18;0;18;t28
wielkopolskie;1195;3,41;44;26;18;t30
zachodniopomorskie;974;5,75;20;0;20;t32
