Województwo;Powiat/Miasto;Liczba przypadków;Liczba na 10 tys. mieszkañców;Zgony;Zgony w wyniku COVID bez chorób wspó³istniej¹cych;Zgony w wyniku COVID i chorób wspó³istniej¹cych;TERYT
Ca³y kraj;;11497;3;502;131;371;t0000
dolnoœl¹skie;boles³awiecki;32;3,55;3;0;3;t0201
dolnoœl¹skie;dzier¿oniowski;12;1,19;1;0;1;t0202
dolnoœl¹skie;g³ogowski;20;2,25;0;0;0;t0203
dolnoœl¹skie;górowski;14;4,03;0;0;0;t0204
dolnoœl¹skie;jaworski;8;1,6;2;2;0;t0205
dolnoœl¹skie;jeleniogórski;11;1,74;0;0;0;t0206
dolnoœl¹skie;kamiennogórski;11;2,55;0;0;0;t0207
dolnoœl¹skie;k³odzki;16;1,02;2;0;2;t0208
dolnoœl¹skie;legnicki;12;2,17;1;1;0;t0209
dolnoœl¹skie;lubañski;1;0,18;1;1;0;t0210
dolnoœl¹skie;lubiñski;49;4,62;0;0;0;t0211
dolnoœl¹skie;lwówecki;6;1,31;3;0;3;t0212
dolnoœl¹skie;milicki;6;1,63;0;0;0;t0213
dolnoœl¹skie;oleœnicki;24;2,24;0;0;0;t0214
dolnoœl¹skie;o³awski;16;2,08;1;0;1;t0215
dolnoœl¹skie;polkowicki;7;1,11;0;0;0;t0216
dolnoœl¹skie;strzeliñski;21;4,83;0;0;0;t0217
dolnoœl¹skie;œredzki;5;0,9;0;0;0;t0218
dolnoœl¹skie;œwidnicki;23;1,47;4;0;4;t0219
dolnoœl¹skie;trzebnicki;11;1,29;1;0;1;t0220
dolnoœl¹skie;wa³brzyski;23;4,15;0;0;0;t0221
dolnoœl¹skie;wo³owski;7;1,5;0;0;0;t0222
dolnoœl¹skie;wroc³awski;46;2,99;1;0;1;t0223
dolnoœl¹skie;z¹bkowicki;13;2,02;1;1;0;t0224
dolnoœl¹skie;zgorzelecki;31;3,49;0;0;0;t0225
dolnoœl¹skie;z³otoryjski;14;3,24;2;0;2;t0226
dolnoœl¹skie;Jelenia Góra;24;3,05;3;0;3;t0261
dolnoœl¹skie;Legnica;20;2,02;1;1;0;t0262
dolnoœl¹skie;Wroc³aw;185;2,87;5;0;5;t0264
dolnoœl¹skie;Wa³brzych;30;2,71;2;0;2;t0265
kujawsko-pomorskie;aleksandrowski;14;2,55;1;0;1;t0401
kujawsko-pomorskie;brodnicki;23;2,91;6;0;6;t0402
kujawsko-pomorskie;bydgoski;80;6,7;4;1;3;t0403
kujawsko-pomorskie;che³miñski;37;7,14;1;0;1;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;23;5,12;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;25;6,22;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;44;2,76;0;0;0;t0407
kujawsko-pomorskie;lipnowski;20;3,05;0;0;0;t0408
kujawsko-pomorskie;mogileñski;9;1,98;2;0;2;t0409
kujawsko-pomorskie;nakielski;43;4,99;4;0;4;t0410
kujawsko-pomorskie;radziejowski;21;5,22;6;1;5;t0411
kujawsko-pomorskie;rypiñski;16;3,69;2;1;1;t0412
kujawsko-pomorskie;sêpoleñski;17;4,15;1;0;1;t0413
kujawsko-pomorskie;œwiecki;56;5,66;5;4;1;t0414
kujawsko-pomorskie;toruñski;57;5,23;0;0;0;t0415
kujawsko-pomorskie;tucholski;39;8,07;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;25;7,33;2;0;2;t0417
kujawsko-pomorskie;w³oc³awski;21;2,44;2;0;2;t0418
kujawsko-pomorskie;¿niñski;37;5,28;3;2;1;t0419
kujawsko-pomorskie;Bydgoszcz;230;6,63;1;1;0;t0461
kujawsko-pomorskie;Grudzi¹dz;64;6,8;2;1;1;t0462
kujawsko-pomorskie;Toruñ;127;6,32;3;0;3;t0463
kujawsko-pomorskie;W³oc³awek;55;5,03;2;0;2;t0464
lubelskie;bialski;20;1,81;2;1;1;t0601
lubelskie;bi³gorajski;17;1,69;1;0;1;t0602
lubelskie;che³mski;22;2,83;1;1;0;t0603
lubelskie;hrubieszowski;10;1,6;1;0;1;t0604
lubelskie;janowski;2;0,44;0;0;0;t0605
lubelskie;krasnostawski;22;3,5;0;0;0;t0606
lubelskie;kraœnicki;26;2,73;0;0;0;t0607
lubelskie;lubartowski;44;4,99;0;0;0;t0608
lubelskie;lubelski;71;4,55;0;0;0;t0609
lubelskie;³êczyñski;19;3,32;1;0;1;t0610
lubelskie;³ukowski;80;7,51;2;0;2;t0611
lubelskie;opolski;23;3,9;1;0;1;t0612
lubelskie;parczewski;12;3,47;0;0;0;t0613
lubelskie;pu³awski;56;4,96;2;0;2;t0614
lubelskie;radzyñski;9;1,54;2;0;2;t0615
lubelskie;rycki;13;2,33;1;1;0;t0616
lubelskie;œwidnicki;30;4,18;0;0;0;t0617
lubelskie;tomaszowski;12;1,46;1;0;1;t0618
lubelskie;w³odawski;56;14,66;0;0;0;t0619
lubelskie;zamojski;23;2,17;3;0;3;t0620
lubelskie;Bia³a Podlaska;15;2,62;2;1;1;t0661
lubelskie;Che³m;29;4,71;1;0;1;t0662
lubelskie;Lublin;119;3,5;0;0;0;t0663
lubelskie;Zamoœæ;15;2,37;2;1;1;t0664
lubuskie;gorzowski;24;3,33;0;0;0;t0801
lubuskie;kroœnieñski;17;3,11;1;0;1;t0802
lubuskie;miêdzyrzecki;18;3,14;1;1;0;t0803
lubuskie;nowosolski;22;2,56;0;0;0;t0804
lubuskie;s³ubicki;30;6,4;1;0;1;t0805
lubuskie;strzelecko-drezdenecki;19;3,89;2;2;0;t0806
lubuskie;sulêciñski;30;8,54;0;0;0;t0807
lubuskie;œwiebodziñski;33;5,93;1;0;1;t0808
lubuskie;zielonogórski;20;2,64;1;1;0;t0809
lubuskie;¿agañski;30;3,82;2;2;0;t0810
lubuskie;¿arski;26;2,71;3;0;3;t0811
lubuskie;wschowski;8;2,06;0;0;0;t0812
lubuskie;Gorzów Wielkopolski;54;4,38;0;0;0;t0861
lubuskie;Zielona Góra;42;2,97;0;0;0;t0862
³ódzkie;be³chatowski;26;2,31;1;1;0;t1001
³ódzkie;kutnowski;21;2,18;0;0;0;t1002
³ódzkie;³aski;15;3,01;0;0;0;t1003
³ódzkie;³êczycki;17;3,43;0;0;0;t1004
³ódzkie;³owicki;26;3,34;0;0;0;t1005
³ódzkie;³ódzki wschodni;20;2,76;0;0;0;t1006
³ódzkie;opoczyñski;0;0;1;1;0;t1007
³ódzkie;pabianicki;25;2,1;1;0;1;t1008
³ódzkie;pajêczañski;3;0,59;2;0;2;t1009
³ódzkie;piotrkowski;10;1,09;3;2;1;t1010
³ódzkie;poddêbicki;11;2,68;2;1;1;t1011
³ódzkie;radomszczañski;32;2,85;1;0;1;t1012
³ódzkie;rawski;4;0,82;2;0;2;t1013
³ódzkie;sieradzki;12;1,02;1;0;1;t1014
³ódzkie;skierniewicki;2;0,52;0;0;0;t1015
³ódzkie;tomaszowski;27;2,32;3;2;1;t1016
³ódzkie;wieluñski;18;2,37;1;0;1;t1017
³ódzkie;wieruszowski;6;1,43;1;0;1;t1018
³ódzkie;zduñskowolski;14;2,11;1;0;1;t1019
³ódzkie;zgierski;61;3,67;0;0;0;t1020
³ódzkie;brzeziñski;6;1,95;0;0;0;t1021
³ódzkie;£ódŸ;305;4,5;13;0;13;t1061
³ódzkie;Piotrków Trybunalski;20;2,75;2;1;1;t1062
³ódzkie;Skierniewice;14;2,92;0;0;0;t1063
ma³opolskie;bocheñski;23;2,15;0;0;0;t1201
ma³opolskie;brzeski;9;0,97;4;0;4;t1202
ma³opolskie;chrzanowski;10;0,81;0;0;0;t1203
ma³opolskie;d¹browski;7;1,18;0;0;0;t1204
ma³opolskie;gorlicki;15;1,38;2;0;2;t1205
ma³opolskie;krakowski;42;1,5;0;0;0;t1206
ma³opolskie;limanowski;5;0,38;1;1;0;t1207
ma³opolskie;miechowski;6;1,23;0;0;0;t1208
ma³opolskie;myœlenicki;10;0,78;1;0;1;t1209
ma³opolskie;nowos¹decki;6;0,28;1;1;0;t1210
ma³opolskie;nowotarski;10;0,52;1;0;1;t1211
ma³opolskie;olkuski;10;0,9;1;0;1;t1212
ma³opolskie;oœwiêcimski;17;1,11;1;0;1;t1213
ma³opolskie;proszowicki;2;0,46;0;0;0;t1214
ma³opolskie;suski;5;0,59;0;0;0;t1215
ma³opolskie;tarnowski;17;0,84;0;0;0;t1216
ma³opolskie;tatrzañski;5;0,73;1;1;0;t1217
ma³opolskie;wadowicki;7;0,44;5;0;5;t1218
ma³opolskie;wielicki;23;1,77;0;0;0;t1219
ma³opolskie;Kraków;150;1,92;4;4;0;t1261
ma³opolskie;Nowy S¹cz;3;0,36;0;0;0;t1262
ma³opolskie;Tarnów;22;2,03;0;0;0;t1263
mazowieckie;bia³obrzeski;2;0,6;0;0;0;t1401
mazowieckie;ciechanowski;21;2,35;5;0;5;t1402
mazowieckie;garwoliñski;8;0,73;2;2;0;t1403
mazowieckie;gostyniñski;10;2,23;3;0;3;t1404
mazowieckie;grodziski;58;6;2;0;2;t1405
mazowieckie;grójecki;26;2,65;1;1;0;t1406
mazowieckie;kozienicki;9;1,51;3;0;3;t1407
mazowieckie;legionowski;28;2,35;0;0;0;t1408
mazowieckie;lipski;2;0,59;1;1;0;t1409
mazowieckie;³osicki;3;0,98;0;0;0;t1410
mazowieckie;makowski;13;2,91;4;0;4;t1411
mazowieckie;miñski;28;1,81;2;0;2;t1412
