wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;4432;1,16;42;8;34;t00
dolnoœl¹skie;115;0,40;0;0;0;t02
kujawsko-pomorskie;484;2,34;2;0;2;t04
lubelskie;142;0,68;1;0;1;t06
lubuskie;96;0,95;1;0;1;t08
³ódzkie;287;1,17;0;0;0;t10
ma³opolskie;194;0,57;0;0;0;t12
mazowieckie;746;1,37;1;0;1;t14
opolskie;84;0,86;0;0;0;t16
podkarpackie;116;0,55;2;0;2;t18
podlaskie;80;0,68;3;0;3;t20
pomorskie;623;2,65;2;0;2;t22
œl¹skie;282;0,63;1;0;1;t24
œwiêtokrzyskie;59;0,48;1;0;1;t26
warmiñsko-mazurskie;139;0,98;8;1;7;t28
wielkopolskie;317;0,91;17;7;10;t30
zachodniopomorskie;436;2,57;3;0;3;t32
