wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;teryt
Ca³y kraj;Ca³y kraj;8790;2,29;332;60;272;t0000
dolnoœl¹skie;boles³awiecki;23;2,55;1;0;1;t0201
dolnoœl¹skie;dzier¿oniowski;5;0,50;1;0;1;t0202
dolnoœl¹skie;g³ogowski;7;0,79;2;0;2;t0203
dolnoœl¹skie;górowski;5;1,44;1;1;0;t0204
dolnoœl¹skie;jaworski;9;1,80;0;0;0;t0205
dolnoœl¹skie;jeleniogórski;10;1,58;2;2;0;t0206
dolnoœl¹skie;kamiennogórski;2;0,46;0;0;0;t0207
dolnoœl¹skie;k³odzki;18;1,15;0;0;0;t0208
dolnoœl¹skie;legnicki;3;0,54;0;0;0;t0209
dolnoœl¹skie;lubañski;10;1,85;0;0;0;t0210
dolnoœl¹skie;lubiñski;13;1,23;0;0;0;t0211
dolnoœl¹skie;lwówecki;11;2,40;0;0;0;t0212
dolnoœl¹skie;milicki;4;1,08;0;0;0;t0213
dolnoœl¹skie;oleœnicki;18;1,68;1;0;1;t0214
dolnoœl¹skie;o³awski;6;0,78;0;0;0;t0215
dolnoœl¹skie;polkowicki;1;0,16;0;0;0;t0216
dolnoœl¹skie;strzeliñski;5;1,15;0;0;0;t0217
dolnoœl¹skie;œredzki;4;0,72;0;0;0;t0218
dolnoœl¹skie;œwidnicki;20;1,28;0;0;0;t0219
dolnoœl¹skie;trzebnicki;4;0,47;0;0;0;t0220
dolnoœl¹skie;wa³brzyski;14;2,53;1;0;1;t0221
dolnoœl¹skie;wo³owski;9;1,93;0;0;0;t0222
dolnoœl¹skie;wroc³awski;29;1,88;1;1;0;t0223
dolnoœl¹skie;z¹bkowicki;1;0,16;0;0;0;t0224
dolnoœl¹skie;zgorzelecki;14;1,58;1;0;1;t0225
dolnoœl¹skie;z³otoryjski;0;0;0;0;0;t0226
dolnoœl¹skie;Jelenia Góra;14;1,78;1;1;0;t0261
dolnoœl¹skie;Legnica;14;1,41;0;0;0;t0262
dolnoœl¹skie;Wroc³aw;165;2,56;1;1;0;t0264
dolnoœl¹skie;Wa³brzych;23;2,08;0;0;0;t0265
kujawsko-pomorskie;aleksandrowski;14;2,55;2;2;0;t0401
kujawsko-pomorskie;brodnicki;21;2,65;5;0;5;t0402
kujawsko-pomorskie;bydgoski;100;8,37;0;0;0;t0403
kujawsko-pomorskie;che³miñski;21;4,05;1;0;1;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;21;4,67;0;0;0;t0405
kujawsko-pomorskie;grudzi¹dzki;31;7,71;0;0;0;t0406
kujawsko-pomorskie;inowroc³awski;57;3,58;4;1;3;t0407
kujawsko-pomorskie;lipnowski;26;3,96;1;0;1;t0408
kujawsko-pomorskie;mogileñski;13;2,86;1;0;1;t0409
kujawsko-pomorskie;nakielski;53;6,15;0;0;0;t0410
kujawsko-pomorskie;radziejowski;14;3,48;2;0;2;t0411
kujawsko-pomorskie;rypiñski;1;0,23;2;1;1;t0412
kujawsko-pomorskie;sêpoleñski;20;4,89;1;0;1;t0413
kujawsko-pomorskie;œwiecki;23;2,32;5;0;5;t0414
kujawsko-pomorskie;toruñski;54;4,96;0;0;0;t0415
kujawsko-pomorskie;tucholski;19;3,93;0;0;0;t0416
kujawsko-pomorskie;w¹brzeski;36;10,55;1;0;1;t0417
kujawsko-pomorskie;w³oc³awski;29;3,38;6;0;6;t0418
kujawsko-pomorskie;¿niñski;33;4,71;0;0;0;t0419
kujawsko-pomorskie;Bydgoszcz;234;6,75;2;0;2;t0461
kujawsko-pomorskie;Grudzi¹dz;56;5,95;1;0;1;t0462
kujawsko-pomorskie;Toruñ;116;5,77;2;1;1;t0463
kujawsko-pomorskie;W³oc³awek;42;3,84;3;0;3;t0464
lubelskie;bialski;16;1,45;0;0;0;t0601
lubelskie;bi³gorajski;13;1,29;1;0;1;t0602
lubelskie;che³mski;23;2,96;4;0;4;t0603
lubelskie;hrubieszowski;21;3,36;1;0;1;t0604
lubelskie;janowski;6;1,32;0;0;0;t0605
lubelskie;krasnostawski;29;4,61;2;2;0;t0606
lubelskie;kraœnicki;16;1,68;1;0;1;t0607
lubelskie;lubartowski;2;0,23;1;1;0;t0608
lubelskie;lubelski;28;1,79;2;0;2;t0609
lubelskie;³êczyñski;14;2,44;1;0;1;t0610
lubelskie;³ukowski;4;0,38;3;0;3;t0611
lubelskie;opolski;6;1,02;0;0;0;t0612
lubelskie;parczewski;4;1,16;1;0;1;t0613
lubelskie;pu³awski;10;0,89;1;0;1;t0614
lubelskie;radzyñski;21;3,58;0;0;0;t0615
lubelskie;rycki;7;1,25;0;0;0;t0616
lubelskie;œwidnicki;19;2,65;1;1;0;t0617
lubelskie;tomaszowski;17;2,06;0;0;0;t0618
lubelskie;w³odawski;16;4,19;2;2;0;t0619
lubelskie;zamojski;5;0,47;1;0;1;t0620
lubelskie;Bia³a Podlaska;8;1,40;2;1;1;t0661
lubelskie;Che³m;17;2,76;1;0;1;t0662
lubelskie;Lublin;97;2,86;5;0;5;t0663
lubelskie;Zamoœæ;4;0,63;0;0;0;t0664
lubuskie;gorzowski;33;4,58;2;2;0;t0801
lubuskie;kroœnieñski;3;0,55;0;0;0;t0802
lubuskie;miêdzyrzecki;20;3,49;1;1;0;t0803
lubuskie;nowosolski;15;1,74;0;0;0;t0804
lubuskie;s³ubicki;15;3,20;0;0;0;t0805
lubuskie;strzelecko-drezdenecki;11;2,25;1;0;1;t0806
lubuskie;sulêciñski;4;1,14;0;0;0;t0807
lubuskie;œwiebodziñski;4;0,72;1;1;0;t0808
lubuskie;zielonogórski;3;0,40;0;0;0;t0809
lubuskie;¿agañski;5;0,64;0;0;0;t0810
lubuskie;¿arski;10;1,04;0;0;0;t0811
lubuskie;wschowski;2;0,52;0;0;0;t0812
lubuskie;Gorzów Wielkopolski;66;5,35;6;2;4;t0861
lubuskie;Zielona Góra;42;2,97;0;0;0;t0862
³ódzkie;be³chatowski;12;1,06;2;0;2;t1001
³ódzkie;kutnowski;33;3,43;2;1;1;t1002
³ódzkie;³aski;12;2,41;0;0;0;t1003
³ódzkie;³êczycki;14;2,82;0;0;0;t1004
³ódzkie;³owicki;9;1,16;1;0;1;t1005
³ódzkie;³ódzki wschodni;15;2,07;2;0;2;t1006
³ódzkie;opoczyñski;11;1,45;1;1;0;t1007
³ódzkie;pabianicki;14;1,17;4;0;4;t1008
³ódzkie;pajêczañski;4;0,78;0;0;0;t1009
³ódzkie;piotrkowski;12;1,31;0;0;0;t1010
³ódzkie;poddêbicki;11;2,68;0;0;0;t1011
³ódzkie;radomszczañski;20;1,78;3;0;3;t1012
³ódzkie;rawski;6;1,24;0;0;0;t1013
³ódzkie;sieradzki;19;1,62;3;0;3;t1014
³ódzkie;skierniewicki;5;1,31;0;0;0;t1015
³ódzkie;tomaszowski;19;1,64;0;0;0;t1016
³ódzkie;wieluñski;6;0,79;0;0;0;t1017
³ódzkie;wieruszowski;5;1,19;0;0;0;t1018
³ódzkie;zduñskowolski;12;1,81;0;0;0;t1019
³ódzkie;zgierski;47;2,83;0;0;0;t1020
³ódzkie;brzeziñski;7;2,27;0;0;0;t1021
³ódzkie;£ódŸ;225;3,32;29;0;29;t1061
³ódzkie;Piotrków Trybunalski;15;2,06;3;2;1;t1062
³ódzkie;Skierniewice;13;2,71;0;0;0;t1063
ma³opolskie;bocheñski;4;0,37;0;0;0;t1201
ma³opolskie;brzeski;4;0,43;0;0;0;t1202
ma³opolskie;chrzanowski;4;0,32;0;0;0;t1203
ma³opolskie;d¹browski;5;0,85;0;0;0;t1204
ma³opolskie;gorlicki;12;1,10;0;0;0;t1205
ma³opolskie;krakowski;60;2,14;0;0;0;t1206
ma³opolskie;limanowski;5;0,38;1;0;1;t1207
ma³opolskie;miechowski;8;1,64;0;0;0;t1208
ma³opolskie;myœlenicki;6;0,47;0;0;0;t1209
ma³opolskie;nowos¹decki;7;0,32;2;0;2;t1210
ma³opolskie;nowotarski;36;1,88;2;1;1;t1211
ma³opolskie;olkuski;7;0,63;1;0;1;t1212
ma³opolskie;oœwiêcimski;9;0,59;0;0;0;t1213
ma³opolskie;proszowicki;3;0,70;0;0;0;t1214
ma³opolskie;suski;6;0,71;0;0;0;t1215
ma³opolskie;tarnowski;17;0,84;0;0;0;t1216
ma³opolskie;tatrzañski;4;0,59;0;0;0;t1217
ma³opolskie;wadowicki;6;0,38;2;0;2;t1218
ma³opolskie;wielicki;9;0,69;0;0;0;t1219
ma³opolskie;Kraków;127;1,63;2;2;0;t1261
ma³opolskie;Nowy S¹cz;4;0,48;0;0;0;t1262
ma³opolskie;Tarnów;9;0,83;0;0;0;t1263
mazowieckie;bia³obrzeski;6;1,80;0;0;0;t1401
mazowieckie;ciechanowski;9;1,01;0;0;0;t1402
mazowieckie;garwoliñski;3;0,28;0;0;0;t1403
mazowieckie;gostyniñski;7;1,56;0;0;0;t1404
mazowieckie;grodziski;23;2,38;1;0;1;t1405
mazowieckie;grójecki;89;9,07;1;0;1;t1406
mazowieckie;kozienicki;13;2,17;3;3;0;t1407
mazowieckie;legionowski;34;2,85;1;0;1;t1408
mazowieckie;lipski;0;0;0;0;0;t1409
mazowieckie;³osicki;5;1,63;0;0;0;t1410
mazowieckie;makowski;4;0,90;0;0;0;t1411
mazowieckie;miñski;46;2,97;0;0;0;t1412
mazowieckie;m³awski;11;1,52;0;0;0;t1413
mazowieckie;nowodworski;5;0,63;0;0;0;t1414
mazowieckie;ostro³êcki;9;1,02;4;0;4;t1415
mazowieckie;ostrowski;8;1,11;0;0;0;t1416
mazowieckie;otwocki;71;5,70;0;0;0;t1417
mazowieckie;piaseczyñski;61;3,22;0;0;0;t1418
mazowieckie;p³ocki;26;2,34;1;1;0;t1419
mazowieckie;p³oñski;20;2,30;0;0;0;t1420
mazowieckie;pruszkowski;49;2,94;0;0;0;t1421
mazowieckie;przasnyski;22;4,20;0;0;0;t1422
mazowieckie;przysuski;1;0,24;3;0;3;t1423
mazowieckie;pu³tuski;5;0,96;0;0;0;t1424
mazowieckie;radomski;6;0,39;2;1;1;t1425
mazowieckie;siedlecki;13;1,60;0;0;0;t1426
mazowieckie;sierpecki;5;0,97;0;0;0;t1427
mazowieckie;sochaczewski;33;3,88;2;0;2;t1428
mazowieckie;soko³owski;3;0,56;0;0;0;t1429
mazowieckie;szyd³owiecki;2;0,51;0;0;0;t1430
mazowieckie;warszawski zachodni;30;2,51;0;0;0;t1432
mazowieckie;wêgrowski;3;0,46;0;0;0;t1433
mazowieckie;wo³omiñski;53;2,11;0;0;0;t1434
mazowieckie;wyszkowski;6;0,81;1;0;1;t1435
mazowieckie;zwoleñski;2;0,56;0;0;0;t1436
mazowieckie;¿uromiñski;0;0;0;0;0;t1437
mazowieckie;¿yrardowski;16;2,12;0;0;0;t1438
mazowieckie;Ostro³êka;6;1,16;0;0;0;t1461
mazowieckie;P³ock;35;2,94;1;0;1;t1462
mazowieckie;Radom;26;1,23;1;1;0;t1463
mazowieckie;Siedlce;10;1,28;0;0;0;t1464
mazowieckie;Warszawa;437;2,44;8;1;7;t1465
opolskie;brzeski;19;2,12;0;0;0;t1601
opolskie;g³ubczycki;4;0,88;0;0;0;t1602
opolskie;kêdzierzyñsko-kozielski;22;2,35;2;0;2;t1603
opolskie;kluczborski;2;0,31;1;0;1;t1604
opolskie;krapkowicki;5;0,79;0;0;0;t1605
opolskie;namys³owski;1;0,23;0;0;0;t1606
opolskie;nyski;5;0,37;3;2;1;t1607
opolskie;oleski;2;0,31;0;0;0;t1608
opolskie;opolski;8;0,65;0;0;0;t1609
opolskie;prudnicki;1;0,18;0;0;0;t1610
opolskie;strzelecki;8;1,08;1;0;1;t1611
opolskie;Opole;18;1,41;2;0;2;t1661
podkarpackie;bieszczadzki;0;0;0;0;0;t1801
podkarpackie;brzozowski;5;0,76;1;0;1;t1802
podkarpackie;dêbicki;20;1,48;0;0;0;t1803
podkarpackie;jaros³awski;35;2,91;0;0;0;t1804
podkarpackie;jasielski;113;9,98;2;0;2;t1805
podkarpackie;kolbuszowski;12;1,93;1;0;1;t1806
podkarpackie;kroœnieñski;56;4,99;0;0;0;t1807
podkarpackie;le¿ajski;11;1,59;0;0;0;t1808
podkarpackie;lubaczowski;7;1,27;0;0;0;t1809
podkarpackie;³añcucki;13;1,60;0;0;0;t1810
podkarpackie;mielecki;40;2,93;0;0;0;t1811
podkarpackie;ni¿añski;5;0,75;0;0;0;t1812
podkarpackie;przemyski;10;1,35;0;0;0;t1813
podkarpackie;przeworski;26;3,32;0;0;0;t1814
podkarpackie;ropczycko-sêdziszowski;5;0,67;2;0;2;t1815
podkarpackie;rzeszowski;15;0,88;0;0;0;t1816
podkarpackie;sanocki;7;0,74;0;0;0;t1817
podkarpackie;stalowowolski;22;2,08;0;0;0;t1818
podkarpackie;strzy¿owski;7;1,14;0;0;0;t1819
podkarpackie;tarnobrzeski;15;2,84;0;0;0;t1820
podkarpackie;leski;6;2,27;0;0;0;t1821
podkarpackie;Krosno;21;4,55;0;0;0;t1861
podkarpackie;Przemyœl;15;2,48;1;1;0;t1862
podkarpackie;Rzeszów;15;0,76;1;0;1;t1863
podkarpackie;Tarnobrzeg;8;1,72;0;0;0;t1864
podlaskie;augustowski;14;2,42;0;0;0;t2001
podlaskie;bia³ostocki;48;3,19;1;1;0;t2002
podlaskie;bielski;5;0,92;0;0;0;t2003
podlaskie;grajewski;1;0,21;0;0;0;t2004
podlaskie;hajnowski;4;0,95;0;0;0;t2005
podlaskie;kolneñski;8;2,11;0;0;0;t2006
podlaskie;³om¿yñski;13;2,55;0;0;0;t2007
podlaskie;moniecki;8;1,99;0;0;0;t2008
podlaskie;sejneñski;5;2,52;0;0;0;t2009
podlaskie;siemiatycki;8;1,82;1;0;1;t2010
podlaskie;sokólski;32;4,83;0;0;0;t2011
podlaskie;suwalski;8;2,25;0;0;0;t2012
podlaskie;wysokomazowiecki;13;2,29;0;0;0;t2013
podlaskie;zambrowski;2;0,46;0;0;0;t2014
podlaskie;Bia³ystok;96;3,23;2;1;1;t2061
podlaskie;£om¿a;19;3,03;1;0;1;t2062
podlaskie;Suwa³ki;9;1,29;1;0;1;t2063
pomorskie;bytowski;5;0,63;0;0;0;t2201
pomorskie;chojnicki;29;2,97;0;0;0;t2202
pomorskie;cz³uchowski;19;3,40;3;1;2;t2203
pomorskie;gdañski;43;3,60;1;0;1;t2204
