date,location,wojew,new_cases,new_deaths
2020-11-24,Biała Podlaska,lubelskie,33,0
2020-11-25,Biała Podlaska,lubelskie,68,4
2020-11-26,Biała Podlaska,lubelskie,43,2
2020-11-27,Biała Podlaska,lubelskie,29,2
2020-11-28,Biała Podlaska,lubelskie,30,5
2020-11-29,Biała Podlaska,lubelskie,28,2
2020-11-30,Biała Podlaska,lubelskie,8,2
2020-12-01,Biała Podlaska,lubelskie,13,1
2020-12-02,Biała Podlaska,lubelskie,42,1
2020-12-03,Biała Podlaska,lubelskie,41,2
2020-12-04,Biała Podlaska,lubelskie,30,0
2020-12-05,Biała Podlaska,lubelskie,32,2
2020-12-06,Biała Podlaska,lubelskie,29,0
2020-12-07,Biała Podlaska,lubelskie,4,0
2020-12-08,Biała Podlaska,lubelskie,12,4
2020-12-09,Biała Podlaska,lubelskie,26,2
2020-12-10,Biała Podlaska,lubelskie,13,0
2020-12-11,Biała Podlaska,lubelskie,11,2
2020-12-12,Biała Podlaska,lubelskie,15,2
2020-12-13,Biała Podlaska,lubelskie,12,0
2020-12-14,Biała Podlaska,lubelskie,4,0
2020-12-15,Biała Podlaska,lubelskie,3,0
2020-12-16,Biała Podlaska,lubelskie,15,1
2020-12-17,Biała Podlaska,lubelskie,17,1
2020-12-18,Biała Podlaska,lubelskie,11,1
2020-12-19,Biała Podlaska,lubelskie,14,3
2020-12-20,Biała Podlaska,lubelskie,13,2
2020-12-21,Biała Podlaska,lubelskie,21,0
2020-12-22,Biała Podlaska,lubelskie,5,1
2020-12-23,Biała Podlaska,lubelskie,16,0
2020-12-24,Biała Podlaska,lubelskie,25,1
2020-12-25,Biała Podlaska,lubelskie,15,0
2020-12-26,Biała Podlaska,lubelskie,3,0
2020-12-27,Biała Podlaska,lubelskie,2,0
2020-12-28,Biała Podlaska,lubelskie,3,0
2020-12-29,Biała Podlaska,lubelskie,6,1
2020-12-30,Biała Podlaska,lubelskie,23,1
2020-12-31,Biała Podlaska,lubelskie,6,2
2021-01-01,Biała Podlaska,lubelskie,27,0
2021-01-02,Biała Podlaska,lubelskie,3,0
2021-01-03,Biała Podlaska,lubelskie,0,0
2021-01-04,Biała Podlaska,lubelskie,5,0
2021-01-05,Biała Podlaska,lubelskie,9,1
2021-01-06,Biała Podlaska,lubelskie,20,4
2021-01-07,Biała Podlaska,lubelskie,14,0
2021-01-08,Biała Podlaska,lubelskie,8,2
2021-01-09,Biała Podlaska,lubelskie,22,1
2021-01-10,Biała Podlaska,lubelskie,10,0
2021-01-11,Biała Podlaska,lubelskie,3,0
2021-01-12,Biała Podlaska,lubelskie,10,0
2021-01-13,Biała Podlaska,lubelskie,20,4
2021-01-14,Biała Podlaska,lubelskie,5,1
2021-01-15,Biała Podlaska,lubelskie,7,0
2021-01-16,Biała Podlaska,lubelskie,4,0
2021-01-18,Biała Podlaska,lubelskie,3,1
2020-11-24,Białystok,podlaskie,56,0
2020-11-25,Białystok,podlaskie,95,0
2020-11-26,Białystok,podlaskie,160,6
2020-11-27,Białystok,podlaskie,142,2
2020-11-28,Białystok,podlaskie,123,0
2020-11-29,Białystok,podlaskie,103,4
2020-11-30,Białystok,podlaskie,25,0
2020-12-01,Białystok,podlaskie,46,4
2020-12-02,Białystok,podlaskie,109,4
2020-12-03,Białystok,podlaskie,104,7
2020-12-04,Białystok,podlaskie,91,0
2020-12-05,Białystok,podlaskie,93,5
2020-12-06,Białystok,podlaskie,94,2
2020-12-07,Białystok,podlaskie,28,2
2020-12-08,Białystok,podlaskie,53,0
2020-12-09,Białystok,podlaskie,107,1
2020-12-10,Białystok,podlaskie,97,0
2020-12-11,Białystok,podlaskie,94,13
2020-12-12,Białystok,podlaskie,117,1
2020-12-13,Białystok,podlaskie,82,0
2020-12-14,Białystok,podlaskie,31,0
2020-12-15,Białystok,podlaskie,40,4
2020-12-16,Białystok,podlaskie,121,7
2020-12-17,Białystok,podlaskie,69,0
2020-12-18,Białystok,podlaskie,95,3
2020-12-19,Białystok,podlaskie,128,0
2020-12-20,Białystok,podlaskie,63,1
2020-12-21,Białystok,podlaskie,43,0
2020-12-22,Białystok,podlaskie,41,1
2020-12-23,Białystok,podlaskie,101,3
2020-12-24,Białystok,podlaskie,127,0
2020-12-25,Białystok,podlaskie,64,0
2020-12-26,Białystok,podlaskie,56,0
2020-12-27,Białystok,podlaskie,32,0
2020-12-28,Białystok,podlaskie,28,0
2020-12-29,Białystok,podlaskie,43,4
2020-12-30,Białystok,podlaskie,145,4
2020-12-31,Białystok,podlaskie,105,7
2021-01-01,Białystok,podlaskie,96,4
2021-01-02,Białystok,podlaskie,63,0
2021-01-03,Białystok,podlaskie,26,0
2021-01-04,Białystok,podlaskie,36,0
2021-01-05,Białystok,podlaskie,46,4
2021-01-06,Białystok,podlaskie,155,4
2021-01-07,Białystok,podlaskie,96,2
2021-01-08,Białystok,podlaskie,96,2
2021-01-09,Białystok,podlaskie,87,5
2021-01-10,Białystok,podlaskie,81,1
2021-01-11,Białystok,podlaskie,29,0
2021-01-12,Białystok,podlaskie,29,0
2021-01-13,Białystok,podlaskie,93,12
2021-01-14,Białystok,podlaskie,72,1
2021-01-15,Białystok,podlaskie,98,1
2021-01-16,Białystok,podlaskie,72,1
2021-01-18,Białystok,podlaskie,17,0
2020-11-24,Bielsko-Biała,śląskie,22,4
2020-11-25,Bielsko-Biała,śląskie,92,1
2020-11-26,Bielsko-Biała,śląskie,60,0
2020-11-27,Bielsko-Biała,śląskie,80,0
2020-11-28,Bielsko-Biała,śląskie,59,2
2020-11-29,Bielsko-Biała,śląskie,48,2
2020-11-30,Bielsko-Biała,śląskie,11,0
