date,location,new_cases,new_deaths,new_deaths_c,new_deaths_nc
2020-11-24,Dolnośląskie,1035,51,1.0,50.0
2020-11-25,Dolnośląskie,825,37,21.0,16.0
2020-11-26,Dolnośląskie,1112,51,8.0,43.0
2020-11-27,Dolnośląskie,1318,65,12.0,53.0
2020-11-28,Dolnośląskie,1481,30,1.0,29.0
2020-11-29,Dolnośląskie,781,11,0.0,11.0
2020-11-30,Dolnośląskie,445,5,2.0,3.0
2020-12-01,Dolnośląskie,717,57,8.0,49.0
2020-12-02,Dolnośląskie,844,54,8.0,46.0
2020-12-03,Dolnośląskie,844,41,4.0,37.0
2020-12-04,Dolnośląskie,828,42,6.0,36.0
2020-12-05,Dolnośląskie,920,22,4.0,18.0
2020-12-06,Dolnośląskie,476,8,1.0,7.0
2020-12-07,Dolnośląskie,287,2,1.0,1.0
2020-12-08,Dolnośląskie,566,37,7.0,30.0
2020-12-09,Dolnośląskie,813,50,15.0,35.0
2020-12-10,Dolnośląskie,985,24,7.0,17.0
2020-12-11,Dolnośląskie,797,49,3.0,46.0
2020-12-12,Dolnośląskie,698,34,6.0,28.0
2020-12-13,Dolnośląskie,498,1,1.0,0.0
2020-12-14,Dolnośląskie,258,0,0.0,0.0
2020-12-15,Dolnośląskie,519,30,4.0,26.0
2020-12-16,Dolnośląskie,629,40,7.0,33.0
2020-12-17,Dolnośląskie,681,27,3.0,24.0
2020-12-18,Dolnośląskie,691,32,15.0,17.0
2020-12-19,Dolnośląskie,593,24,6.0,18.0
2020-12-20,Dolnośląskie,486,8,0.0,8.0
2020-12-21,Dolnośląskie,206,5,4.0,1.0
2020-12-22,Dolnośląskie,409,20,6.0,14.0
2020-12-23,Dolnośląskie,588,36,3.0,33.0
2020-12-24,Dolnośląskie,742,26,14.0,12.0
2020-12-25,Dolnośląskie,474,10,7.0,3.0
2020-12-26,Dolnośląskie,219,0,0.0,0.0
2020-12-27,Dolnośląskie,153,0,0.0,0.0
2020-12-28,Dolnośląskie,109,0,0.0,0.0
2020-12-29,Dolnośląskie,405,29,6.0,23.0
2020-12-30,Dolnośląskie,674,32,11.0,21.0
2020-12-31,Dolnośląskie,804,23,5.0,18.0
2021-01-01,Dolnośląskie,647,36,19.0,17.0
2021-01-02,Dolnośląskie,344,10,1.0,9.0
2021-01-03,Dolnośląskie,246,0,0.0,0.0
2021-01-04,Dolnośląskie,115,0,0.0,0.0
2021-01-05,Dolnośląskie,481,25,13.0,12.0
2021-01-06,Dolnośląskie,599,44,16.0,28.0
2021-01-07,Dolnośląskie,627,4,2.0,2.0
2021-01-08,Dolnośląskie,461,13,6.0,7.0
2021-01-09,Dolnośląskie,514,22,14.0,8.0
2021-01-10,Dolnośląskie,459,4,1.0,3.0
2021-01-11,Dolnośląskie,227,0,0.0,0.0
2021-01-12,Dolnośląskie,339,33,22.0,11.0
2021-01-13,Dolnośląskie,452,26,9.0,17.0
2021-01-14,Dolnośląskie,463,16,7.0,9.0
2021-01-15,Dolnośląskie,477,19,9.0,10.0
2021-01-16,Dolnośląskie,378,9,3.0,6.0
2021-01-18,Dolnośląskie,156,0,0.0,0.0
2020-11-24,Kujawsko-Pomorskie,521,17,0.0,17.0
2020-11-25,Kujawsko-Pomorskie,1321,35,13.0,22.0
2020-11-26,Kujawsko-Pomorskie,1207,24,1.0,23.0
2020-11-27,Kujawsko-Pomorskie,1368,30,0.0,30.0
2020-11-28,Kujawsko-Pomorskie,1004,29,3.0,26.0
2020-11-29,Kujawsko-Pomorskie,623,14,1.0,13.0
2020-11-30,Kujawsko-Pomorskie,297,4,0.0,4.0
2020-12-01,Kujawsko-Pomorskie,1214,40,6.0,34.0
2020-12-02,Kujawsko-Pomorskie,1240,32,2.0,30.0
2020-12-03,Kujawsko-Pomorskie,1354,27,2.0,25.0
2020-12-04,Kujawsko-Pomorskie,1081,12,6.0,6.0
2020-12-05,Kujawsko-Pomorskie,1091,14,10.0,4.0
2020-12-06,Kujawsko-Pomorskie,718,11,3.0,8.0
2020-12-07,Kujawsko-Pomorskie,351,6,1.0,5.0
2020-12-08,Kujawsko-Pomorskie,690,19,7.0,12.0
2020-12-09,Kujawsko-Pomorskie,1101,28,4.0,24.0
2020-12-10,Kujawsko-Pomorskie,1404,35,3.0,32.0
2020-12-11,Kujawsko-Pomorskie,1002,52,16.0,36.0
2020-12-12,Kujawsko-Pomorskie,1083,47,11.0,36.0
2020-12-13,Kujawsko-Pomorskie,756,18,4.0,14.0
2020-12-14,Kujawsko-Pomorskie,531,9,1.0,8.0
2020-12-15,Kujawsko-Pomorskie,750,28,7.0,21.0
2020-12-16,Kujawsko-Pomorskie,1181,45,7.0,38.0
2020-12-17,Kujawsko-Pomorskie,1138,45,8.0,37.0
2020-12-18,Kujawsko-Pomorskie,1050,27,5.0,22.0
2020-12-19,Kujawsko-Pomorskie,1114,32,6.0,26.0
2020-12-20,Kujawsko-Pomorskie,788,13,1.0,12.0
2020-12-21,Kujawsko-Pomorskie,480,4,0.0,4.0
2020-12-22,Kujawsko-Pomorskie,768,32,5.0,27.0
2020-12-23,Kujawsko-Pomorskie,1204,57,3.0,54.0
2020-12-24,Kujawsko-Pomorskie,1311,39,9.0,30.0
2020-12-25,Kujawsko-Pomorskie,767,27,12.0,15.0
2020-12-26,Kujawsko-Pomorskie,472,11,0.0,11.0
2020-12-27,Kujawsko-Pomorskie,326,6,0.0,6.0
2020-12-28,Kujawsko-Pomorskie,302,6,0.0,6.0
2020-12-29,Kujawsko-Pomorskie,720,27,4.0,23.0
2020-12-30,Kujawsko-Pomorskie,1106,47,12.0,35.0
2020-12-31,Kujawsko-Pomorskie,1517,47,9.0,38.0
2021-01-01,Kujawsko-Pomorskie,967,27,2.0,25.0
