,lp,date,location,hosp_patients,icu_patients,new_tests,total_tests,new_cases,new_quarantine,new_deaths
0,1,2020-10-23,Polska,11498.33,911.0,52996.0,4223667.0,13632.0,0.0,153.0
1,2,2020-10-24,Polska,11885.78,947.0,53002.0,4276669.0,13628.0,0.0,178.0
2,3,2020-10-25,Polska,12275.86,978.0,52998.0,4329667.0,11742.0,0.0,87.0
3,4,2020-10-26,Polska,13335.95,1077.0,53002.0,4382669.0,10241.0,0.0,45.0
4,5,2020-10-27,Polska,13935.89,1150.0,64754.0,4447423.0,16300.0,0.0,132.0
5,6,2020-10-28,Polska,14738.35,1203.0,64749.0,4512172.0,18820.0,0.0,234.0
6,7,2020-10-29,Polska,15454.57,1254.0,64754.0,4576926.0,20156.0,0.0,301.0
7,8,2020-10-30,Polska,16144.13,1305.0,64749.0,4641675.0,21629.0,0.0,202.0
8,9,2020-10-31,Polska,16432.79,1371.0,64754.0,4706429.0,21897.0,0.0,280.0
9,10,2020-11-01,Polska,17191.25,1453.0,64749.0,4771178.0,17171.0,0.0,152.0
10,11,2020-11-02,Polska,18147.4,1551.0,64754.0,4835932.0,15578.0,0.0,92.0
11,12,2020-11-03,Polska,18660.19,1627.0,64981.0,4900913.0,19364.0,0.0,227.0
12,13,2020-11-04,Polska,19102.82,1615.0,64982.0,4965895.0,24692.0,0.0,372.0
13,14,2020-11-05,Polska,19475.62,1705.0,64981.0,5030876.0,27143.0,0.0,367.0
14,15,2020-11-06,Polska,20195.62,1815.0,64983.0,5095859.0,27086.0,0.0,445.0
15,16,2020-11-07,Polska,20218.75,1841.0,64981.0,5160840.0,27875.0,0.0,349.0
16,17,2020-11-08,Polska,20966.09,1804.0,64982.0,5225822.0,24785.0,0.0,236.0
17,18,2020-11-09,Polska,21637.1,1897.0,64981.0,5290803.0,21713.0,0.0,173.0
18,19,2020-11-10,Polska,21483.76,1971.0,50920.0,5341723.0,25454.0,0.0,330.0
19,20,2020-11-11,Polska,21899.94,2018.0,50922.0,5392645.0,25221.0,0.0,429.0
20,21,2020-11-12,Polska,22296.57,2047.0,50920.0,5443565.0,22683.0,0.0,275.0
21,22,2020-11-13,Polska,22305.39,2126.0,50920.0,5494485.0,24051.0,0.0,419.0
22,23,2020-11-14,Polska,22110.62,2067.0,50920.0,5545405.0,25571.0,0.0,548.0
23,24,2020-11-15,Polska,22269.95,2091.0,50922.0,5596327.0,21854.0,0.0,303.0
24,25,2020-11-16,Polska,22948.2,2083.0,50920.0,5647247.0,20816.0,0.0,143.0
25,26,2020-11-17,Polska,22777.34,2115.0,46300.0,5693547.0,19152.0,0.0,357.0
26,27,2020-11-18,Polska,22552.29,2079.0,46296.0,5739843.0,19883.0,0.0,603.0
27,28,2020-11-19,Polska,22647.47,2135.0,46300.0,5786143.0,23975.0,0.0,637.0
28,29,2020-11-20,Polska,22471.74,2120.0,46303.0,5832446.0,22464.0,0.0,626.0
29,30,2020-11-21,Polska,22080.74,2126.0,46300.0,5878746.0,24213.0,0.0,574.0
30,31,2020-11-22,Polska,22180.6,2160.0,46296.0,5925042.0,17856.0,0.0,330.0
31,32,2020-11-23,Polska,22398.74,2095.0,46300.0,5971342.0,15002.0,0.0,156.0
32,33,2020-11-24,Polska,22137.86,2073.0,44198.0,6015540.0,9971.0,348135.0,540.0
33,34,2020-11-25,Polska,21654.64,2109.0,53915.0,6069455.0,15309.0,341659.0,674.0
34,35,2020-11-26,Polska,21697.94,2107.0,56666.0,6126121.0,16804.0,345500.0,580.0
35,36,2020-11-27,Polska,21467.63,2099.0,63323.0,6189444.0,17019.0,345332.0,579.0
36,37,2020-11-28,Polska,21063.29,2100.0,59982.0,6249426.0,15136.0,332313.0,599.0
37,38,2020-11-29,Polska,21501.33,2118.0,37381.0,6286807.0,11407.0,316142.0,283.0
38,39,2020-11-30,Polska,21336.08,2032.0,22962.0,6309769.0,5675.0,294771.0,121.0
39,40,2020-12-01,Polska,20891.22,2023.0,44254.0,6354023.0,9013.0,284155.0,449.0
40,41,2020-12-02,Polska,20494.01,1986.0,54517.0,6408540.0,13840.0,274768.0,609.0
41,42,2020-12-03,Polska,20137.53,1961.0,64009.0,6472549.0,14802.0,282407.0,620.0
42,43,2020-12-04,Polska,19945.34,1904.0,56458.0,6529007.0,13183.0,285533.0,531.0
43,44,2020-12-05,Polska,19370.79,1900.0,65385.0,6594392.0,12401.0,275581.0,502.0
44,45,2020-12-06,Polska,19935.83,1881.0,35448.0,6629840.0,9142.0,254509.0,228.0
