,lp,date,location,hosp_patients,new_tests,total_tests,icu_patients,total_quarantine,new_cases,new_deaths
0,1,2020-03-10,Polska,,0.0,0.0,,1055.0,5.0,0.0
1,2,2020-03-11,Polska,,0.0,0.0,,1193.0,9.0,0.0
2,3,2020-03-12,Polska,,0.0,0.0,,2736.0,20.0,1.0
3,4,2020-03-13,Polska,,0.0,0.0,,3151.0,17.0,1.0
4,5,2020-03-14,Polska,,0.0,0.0,,4413.0,36.0,1.0
5,6,2020-03-15,Polska,,0.0,0.0,,7535.0,21.0,0.0
6,7,2020-03-16,Polska,,0.0,0.0,,10050.0,52.0,1.0
7,8,2020-03-17,Polska,,0.0,0.0,,37503.0,61.0,1.0
8,9,2020-03-18,Polska,,0.0,0.0,,57185.0,48.0,0.0
9,10,2020-03-19,Polska,,0.0,0.0,,76764.0,69.0,0.0
10,11,2020-03-20,Polska,,0.0,0.0,,109235.0,70.0,0.0
11,12,2020-03-21,Polska,,0.0,0.0,,128919.0,111.0,0.0
12,13,2020-03-22,Polska,,0.0,0.0,,128980.0,98.0,2.0
13,14,2020-03-23,Polska,,0.0,0.0,,150746.0,115.0,1.0
14,15,2020-03-24,Polska,,0.0,0.0,,167040.0,152.0,2.0
15,16,2020-03-25,Polska,,0.0,0.0,,209208.0,150.0,3.0
16,17,2020-03-26,Polska,,0.0,0.0,,234382.0,170.0,3.0
17,18,2020-03-27,Polska,,0.0,0.0,,256156.0,168.0,0.0
18,19,2020-03-28,Polska,,0.0,0.0,,265303.0,249.0,2.0
19,20,2020-03-29,Polska,,0.0,0.0,,269307.0,224.0,4.0
20,21,2020-03-30,Polska,,0.0,0.0,,270314.0,193.0,9.0
21,22,2020-03-31,Polska,,0.0,0.0,,171994.0,256.0,2.0
22,23,2020-04-01,Polska,,0.0,0.0,,183095.0,243.0,10.0
23,24,2020-04-02,Polska,,0.0,0.0,,174997.0,392.0,14.0
24,25,2020-04-03,Polska,,0.0,0.0,,160587.0,437.0,14.0
25,26,2020-04-04,Polska,,0.0,0.0,,131888.0,244.0,8.0
26,27,2020-04-05,Polska,,0.0,0.0,,143256.0,475.0,15.0
27,28,2020-04-06,Polska,,0.0,0.0,,148130.0,311.0,13.0
28,29,2020-04-07,Polska,,0.0,0.0,,153390.0,435.0,22.0
29,30,2020-04-08,Polska,,0.0,0.0,,152898.0,357.0,29.0
