,lp,date,location,hosp_patients,new_tests,total_tests,icu_patients,total_quarantine,new_cases,new_deaths
0,1,2020-10-23,Dolnośląskie,760.7,3420.0,326929.0,60.0,,667.0,6.0
1,2,2020-10-24,Dolnośląskie,764.4,3419.0,330348.0,61.0,,645.0,14.0
2,3,2020-10-25,Dolnośląskie,774.59,3420.0,333768.0,61.0,,585.0,1.0
3,4,2020-10-26,Dolnośląskie,825.13,3419.0,337187.0,65.0,,462.0,1.0
4,5,2020-10-27,Dolnośląskie,888.35,4037.0,341224.0,70.0,,917.0,10.0
5,6,2020-10-28,Dolnośląskie,973.93,4037.0,345261.0,74.0,,1140.0,11.0
6,7,2020-10-29,Dolnośląskie,1002.7,4037.0,349298.0,76.0,,857.0,26.0
7,8,2020-10-30,Dolnośląskie,1016.54,4036.0,353334.0,87.0,,999.0,12.0
8,9,2020-10-31,Dolnośląskie,1113.11,4037.0,357371.0,99.0,,1229.0,14.0
9,10,2020-11-01,Dolnośląskie,1113.94,4037.0,361408.0,109.0,,524.0,9.0
10,11,2020-11-02,Dolnośląskie,1252.97,4037.0,365445.0,107.0,,737.0,1.0
11,12,2020-11-03,Dolnośląskie,1301.3,3691.0,369136.0,109.0,,1964.0,26.0
12,13,2020-11-04,Dolnośląskie,1305.87,3691.0,372827.0,124.0,,2324.0,29.0
13,14,2020-11-05,Dolnośląskie,1301.22,3691.0,376518.0,116.0,,2451.0,42.0
14,15,2020-11-06,Dolnośląskie,1476.04,3691.0,380209.0,122.0,,2512.0,39.0
15,16,2020-11-07,Dolnośląskie,1532.92,3691.0,383900.0,120.0,,2045.0,16.0
16,17,2020-11-08,Dolnośląskie,1538.77,3691.0,387591.0,122.0,,1799.0,6.0
17,18,2020-11-09,Dolnośląskie,1615.74,3691.0,391282.0,130.0,,1719.0,11.0
18,19,2020-11-10,Dolnośląskie,1613.65,5150.0,396432.0,147.0,,2541.0,27.0
19,20,2020-11-11,Dolnośląskie,1636.31,5150.0,401582.0,150.0,,2661.0,54.0
20,21,2020-11-12,Dolnośląskie,1727.47,5150.0,406732.0,151.0,,1847.0,14.0
21,22,2020-11-13,Dolnośląskie,1684.03,5151.0,411883.0,155.0,,2823.0,29.0
22,23,2020-11-14,Dolnośląskie,1685.86,5150.0,417033.0,151.0,,2794.0,48.0
23,24,2020-11-15,Dolnośląskie,1707.55,5150.0,422183.0,154.0,,2016.0,11.0
24,25,2020-11-16,Dolnośląskie,1716.85,5150.0,427333.0,138.0,,1784.0,8.0
25,26,2020-11-17,Dolnośląskie,1710.65,3531.0,430864.0,149.0,,2418.0,33.0
26,27,2020-11-18,Dolnośląskie,1691.55,3530.0,434394.0,145.0,,2091.0,39.0
27,28,2020-11-19,Dolnośląskie,1726.2,3531.0,437925.0,156.0,,1808.0,40.0
28,29,2020-11-20,Dolnośląskie,1687.1,3530.0,441455.0,154.0,,1626.0,44.0
29,30,2020-11-21,Dolnośląskie,1640.24,3531.0,444986.0,148.0,,1792.0,47.0
30,31,2020-11-22,Dolnośląskie,1627.25,3530.0,448516.0,152.0,,1005.0,13.0
31,32,2020-11-23,Dolnośląskie,1618.45,3531.0,452047.0,153.0,,1035.0,5.0
32,33,2020-11-24,Dolnośląskie,1635.58,4161.0,456208.0,141.0,,1033.0,51.0
33,34,2020-11-25,Dolnośląskie,1557.29,3671.0,459879.0,143.0,,820.0,37.0
34,35,2020-11-26,Dolnośląskie,1546.96,4439.0,464318.0,146.0,,1117.0,51.0
35,36,2020-11-27,Dolnośląskie,1562.81,4971.0,469289.0,138.0,,1319.0,65.0
36,37,2020-11-28,Dolnośląskie,1537.45,5432.0,474721.0,143.0,,1486.0,30.0
37,38,2020-11-29,Dolnośląskie,1565.98,2465.0,477186.0,152.0,,782.0,11.0
38,39,2020-11-30,Dolnośląskie,1584.24,1607.0,478793.0,134.0,,446.0,5.0
39,40,2020-12-01,Dolnośląskie,1560.24,3692.0,482485.0,145.0,,718.0,57.0
40,41,2020-12-02,Dolnośląskie,1541.33,3445.0,485930.0,145.0,,848.0,54.0
41,42,2020-12-03,Dolnośląskie,1528.72,3498.0,489428.0,143.0,,845.0,41.0
42,43,2020-12-04,Dolnośląskie,1522.07,4303.0,493731.0,137.0,,828.0,42.0
43,44,2020-12-05,Dolnośląskie,1509.1,3966.0,497697.0,137.0,,918.0,22.0
44,45,2020-12-06,Dolnośląskie,1526.72,2224.0,499921.0,135.0,,475.0,8.0
45,46,2020-12-07,Dolnośląskie,1485.62,1244.0,501165.0,133.0,,288.0,2.0
46,47,2020-12-08,Dolnośląskie,1428.84,3098.0,504263.0,142.0,,570.0,37.0
47,48,2020-12-09,Dolnośląskie,1395.68,3881.0,508144.0,144.0,,819.0,50.0
48,49,2020-12-10,Dolnośląskie,1347.06,4240.0,512384.0,140.0,,986.0,24.0
49,50,2020-12-11,Dolnośląskie,1358.5,4080.0,516464.0,137.0,,800.0,49.0
50,51,2020-12-12,Dolnośląskie,1341.34,3691.0,520155.0,138.0,,703.0,34.0
51,52,2020-12-13,Dolnośląskie,1349.92,2322.0,522477.0,139.0,,507.0,1.0
52,53,2020-12-14,Dolnośląskie,1412.84,1751.0,524228.0,143.0,,266.0,0.0
53,54,2020-12-15,Dolnośląskie,1377.14,3548.0,527776.0,139.0,,531.0,30.0
54,55,2020-12-16,Dolnośląskie,1327.74,3567.0,531343.0,138.0,,634.0,40.0
55,56,2020-12-17,Dolnośląskie,1340.85,3397.0,534740.0,139.0,,685.0,27.0
56,57,2020-12-18,Dolnośląskie,1381.16,3073.0,537813.0,136.0,,684.0,32.0
