MIASTO;Region;KOD POCZTOWY;NR_KIER;ULICA;PARZYSTE_OD;PARZYSTE_DO;NIEPARZYSTE_OD;NIEPARZYSTE_DO;POD;NOD
ALBIN”W;DOLNOåL•SKIE;58-211;074;;;;;;     0 ;     0 
ALEKSANDROWICE;DOLNOåL•SKIE;56-102;071;;;;;;     0 ;     0 
ALEKSANDR”WKA;DOLNOåL•SKIE;56-208;065;;;;;;     0 ;     0 
ANDRZEJ”W;DOLNOåL•SKIE;59-600;075;;;;;;     0 ;     0 
ANTONI”W;DOLNOåL•SKIE;55-026;071;;;;;;     0 ;     0 
ANTONI”W;DOLNOåL•SKIE;57-200;074;;;;;;     0 ;     0 
ANTONI”W;DOLNOåL•SKIE;58-512;075;;;;;;     0 ;     0 
AUGUST”W;DOLNOåL•SKIE;59-244;076;;;;;;     0 ;     0 
AUGUST”W;DOLNOåL•SKIE;59-813;075;;;;;;     0 ;     0 
AUGUST”W;DOLNOåL•SKIE;59-818;075;;;;;;     0 ;     0 
BABIN;DOLNOåL•SKIE;59-200;076;;;;;;     0 ;     0 
BABOSZ”W;DOLNOåL•SKIE;57-530;074;;;;;;     0 ;     0 
BAGNO;DOLNOåL•SKIE;55-038;071;;;;;;     0 ;     0 
BALDWINOWICE;DOLNOåL•SKIE;57-211;074;;;;;;     0 ;     0 
BARANOWICE;DOLNOåL•SKIE;55-070;071;;;;;;     0 ;     0 
BARANOWICE;DOLNOåL•SKIE;56-210;065;;;;;;     0 ;     0 
BARANOWICE;DOLNOåL•SKIE;56-306;071;;;;;;     0 ;     0 
BARCINEK;DOLNOåL•SKIE;58-512;075;;;;;;     0 ;     0 
BARDO;DOLNOåL•SKIE;57-256;074;;;;;;     0 ;     0 
BARKOWO;DOLNOåL•SKIE;55-143;071;;;;;;     0 ;     0 
BARKOWO;DOLNOåL•SKIE;56-105;071;;;;;;     0 ;     0 
BARKOWO K MILICZA;DOLNOåL•SKIE;56-105;071;;;;;;     0 ;     0 
BARK”WKO;DOLNOåL•SKIE;56-105;071;;;;;;     0 ;     0 
BARSZ”W;DOLNOåL•SKIE;59-305;076;;;;;;     0 ;     0 
BARTK”W;DOLNOåL•SKIE;56-210;065;;;;;;     0 ;     0 
BARTK”W;DOLNOåL•SKIE;56-413;071;;;;;;     0 ;     0 
BARTNICA;DOLNOåL•SKIE;57-451;074;;;;;;     0 ;     0 
BARTNIKI;DOLNOåL•SKIE;56-304;071;;;;;;     0 ;     0 
BARTNIKI;DOLNOåL•SKIE;59-607;075;;;;;;     0 ;     0 
BARTODZIEJE;DOLNOåL•SKIE;56-215;065;;;;;;     0 ;     0 
BARTOSZOWA;DOLNOåL•SKIE;57-160;071;;;;;;     0 ;     0 
BARTOSZ”W;DOLNOåL•SKIE;59-200;076;;;;;;     0 ;     0 
BARTOSZ”WEK;DOLNOåL•SKIE;58-120;074;;;;;;     0 ;     0 
BARTOSZ”WKA;DOLNOåL•SKIE;59-812;075;;;;;;     0 ;     0 
BARYCZ;DOLNOåL•SKIE;59-406;076;;;;;;     0 ;     0 
BASZYN;DOLNOåL•SKIE;56-160;071;;;;;;     0 ;     0 
B•DZ”W;DOLNOåL•SKIE;67-222;076;;;;;;     0 ;     0 
B•KI;DOLNOåL•SKIE;55-042;071;;;;;;     0 ;     0 
BE£CZ G”RNY;DOLNOåL•SKIE;56-211;065;;;;;;     0 ;     0 
BE£CZ MA£Y;DOLNOåL•SKIE;56-210;065;;;;;;     0 ;     0 
BE£CZ WIELKI;DOLNOåL•SKIE;56-208;065;;;;;;     0 ;     0 
BE£CZYNA;DOLNOåL•SKIE;59-610;075;;;;;;     0 ;     0 
BENI”W;DOLNOåL•SKIE;55-026;071;;;;;;     0 ;     0 
B DKOWICE;DOLNOåL•SKIE;55-027;071;;;;;;     0 ;     0 
B DKOWO;DOLNOåL•SKIE;55-100;071;;;;;;     0 ;     0 
BIADASZKA;DOLNOåL•SKIE;56-330;071;;;;;;     0 ;     0 
BIA£A;DOLNOåL•SKIE;58-123;074;;;;;;     0 ;     0 
BIA£A;DOLNOåL•SKIE;59-225;076;;;;;;     0 ;     0 
BIA£A WODA;DOLNOåL•SKIE;57-500;074;;;;;;     0 ;     0 
BIA£AWY;DOLNOåL•SKIE;56-102;071;;;;;;     0 ;     0 
BIA£AWY MA£E;DOLNOåL•SKIE;56-102;071;;;;;;     0 ;     0 
BIA£AWY WIELKIE;DOLNOåL•SKIE;56-102;071;;;;;;     0 ;     0 
BIA£E B£OTO;DOLNOåL•SKIE;56-413;071;;;;;;     0 ;     0 
BIA£KA;DOLNOåL•SKIE;59-200;076;;;;;;     0 ;     0 
BIA£K”W;DOLNOåL•SKIE;55-027;071;;;;;;     0 ;     0 
BIA£K”W;DOLNOåL•SKIE;56-160;071;;;;;;     0 ;     0 
BIA£OBRZEZIE;DOLNOåL•SKIE;57-150;071;;;;;;     0 ;     0 
BIA£OG”RZE;DOLNOåL•SKIE;59-900;075;;;;;;     0 ;     0 
BIA£O£ KA;DOLNOåL•SKIE;67-221;076;;;;;;     0 ;     0 
BIA£OPOLE;DOLNOåL•SKIE;59-900;075;;;;;;     0 ;     0 
BIA£OSZ”W;DOLNOåL•SKIE;58-537;075;;;;;;     0 ;     0 
BIA£Y KOåCI”£;DOLNOåL•SKIE;57-140;071;;;;;;     0 ;     0 
BIA£Y KOåCI”£;DOLNOåL•SKIE;58-300;074;;;;;;     0 ;     0 
