MIASTO;Region;KOD;KIER;ULICA;P_OD;P_DO;N_OD;N_DO;POD;NOD
ABRAMY;MAZOWIECKIE;05-310;025;;;;;;     0 ;     0 
ADAMCZYCHA;MAZOWIECKIE;06-325;023;;;;;;     0 ;     0 
ADAMCZYCHA ZAGR•DZIE;MAZOWIECKIE;06-325;023;;;;;;     0 ;     0 
ADAMIN”W;MAZOWIECKIE;26-621;048;;;;;;     0 ;     0 
ADAMOWA G”RA;MAZOWIECKIE;96-512;046;;;;;;     0 ;     0 
ADAMOWICE;MAZOWIECKIE;96-320;042;;;;;;     0 ;     0 
ADAMOWICE;MAZOWIECKIE;05-090;022;;;;;;     0 ;     0 
ADAMOWIZNA;MAZOWIECKIE;05-825;022;;;;;;     0 ;     0 
ADAMOWO;MAZOWIECKIE;06-120;023;;;;;;     0 ;     0 
ADAMOWO;MAZOWIECKIE;09-133;023;;;;;;     0 ;     0 
ADAMOWO;MAZOWIECKIE;09-228;024;;;;;;     0 ;     0 
ADAMOWO;MAZOWIECKIE;09-120;023;;;;;;     0 ;     0 
ADAMOWO;MAZOWIECKIE;06-540;023;;;;;;     0 ;     0 
ADAMOWO;MAZOWIECKIE;09-320;023;;;;;;     0 ;     0 
ADAMOWO;MAZOWIECKIE;07-211;029;;;;;;     0 ;     0 
ADAMOWO;MAZOWIECKIE;07-425;029;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;07-111;025;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;05-824;022;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;26-414;048;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;05-663;048;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;08-107;025;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;96-325;042;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;26-803;048;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;26-913;048;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;05-650;048;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;97-145;046;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;26-905;048;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;05-651;048;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;26-634;048;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;26-903;048;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;05-307;025;;;;;;     0 ;     0 
ADAM”W;MAZOWIECKIE;09-550;024;;;;;;     0 ;     0 
ADAM”WEK;MAZOWIECKIE;96-322;042;;;;;;     0 ;     0 
ADAM”WEK;MAZOWIECKIE;96-325;042;;;;;;     0 ;     0 
ADAM”WEK;MAZOWIECKIE;05-152;022;;;;;;     0 ;     0 
ADAM”WKA;MAZOWIECKIE;05-622;048;;;;;;     0 ;     0 
ADAM”WKA;MAZOWIECKIE;05-311;025;;;;;;     0 ;     0 
ADAMPOL;MAZOWIECKIE;07-150;025;;;;;;     0 ;     0 
ADAMPOL;MAZOWIECKIE;07-161;025;;;;;;     0 ;     0 
ADOLFIN;MAZOWIECKIE;26-671;048;;;;;;     0 ;     0 
ADOLFIN;MAZOWIECKIE;05-332;025;;;;;;     0 ;     0 
ADOLFOWO;MAZOWIECKIE;06-540;023;;;;;;     0 ;     0 
ADOLF”W;MAZOWIECKIE;08-322;025;;;;;;     0 ;     0 
AGIBA£”WKA;MAZOWIECKIE;08-471;025;;;;;;     0 ;     0 
AGNIESZKOWO;MAZOWIECKIE;06-540;023;;;;;;     0 ;     0 
AGNIESZKOWO;MAZOWIECKIE;09-216;024;;;;;;     0 ;     0 
AGNIESZKOWO KRZYØ”WKI;MAZOWIECKIE;09-216;024;;;;;;     0 ;     0 
AGNOPOL;MAZOWIECKIE;97-145;046;;;;;;     0 ;     0 
AKACJA;MAZOWIECKIE;96-522;046;;;;;;     0 ;     0 
ALBERT”W;MAZOWIECKIE;97-160;046;;;;;;     0 ;     0 
ALBIN”W;MAZOWIECKIE;08-330;025;;;;;;     0 ;     0 
ALBIN”W;MAZOWIECKIE;08-122;025;;;;;;     0 ;     0 
ALEKSANDRIA;MAZOWIECKIE;09-131;023;;;;;;     0 ;     0 
ALEKSANDROWO;MAZOWIECKIE;07-414;029;;;;;;     0 ;     0 
ALEKSANDROWO;MAZOWIECKIE;06-317;023;;;;;;     0 ;     0 
ALEKSANDROWO;MAZOWIECKIE;07-207;029;;;;;;     0 ;     0 
ALEKSANDROWO;MAZOWIECKIE;06-458;023;;;;;;     0 ;     0 
ALEKSANDROWO;MAZOWIECKIE;07-421;029;;;;;;     0 ;     0 
ALEKSANDROWO;MAZOWIECKIE;06-130;023;;;;;;     0 ;     0 
ALEKSANDROWO;MAZOWIECKIE;09-135;023;;;;;;     0 ;     0 
ALEKSANDROWO;MAZOWIECKIE;09-440;024;;;;;;     0 ;     0 
ALEKSANDROWO;MAZOWIECKIE;96-521;046;;;;;;     0 ;     0 
ALEKSANDROWO;MAZOWIECKIE;06-420;023;;;;;;     0 ;     0 
