country_code,age_group,new_cases,population,rate_14_day_per_100k,location,date
AT,<15yr,0,1283060,,Austria,2020-02-24
AT,15-24yr,4,955625,,Austria,2020-02-24
AT,25-49yr,5,3006228,,Austria,2020-02-24
AT,50-64yr,2,1962524,,Austria,2020-02-24
AT,65-79yr,1,1219580,,Austria,2020-02-24
AT,80+yr,0,474047,,Austria,2020-02-24
AT,<15yr,0,1283060,0.0,Austria,2020-03-02
AT,15-24yr,14,955625,1.9,Austria,2020-03-02
AT,25-49yr,53,3006228,1.9,Austria,2020-03-02
AT,50-64yr,22,1962524,1.2,Austria,2020-03-02
AT,65-79yr,16,1219580,1.4,Austria,2020-03-02
AT,80+yr,2,474047,0.4,Austria,2020-03-02
AT,<15yr,10,1283060,0.8,Austria,2020-03-09
AT,15-24yr,103,955625,12.2,Austria,2020-03-09
AT,25-49yr,411,3006228,15.4,Austria,2020-03-09
AT,50-64yr,235,1962524,13.1,Austria,2020-03-09
AT,65-79yr,95,1219580,9.1,Austria,2020-03-09
AT,80+yr,20,474047,4.6,Austria,2020-03-09
AT,<15yr,58,1283060,5.3,Austria,2020-03-16
AT,15-24yr,285,955625,40.6,Austria,2020-03-16
AT,25-49yr,1204,3006228,53.7,Austria,2020-03-16
AT,50-64yr,933,1962524,59.5,Austria,2020-03-16
AT,65-79yr,402,1219580,40.8,Austria,2020-03-16
AT,80+yr,186,474047,43.5,Austria,2020-03-16
AT,<15yr,156,1283060,16.7,Austria,2020-03-23
AT,15-24yr,435,955625,75.3,Austria,2020-03-23
AT,25-49yr,1900,3006228,103.3,Austria,2020-03-23
AT,50-64yr,1533,1962524,125.7,Austria,2020-03-23
AT,65-79yr,731,1219580,92.9,Austria,2020-03-23
AT,80+yr,373,474047,117.9,Austria,2020-03-23
AT,<15yr,104,1283060,20.3,Austria,2020-03-30
AT,15-24yr,308,955625,77.8,Austria,2020-03-30
AT,25-49yr,1093,3006228,99.6,Austria,2020-03-30
AT,50-64yr,847,1962524,121.3,Austria,2020-03-30
AT,65-79yr,429,1219580,95.1,Austria,2020-03-30
AT,80+yr,334,474047,149.1,Austria,2020-03-30
AT,<15yr,54,1283060,12.3,Austria,2020-04-06
AT,15-24yr,178,955625,50.9,Austria,2020-04-06
AT,25-49yr,592,3006228,56.1,Austria,2020-04-06
AT,50-64yr,522,1962524,69.8,Austria,2020-04-06
AT,65-79yr,233,1219580,54.3,Austria,2020-04-06
AT,80+yr,258,474047,124.9,Austria,2020-04-06
AT,<15yr,14,1283060,5.3,Austria,2020-04-13
AT,15-24yr,54,955625,24.3,Austria,2020-04-13
AT,25-49yr,217,3006228,26.9,Austria,2020-04-13
AT,50-64yr,136,1962524,33.5,Austria,2020-04-13
AT,65-79yr,110,1219580,28.1,Austria,2020-04-13
AT,80+yr,154,474047,86.9,Austria,2020-04-13
AT,<15yr,21,1283060,2.7,Austria,2020-04-20
AT,15-24yr,38,955625,9.6,Austria,2020-04-20
AT,25-49yr,160,3006228,12.5,Austria,2020-04-20
AT,50-64yr,95,1962524,11.8,Austria,2020-04-20
AT,65-79yr,62,1219580,14.1,Austria,2020-04-20
AT,80+yr,74,474047,48.1,Austria,2020-04-20
AT,<15yr,20,1283060,3.2,Austria,2020-04-27
AT,15-24yr,25,955625,6.6,Austria,2020-04-27
AT,25-49yr,128,3006228,9.6,Austria,2020-04-27
AT,50-64yr,57,1962524,7.7,Austria,2020-04-27
AT,65-79yr,38,1219580,8.2,Austria,2020-04-27
AT,80+yr,44,474047,24.9,Austria,2020-04-27
AT,<15yr,6,1283060,2.0,Austria,2020-05-04
AT,15-24yr,36,955625,6.4,Austria,2020-05-04
AT,25-49yr,109,3006228,7.9,Austria,2020-05-04
AT,50-64yr,65,1962524,6.2,Austria,2020-05-04
AT,65-79yr,12,1219580,4.1,Austria,2020-05-04
AT,80+yr,36,474047,16.9,Austria,2020-05-04
AT,<15yr,26,1283060,2.5,Austria,2020-05-11
AT,15-24yr,40,955625,8.0,Austria,2020-05-11
AT,25-49yr,174,3006228,9.4,Austria,2020-05-11
AT,50-64yr,70,1962524,6.9,Austria,2020-05-11
AT,65-79yr,17,1219580,2.4,Austria,2020-05-11
AT,80+yr,8,474047,9.3,Austria,2020-05-11
AT,<15yr,25,1283060,4.0,Austria,2020-05-18
AT,15-24yr,33,955625,7.6,Austria,2020-05-18
AT,25-49yr,128,3006228,10.0,Austria,2020-05-18
AT,50-64yr,48,1962524,6.0,Austria,2020-05-18
AT,65-79yr,19,1219580,3.0,Austria,2020-05-18
AT,80+yr,12,474047,4.2,Austria,2020-05-18
AT,<15yr,28,1283060,4.1,Austria,2020-05-25
AT,15-24yr,23,955625,5.9,Austria,2020-05-25
AT,25-49yr,88,3006228,7.2,Austria,2020-05-25
AT,50-64yr,42,1962524,4.6,Austria,2020-05-25
AT,65-79yr,9,1219580,2.3,Austria,2020-05-25
AT,80+yr,5,474047,3.6,Austria,2020-05-25
AT,<15yr,33,1283060,4.8,Austria,2020-06-01
AT,15-24yr,31,955625,5.7,Austria,2020-06-01
AT,25-49yr,92,3006228,6.0,Austria,2020-06-01
AT,50-64yr,46,1962524,4.5,Austria,2020-06-01
AT,65-79yr,16,1219580,2.0,Austria,2020-06-01
AT,80+yr,9,474047,3.0,Austria,2020-06-01
AT,<15yr,22,1283060,4.3,Austria,2020-06-08
AT,15-24yr,26,955625,6.0,Austria,2020-06-08
AT,25-49yr,64,3006228,5.2,Austria,2020-06-08
AT,50-64yr,31,1962524,3.9,Austria,2020-06-08
AT,65-79yr,15,1219580,2.5,Austria,2020-06-08
AT,80+yr,14,474047,4.9,Austria,2020-06-08
AT,<15yr,32,1283060,4.2,Austria,2020-06-15
AT,15-24yr,50,955625,8.0,Austria,2020-06-15
AT,25-49yr,87,3006228,5.0,Austria,2020-06-15
AT,50-64yr,50,1962524,4.1,Austria,2020-06-15
AT,65-79yr,16,1219580,2.5,Austria,2020-06-15
AT,80+yr,13,474047,5.7,Austria,2020-06-15
AT,<15yr,42,1283060,5.8,Austria,2020-06-22
AT,15-24yr,55,955625,11.0,Austria,2020-06-22
AT,25-49yr,174,3006228,8.7,Austria,2020-06-22
AT,50-64yr,45,1962524,4.8,Austria,2020-06-22
AT,65-79yr,13,1219580,2.4,Austria,2020-06-22
AT,80+yr,6,474047,4.0,Austria,2020-06-22
AT,<15yr,109,1283060,11.8,Austria,2020-06-29
AT,15-24yr,96,955625,15.8,Austria,2020-06-29
AT,25-49yr,294,3006228,15.6,Austria,2020-06-29
AT,50-64yr,106,1962524,7.7,Austria,2020-06-29
AT,65-79yr,24,1219580,3.0,Austria,2020-06-29
AT,80+yr,12,474047,3.8,Austria,2020-06-29
AT,<15yr,59,1283060,13.1,Austria,2020-07-06
AT,15-24yr,112,955625,21.8,Austria,2020-07-06
AT,25-49yr,282,3006228,19.2,Austria,2020-07-06
AT,50-64yr,89,1962524,9.9,Austria,2020-07-06
AT,65-79yr,37,1219580,5.0,Austria,2020-07-06
AT,80+yr,17,474047,6.1,Austria,2020-07-06
AT,<15yr,95,1283060,12.0,Austria,2020-07-13
AT,15-24yr,128,955625,25.1,Austria,2020-07-13
AT,25-49yr,333,3006228,20.5,Austria,2020-07-13
AT,50-64yr,159,1962524,12.6,Austria,2020-07-13
AT,65-79yr,46,1219580,6.8,Austria,2020-07-13
AT,80+yr,23,474047,8.4,Austria,2020-07-13
AT,<15yr,82,1283060,13.8,Austria,2020-07-20
AT,15-24yr,203,955625,34.6,Austria,2020-07-20
AT,25-49yr,336,3006228,22.3,Austria,2020-07-20
AT,50-64yr,153,1962524,15.9,Austria,2020-07-20
AT,65-79yr,69,1219580,9.4,Austria,2020-07-20
AT,80+yr,29,474047,11.0,Austria,2020-07-20
AT,<15yr,75,1283060,12.2,Austria,2020-07-27
AT,15-24yr,203,955625,42.5,Austria,2020-07-27
AT,25-49yr,320,3006228,21.8,Austria,2020-07-27
AT,50-64yr,131,1962524,14.5,Austria,2020-07-27
AT,65-79yr,48,1219580,9.6,Austria,2020-07-27
AT,80+yr,16,474047,9.5,Austria,2020-07-27
AT,<15yr,53,1283060,10.0,Austria,2020-08-03
AT,15-24yr,198,955625,42.0,Austria,2020-08-03
AT,25-49yr,299,3006228,20.6,Austria,2020-08-03
AT,50-64yr,127,1962524,13.1,Austria,2020-08-03
AT,65-79yr,28,1219580,6.2,Austria,2020-08-03
AT,80+yr,17,474047,7.0,Austria,2020-08-03
AT,<15yr,77,1283060,10.1,Austria,2020-08-10
AT,15-24yr,577,955625,81.1,Austria,2020-08-10
AT,25-49yr,569,3006228,28.9,Austria,2020-08-10
AT,50-64yr,152,1962524,14.2,Austria,2020-08-10
AT,65-79yr,63,1219580,7.5,Austria,2020-08-10
AT,80+yr,23,474047,8.4,Austria,2020-08-10
AT,<15yr,130,1283060,16.1,Austria,2020-08-17
AT,15-24yr,662,955625,129.7,Austria,2020-08-17
AT,25-49yr,832,3006228,46.6,Austria,2020-08-17
AT,50-64yr,211,1962524,18.5,Austria,2020-08-17
AT,65-79yr,60,1219580,10.1,Austria,2020-08-17
AT,80+yr,12,474047,7.4,Austria,2020-08-17
AT,<15yr,177,1283060,23.9,Austria,2020-08-24
AT,15-24yr,517,955625,123.4,Austria,2020-08-24
AT,25-49yr,849,3006228,55.9,Austria,2020-08-24
AT,50-64yr,285,1962524,25.3,Austria,2020-08-24
AT,65-79yr,82,1219580,11.6,Austria,2020-08-24
AT,80+yr,31,474047,9.1,Austria,2020-08-24
AT,<15yr,228,1283060,31.6,Austria,2020-08-31
AT,15-24yr,552,955625,111.9,Austria,2020-08-31
AT,25-49yr,983,3006228,60.9,Austria,2020-08-31
AT,50-64yr,385,1962524,34.1,Austria,2020-08-31
AT,65-79yr,102,1219580,15.1,Austria,2020-08-31
AT,80+yr,19,474047,10.5,Austria,2020-08-31
AT,<15yr,387,1283060,47.9,Austria,2020-09-07
AT,15-24yr,963,955625,158.5,Austria,2020-09-07
AT,25-49yr,1710,3006228,89.6,Austria,2020-09-07
AT,50-64yr,645,1962524,52.5,Austria,2020-09-07
AT,65-79yr,191,1219580,24.0,Austria,2020-09-07
AT,80+yr,101,474047,25.3,Austria,2020-09-07
AT,<15yr,512,1283060,70.1,Austria,2020-09-14
AT,15-24yr,1303,955625,237.1,Austria,2020-09-14
AT,25-49yr,2193,3006228,129.8,Austria,2020-09-14
AT,50-64yr,828,1962524,75.1,Austria,2020-09-14
AT,65-79yr,256,1219580,36.7,Austria,2020-09-14
AT,80+yr,118,474047,46.2,Austria,2020-09-14
AT,<15yr,470,1283060,76.5,Austria,2020-09-21
AT,15-24yr,919,955625,232.5,Austria,2020-09-21
AT,25-49yr,1970,3006228,138.5,Austria,2020-09-21
AT,50-64yr,815,1962524,83.7,Austria,2020-09-21
AT,65-79yr,335,1219580,48.5,Austria,2020-09-21
AT,80+yr,148,474047,56.1,Austria,2020-09-21
AT,<15yr,615,1283060,84.6,Austria,2020-09-28
AT,15-24yr,1078,955625,209.0,Austria,2020-09-28
AT,25-49yr,2326,3006228,142.9,Austria,2020-09-28
AT,50-64yr,1059,1962524,95.5,Austria,2020-09-28
AT,65-79yr,348,1219580,56.0,Austria,2020-09-28
AT,80+yr,172,474047,67.5,Austria,2020-09-28
AT,<15yr,841,1283060,113.5,Austria,2020-10-05
AT,15-24yr,1320,955625,250.9,Austria,2020-10-05
AT,25-49yr,2870,3006228,172.8,Austria,2020-10-05
AT,50-64yr,1481,1962524,129.4,Austria,2020-10-05
AT,65-79yr,580,1219580,76.1,Austria,2020-10-05
AT,80+yr,397,474047,120.0,Austria,2020-10-05
AT,<15yr,986,1283060,142.4,Austria,2020-10-12
AT,15-24yr,1648,955625,310.6,Austria,2020-10-12
AT,25-49yr,3798,3006228,221.8,Austria,2020-10-12
AT,50-64yr,2125,1962524,183.7,Austria,2020-10-12
AT,65-79yr,877,1219580,119.5,Austria,2020-10-12
AT,80+yr,470,474047,182.9,Austria,2020-10-12
AT,<15yr,1367,1283060,183.4,Austria,2020-10-19
AT,15-24yr,2962,955625,482.4,Austria,2020-10-19
AT,25-49yr,7210,3006228,366.2,Austria,2020-10-19
AT,50-64yr,4011,1962524,312.7,Austria,2020-10-19
AT,65-79yr,1656,1219580,207.7,Austria,2020-10-19
AT,80+yr,1079,474047,326.8,Austria,2020-10-19
AT,<15yr,1879,1283060,253.0,Austria,2020-10-26
AT,15-24yr,4933,955625,826.2,Austria,2020-10-26
AT,25-49yr,12665,3006228,661.1,Austria,2020-10-26
AT,50-64yr,7430,1962524,583.0,Austria,2020-10-26
AT,65-79yr,3031,1219580,384.3,Austria,2020-10-26
AT,80+yr,1682,474047,582.4,Austria,2020-10-26
AT,<15yr,2039,1283060,305.4,Austria,2020-11-02
AT,15-24yr,6651,955625,1212.2,Austria,2020-11-02
AT,25-49yr,18168,3006228,1025.6,Austria,2020-11-02
AT,50-64yr,11006,1962524,939.4,Austria,2020-11-02
AT,65-79yr,4594,1219580,625.2,Austria,2020-11-02
AT,80+yr,2305,474047,841.1,Austria,2020-11-02
AT,<15yr,2919,1283060,386.4,Austria,2020-11-09
AT,15-24yr,6323,955625,1357.6,Austria,2020-11-09
AT,25-49yr,18986,3006228,1235.9,Austria,2020-11-09
AT,50-64yr,11855,1962524,1164.9,Austria,2020-11-09
AT,65-79yr,4954,1219580,782.9,Austria,2020-11-09
AT,80+yr,2865,474047,1090.6,Austria,2020-11-09
AT,<15yr,2641,1283060,433.3,Austria,2020-11-16
AT,15-24yr,4790,955625,1162.9,Austria,2020-11-16
AT,25-49yr,16268,3006228,1172.7,Austria,2020-11-16
AT,50-64yr,9888,1962524,1107.9,Austria,2020-11-16
AT,65-79yr,4106,1219580,742.9,Austria,2020-11-16
AT,80+yr,3070,474047,1252.0,Austria,2020-11-16
AT,<15yr,1877,1283060,352.1,Austria,2020-11-23
AT,15-24yr,3804,955625,899.3,Austria,2020-11-23
AT,25-49yr,12387,3006228,953.2,Austria,2020-11-23
AT,50-64yr,7382,1962524,880.0,Austria,2020-11-23
AT,65-79yr,3046,1219580,586.4,Austria,2020-11-23
AT,80+yr,2700,474047,1217.2,Austria,2020-11-23
AT,<15yr,1225,1283060,241.8,Austria,2020-11-30
AT,15-24yr,2611,955625,671.3,Austria,2020-11-30
AT,25-49yr,8985,3006228,710.9,Austria,2020-11-30
AT,50-64yr,5464,1962524,654.6,Austria,2020-11-30
AT,65-79yr,2350,1219580,442.4,Austria,2020-11-30
AT,80+yr,2458,474047,1088.1,Austria,2020-11-30
AT,<15yr,1005,1283060,173.8,Austria,2020-12-07
AT,15-24yr,2140,955625,497.2,Austria,2020-12-07
AT,25-49yr,6960,3006228,530.4,Austria,2020-12-07
AT,50-64yr,4549,1962524,510.2,Austria,2020-12-07
AT,65-79yr,2089,1219580,364.0,Austria,2020-12-07
AT,80+yr,1972,474047,934.5,Austria,2020-12-07
AT,<15yr,959,1283060,153.1,Austria,2020-12-14
AT,15-24yr,1679,955625,399.6,Austria,2020-12-14
AT,25-49yr,5527,3006228,415.4,Austria,2020-12-14
AT,50-64yr,3340,1962524,402.0,Austria,2020-12-14
AT,65-79yr,1698,1219580,310.5,Austria,2020-12-14
AT,80+yr,1668,474047,767.9,Austria,2020-12-14
AT,<15yr,875,1283060,142.9,Austria,2020-12-21
AT,15-24yr,1508,955625,333.5,Austria,2020-12-21
AT,25-49yr,5116,3006228,354.0,Austria,2020-12-21
AT,50-64yr,3195,1962524,333.0,Austria,2020-12-21
AT,65-79yr,1436,1219580,257.0,Austria,2020-12-21
AT,80+yr,1265,474047,618.7,Austria,2020-12-21
