,dawka_1,dawka_2,dostawa,grupa,marka,denom,location,week2,year2,date
0,0,0,0.0,1_Age60+,MOD,2259262.0,Austria,53,2020,2020-12-28
1,0,0,0.0,1_Age60+,AZ,2259262.0,Austria,53,2020,2020-12-28
2,0,0,0.0,1_Age60+,JANSS,2259262.0,Austria,53,2020,2020-12-28
3,2663,0,61425.0,1_Age60+,COM,2259262.0,Austria,53,2020,2020-12-28
4,0,0,0.0,1_Age<60,AZ,5099181.0,Austria,53,2020,2020-12-28
5,0,0,0.0,1_Age<60,JANSS,5099181.0,Austria,53,2020,2020-12-28
6,2372,0,61425.0,1_Age<60,COM,5099181.0,Austria,53,2020,2020-12-28
7,0,0,0.0,1_Age<60,MOD,5099181.0,Austria,53,2020,2020-12-28
8,0,0,0.0,ALL,MOD,7358443.0,Austria,53,2020,2020-12-28
9,0,0,0.0,ALL,AZ,7358443.0,Austria,53,2020,2020-12-28
10,0,0,0.0,ALL,JANSS,7358443.0,Austria,53,2020,2020-12-28
11,5035,0,61425.0,ALL,COM,7358443.0,Austria,53,2020,2020-12-28
12,0,0,0.0,Age18_24,AZ,696064.0,Austria,53,2020,2020-12-28
13,0,0,0.0,Age18_24,MOD,696064.0,Austria,53,2020,2020-12-28
14,110,0,61425.0,Age18_24,COM,696064.0,Austria,53,2020,2020-12-28
15,0,0,0.0,Age18_24,JANSS,696064.0,Austria,53,2020,2020-12-28
16,1278,0,61425.0,Age25_49,COM,3006228.0,Austria,53,2020,2020-12-28
17,0,0,0.0,Age25_49,JANSS,3006228.0,Austria,53,2020,2020-12-28
18,0,0,0.0,Age25_49,AZ,3006228.0,Austria,53,2020,2020-12-28
19,0,0,0.0,Age25_49,MOD,3006228.0,Austria,53,2020,2020-12-28
20,978,0,61425.0,Age50_59,COM,1396889.0,Austria,53,2020,2020-12-28
21,0,0,0.0,Age50_59,AZ,1396889.0,Austria,53,2020,2020-12-28
22,0,0,0.0,Age50_59,JANSS,1396889.0,Austria,53,2020,2020-12-28
23,0,0,0.0,Age50_59,MOD,1396889.0,Austria,53,2020,2020-12-28
24,515,0,61425.0,Age60_69,COM,1016016.0,Austria,53,2020,2020-12-28
25,0,0,0.0,Age60_69,MOD,1016016.0,Austria,53,2020,2020-12-28
26,0,0,0.0,Age60_69,JANSS,1016016.0,Austria,53,2020,2020-12-28
27,0,0,0.0,Age60_69,AZ,1016016.0,Austria,53,2020,2020-12-28
28,595,0,61425.0,Age70_79,COM,769199.0,Austria,53,2020,2020-12-28
29,0,0,0.0,Age70_79,AZ,769199.0,Austria,53,2020,2020-12-28
30,0,0,0.0,Age70_79,JANSS,769199.0,Austria,53,2020,2020-12-28
31,0,0,0.0,Age70_79,MOD,769199.0,Austria,53,2020,2020-12-28
