,dawka_1,dawka_2,dostawa,grupa,marka,denom,location,week2,year2,date
30588,34,0,0.0,ALL,COM,1701879.0,Podkarpackie,52,2020,2020-12-21
30589,207,0,0.0,ALL,COM,2371693.0,Dolnośląskie,52,2020,2020-12-21
30590,0,0,0.0,ALL,MOD,2725922.0,Małopolskie,52,2020,2020-12-21
30591,0,0,0.0,ALL,AZ,945809.0,Podlaskie,52,2020,2020-12-21
30592,0,0,0.0,ALL,AZ,31044901.0,Polska,52,2020,2020-12-21
30593,55,0,0.0,ALL,COM,2803093.0,Wielkopolskie,52,2020,2020-12-21
30594,0,0,0.0,ALL,JANSS,945809.0,Podlaskie,52,2020,2020-12-21
30595,0,0,0.0,ALL,MOD,2371693.0,Dolnośląskie,52,2020,2020-12-21
30596,0,0,0.0,ALL,MOD,4381866.0,Mazowieckie,52,2020,2020-12-21
30597,0,0,0.0,ALL,JANSS,2371693.0,Dolnośląskie,52,2020,2020-12-21
30598,0,0,0.0,ALL,AZ,2026852.0,Łódzkie,52,2020,2020-12-21
30599,30,0,0.0,ALL,COM,786355.0,Opolskie,52,2020,2020-12-21
30600,0,0,0.0,ALL,AZ,1381726.0,Zachodniopomorskie,52,2020,2020-12-21
30601,0,0,0.0,ALL,MOD,786355.0,Opolskie,52,2020,2020-12-21
30602,0,0,0.0,ALL,JANSS,1381726.0,Zachodniopomorskie,52,2020,2020-12-21
30603,0,0,0.0,ALL,MOD,2026852.0,Łódzkie,52,2020,2020-12-21
30604,0,0,0.0,ALL,JANSS,2725922.0,Małopolskie,52,2020,2020-12-21
30605,0,0,0.0,ALL,MOD,1141615.0,Warmińsko-Mazurskie,52,2020,2020-12-21
30606,0,0,0.0,ALL,JANSS,1141615.0,Warmińsko-Mazurskie,52,2020,2020-12-21
30607,0,0,0.0,ALL,JANSS,1679966.0,Kujawsko-Pomorskie,52,2020,2020-12-21
30608,0,0,0.0,ALL,MOD,1016552.0,Świętokrzyskie,52,2020,2020-12-21
30609,0,0,0.0,ALL,AZ,1141615.0,Warmińsko-Mazurskie,52,2020,2020-12-21
30610,0,0,0.0,ALL,AZ,786355.0,Opolskie,52,2020,2020-12-21
30611,95,0,0.0,ALL,COM,1856577.0,Pomorskie,52,2020,2020-12-21
30612,0,0,0.0,ALL,AZ,2725922.0,Małopolskie,52,2020,2020-12-21
30613,124,0,0.0,ALL,COM,819729.0,Lubuskie,52,2020,2020-12-21
30614,15,0,0.0,ALL,COM,1016552.0,Świętokrzyskie,52,2020,2020-12-21
30615,0,0,0.0,ALL,JANSS,1016552.0,Świętokrzyskie,52,2020,2020-12-21
30616,0,0,0.0,ALL,JANSS,819729.0,Lubuskie,52,2020,2020-12-21
30617,332,0,0.0,ALL,COM,4381866.0,Mazowieckie,52,2020,2020-12-21
30618,258,0,0.0,ALL,COM,2026852.0,Łódzkie,52,2020,2020-12-21
30619,61,0,0.0,ALL,COM,945809.0,Podlaskie,52,2020,2020-12-21
30620,20,0,0.0,ALL,COM,1381726.0,Zachodniopomorskie,52,2020,2020-12-21
30621,0,0,0.0,ALL,JANSS,2803093.0,Wielkopolskie,52,2020,2020-12-21
30622,0,0,0.0,ALL,MOD,1381726.0,Zachodniopomorskie,52,2020,2020-12-21
30623,0,0,0.0,ALL,AZ,3705960.0,Śląskie,52,2020,2020-12-21
30624,0,0,0.0,ALL,AZ,1701879.0,Podkarpackie,52,2020,2020-12-21
30625,0,0,0.0,ALL,AZ,1719530.0,Lubelskie,52,2020,2020-12-21
30626,0,0,0.0,ALL,AZ,2371693.0,Dolnośląskie,52,2020,2020-12-21
30627,0,0,0.0,ALL,MOD,3705960.0,Śląskie,52,2020,2020-12-21
30628,0,0,0.0,ALL,AZ,2803093.0,Wielkopolskie,52,2020,2020-12-21
30629,0,0,0.0,ALL,MOD,1856577.0,Pomorskie,52,2020,2020-12-21
30630,0,0,0.0,ALL,JANSS,1719530.0,Lubelskie,52,2020,2020-12-21
30631,0,0,0.0,ALL,AZ,1679966.0,Kujawsko-Pomorskie,52,2020,2020-12-21
30632,0,0,0.0,ALL,AZ,1016552.0,Świętokrzyskie,52,2020,2020-12-21
30633,0,0,0.0,ALL,MOD,1719530.0,Lubelskie,52,2020,2020-12-21
30634,150,0,0.0,ALL,COM,1679966.0,Kujawsko-Pomorskie,52,2020,2020-12-21
30635,185,0,0.0,ALL,COM,3705960.0,Śląskie,52,2020,2020-12-21
30636,0,0,0.0,ALL,AZ,1856577.0,Pomorskie,52,2020,2020-12-21
30637,0,0,0.0,ALL,JANSS,3705960.0,Śląskie,52,2020,2020-12-21
30638,0,0,0.0,ALL,JANSS,31044901.0,Polska,52,2020,2020-12-21
30639,0,0,0.0,ALL,MOD,31044901.0,Polska,52,2020,2020-12-21
30640,0,0,0.0,ALL,MOD,1679966.0,Kujawsko-Pomorskie,52,2020,2020-12-21
30641,309,0,0.0,ALL,COM,1719530.0,Lubelskie,52,2020,2020-12-21
30642,0,0,0.0,ALL,JANSS,2026852.0,Łódzkie,52,2020,2020-12-21
30643,0,0,0.0,ALL,AZ,4381866.0,Mazowieckie,52,2020,2020-12-21
30644,0,0,0.0,ALL,JANSS,1856577.0,Pomorskie,52,2020,2020-12-21
30645,2216,0,9750.0,ALL,COM,31044901.0,Polska,52,2020,2020-12-21
30646,0,0,0.0,ALL,MOD,2803093.0,Wielkopolskie,52,2020,2020-12-21
30647,0,0,0.0,ALL,JANSS,786355.0,Opolskie,52,2020,2020-12-21
30648,152,0,0.0,ALL,COM,1141615.0,Warmińsko-Mazurskie,52,2020,2020-12-21
30649,0,0,0.0,ALL,JANSS,4381866.0,Mazowieckie,52,2020,2020-12-21
30650,189,0,0.0,ALL,COM,2725922.0,Małopolskie,52,2020,2020-12-21
30651,0,0,0.0,ALL,MOD,819729.0,Lubuskie,52,2020,2020-12-21
30652,0,0,0.0,ALL,JANSS,1701879.0,Podkarpackie,52,2020,2020-12-21
30653,0,0,0.0,ALL,MOD,945809.0,Podlaskie,52,2020,2020-12-21
30654,0,0,0.0,ALL,MOD,1701879.0,Podkarpackie,52,2020,2020-12-21
30655,0,0,0.0,ALL,AZ,819729.0,Lubuskie,52,2020,2020-12-21
30656,0,0,0.0,Age18_24,MOD,170066.0,Podkarpackie,52,2020,2020-12-21
30657,6,0,0.0,Age18_24,COM,189725.0,Dolnośląskie,52,2020,2020-12-21
30658,0,0,0.0,Age18_24,MOD,2754264.0,Polska,52,2020,2020-12-21
30659,0,0,0.0,Age18_24,JANSS,169826.0,Łódzkie,52,2020,2020-12-21
30660,0,0,0.0,Age18_24,COM,91866.0,Świętokrzyskie,52,2020,2020-12-21
30661,0,0,0.0,Age18_24,AZ,257295.0,Małopolskie,52,2020,2020-12-21
30662,0,0,0.0,Age18_24,AZ,120140.0,Zachodniopomorskie,52,2020,2020-12-21
30663,0,0,0.0,Age18_24,JANSS,189725.0,Dolnośląskie,52,2020,2020-12-21
