bin,sex,location,date,count
6,K,Dolnośląskie,2020-12-31,2.0
7,K,Dolnośląskie,2020-12-31,1.0
8,K,Dolnośląskie,2020-12-31,2.0
5,M,Dolnośląskie,2020-12-31,1.0
6,M,Dolnośląskie,2020-12-31,2.0
7,M,Dolnośląskie,2020-12-31,3.0
8,M,Dolnośląskie,2020-12-31,12.0
4,K,Kujawsko-Pomorskie,2020-12-31,1.0
5,K,Kujawsko-Pomorskie,2020-12-31,1.0
6,K,Kujawsko-Pomorskie,2020-12-31,2.0
7,K,Kujawsko-Pomorskie,2020-12-31,3.0
8,K,Kujawsko-Pomorskie,2020-12-31,10.0
3,M,Kujawsko-Pomorskie,2020-12-31,1.0
5,M,Kujawsko-Pomorskie,2020-12-31,1.0
6,M,Kujawsko-Pomorskie,2020-12-31,9.0
7,M,Kujawsko-Pomorskie,2020-12-31,8.0
8,M,Kujawsko-Pomorskie,2020-12-31,11.0
5,K,Lubelskie,2020-12-31,1.0
6,K,Lubelskie,2020-12-31,1.0
7,K,Lubelskie,2020-12-31,1.0
8,K,Lubelskie,2020-12-31,7.0
5,M,Lubelskie,2020-12-31,1.0
6,M,Lubelskie,2020-12-31,6.0
7,M,Lubelskie,2020-12-31,4.0
8,M,Lubelskie,2020-12-31,9.0
5,K,Lubuskie,2020-12-31,1.0
6,K,Lubuskie,2020-12-31,2.0
7,K,Lubuskie,2020-12-31,2.0
8,K,Lubuskie,2020-12-31,3.0
4,M,Lubuskie,2020-12-31,2.0
5,M,Lubuskie,2020-12-31,1.0
6,M,Lubuskie,2020-12-31,1.0
8,M,Lubuskie,2020-12-31,3.0
5,K,Mazowieckie,2020-12-31,2.0
6,K,Mazowieckie,2020-12-31,5.0
7,K,Mazowieckie,2020-12-31,6.0
8,K,Mazowieckie,2020-12-31,13.0
3,M,Mazowieckie,2020-12-31,1.0
5,M,Mazowieckie,2020-12-31,4.0
6,M,Mazowieckie,2020-12-31,6.0
7,M,Mazowieckie,2020-12-31,12.0
8,M,Mazowieckie,2020-12-31,19.0
6,K,Małopolskie,2020-12-31,2.0
8,K,Małopolskie,2020-12-31,5.0
5,M,Małopolskie,2020-12-31,1.0
6,M,Małopolskie,2020-12-31,2.0
7,M,Małopolskie,2020-12-31,2.0
8,M,Małopolskie,2020-12-31,6.0
6,K,Opolskie,2020-12-31,3.0
7,K,Opolskie,2020-12-31,6.0
