location,geo_type,transportation_type,country,date,mobility
Dolnośląskie,sub-region,driving,Polska,2020-01-13,100.0
Dolnośląskie,sub-region,walking,Polska,2020-01-13,100.0
Dolnośląskie,sub-region,driving,Polska,2020-01-14,101.2
Dolnośląskie,sub-region,walking,Polska,2020-01-14,96.12
Dolnośląskie,sub-region,driving,Polska,2020-01-15,103.02
Dolnośląskie,sub-region,walking,Polska,2020-01-15,104.93
Dolnośląskie,sub-region,driving,Polska,2020-01-16,105.96
Dolnośląskie,sub-region,walking,Polska,2020-01-16,115.44
Dolnośląskie,sub-region,driving,Polska,2020-01-17,118.9
Dolnośląskie,sub-region,walking,Polska,2020-01-17,128.88
Dolnośląskie,sub-region,driving,Polska,2020-01-18,112.58
Dolnośląskie,sub-region,walking,Polska,2020-01-18,125.52
Dolnośląskie,sub-region,driving,Polska,2020-01-19,98.58
Dolnośląskie,sub-region,walking,Polska,2020-01-19,91.31
Dolnośląskie,sub-region,driving,Polska,2020-01-20,101.12
Dolnośląskie,sub-region,walking,Polska,2020-01-20,102.97
Dolnośląskie,sub-region,driving,Polska,2020-01-21,98.45
Dolnośląskie,sub-region,walking,Polska,2020-01-21,107.97
Dolnośląskie,sub-region,driving,Polska,2020-01-22,101.55
Dolnośląskie,sub-region,walking,Polska,2020-01-22,100.98
Dolnośląskie,sub-region,driving,Polska,2020-01-23,100.0
Dolnośląskie,sub-region,walking,Polska,2020-01-23,106.27
Dolnośląskie,sub-region,driving,Polska,2020-01-24,120.59
Dolnośląskie,sub-region,walking,Polska,2020-01-24,126.11
Dolnośląskie,sub-region,driving,Polska,2020-01-25,116.03
Dolnośląskie,sub-region,walking,Polska,2020-01-25,131.51
Dolnośląskie,sub-region,driving,Polska,2020-01-26,104.85
Dolnośląskie,sub-region,walking,Polska,2020-01-26,87.26
Dolnośląskie,sub-region,driving,Polska,2020-01-27,106.05
Dolnośląskie,sub-region,walking,Polska,2020-01-27,107.36
Dolnośląskie,sub-region,driving,Polska,2020-01-28,104.05
Dolnośląskie,sub-region,walking,Polska,2020-01-28,107.49
Dolnośląskie,sub-region,driving,Polska,2020-01-29,108.48
Dolnośląskie,sub-region,walking,Polska,2020-01-29,98.66
Dolnośląskie,sub-region,driving,Polska,2020-01-30,116.35
Dolnośląskie,sub-region,walking,Polska,2020-01-30,111.15
Dolnośląskie,sub-region,driving,Polska,2020-01-31,133.02
Dolnośląskie,sub-region,walking,Polska,2020-01-31,133.69
Dolnośląskie,sub-region,driving,Polska,2020-02-01,127.61
Dolnośląskie,sub-region,walking,Polska,2020-02-01,142.18
Dolnośląskie,sub-region,driving,Polska,2020-02-02,114.69
Dolnośląskie,sub-region,walking,Polska,2020-02-02,105.54
Dolnośląskie,sub-region,driving,Polska,2020-02-03,116.14
Dolnośląskie,sub-region,walking,Polska,2020-02-03,112.78
Dolnośląskie,sub-region,driving,Polska,2020-02-04,107.73
Dolnośląskie,sub-region,walking,Polska,2020-02-04,111.28
Dolnośląskie,sub-region,driving,Polska,2020-02-05,110.91
Dolnośląskie,sub-region,walking,Polska,2020-02-05,107.22
Dolnośląskie,sub-region,driving,Polska,2020-02-06,115.17
Dolnośląskie,sub-region,walking,Polska,2020-02-06,111.08
Dolnośląskie,sub-region,driving,Polska,2020-02-07,144.87
Dolnośląskie,sub-region,walking,Polska,2020-02-07,142.11
Dolnośląskie,sub-region,driving,Polska,2020-02-08,146.91
Dolnośląskie,sub-region,walking,Polska,2020-02-08,155.85
Dolnośląskie,sub-region,driving,Polska,2020-02-09,124.75
Dolnośląskie,sub-region,walking,Polska,2020-02-09,112.33
Dolnośląskie,sub-region,driving,Polska,2020-02-10,119.75
Dolnośląskie,sub-region,walking,Polska,2020-02-10,105.4
Dolnośląskie,sub-region,driving,Polska,2020-02-11,105.26
Dolnośląskie,sub-region,walking,Polska,2020-02-11,110.99
Dolnośląskie,sub-region,driving,Polska,2020-02-12,112.11
Dolnośląskie,sub-region,walking,Polska,2020-02-12,108.15
Dolnośląskie,sub-region,driving,Polska,2020-02-13,118.92
Dolnośląskie,sub-region,walking,Polska,2020-02-13,123.2
Dolnośląskie,sub-region,driving,Polska,2020-02-14,151.03
Dolnośląskie,sub-region,walking,Polska,2020-02-14,162.95
Dolnośląskie,sub-region,driving,Polska,2020-02-15,152.03
Dolnośląskie,sub-region,walking,Polska,2020-02-15,173.62
Dolnośląskie,sub-region,driving,Polska,2020-02-16,134.97
Dolnośląskie,sub-region,walking,Polska,2020-02-16,118.07
Dolnośląskie,sub-region,driving,Polska,2020-02-17,119.15
Dolnośląskie,sub-region,walking,Polska,2020-02-17,128.54
Dolnośląskie,sub-region,driving,Polska,2020-02-18,113.3
Dolnośląskie,sub-region,walking,Polska,2020-02-18,124.63
Dolnośląskie,sub-region,driving,Polska,2020-02-19,117.74
Dolnośląskie,sub-region,walking,Polska,2020-02-19,116.59
Dolnośląskie,sub-region,driving,Polska,2020-02-20,121.18
Dolnośląskie,sub-region,walking,Polska,2020-02-20,134.78
Dolnośląskie,sub-region,driving,Polska,2020-02-21,136.07
Dolnośląskie,sub-region,walking,Polska,2020-02-21,147.49
Dolnośląskie,sub-region,driving,Polska,2020-02-22,126.01
Dolnośląskie,sub-region,walking,Polska,2020-02-22,149.56
Dolnośląskie,sub-region,driving,Polska,2020-02-23,114.51
Dolnośląskie,sub-region,walking,Polska,2020-02-23,78.75
Dolnośląskie,sub-region,driving,Polska,2020-02-24,104.93
Dolnośląskie,sub-region,walking,Polska,2020-02-24,108.83
Dolnośląskie,sub-region,driving,Polska,2020-02-25,108.37
Dolnośląskie,sub-region,walking,Polska,2020-02-25,110.47
Dolnośląskie,sub-region,driving,Polska,2020-02-26,104.2
Dolnośląskie,sub-region,walking,Polska,2020-02-26,113.64
Dolnośląskie,sub-region,driving,Polska,2020-02-27,107.58
Dolnośląskie,sub-region,walking,Polska,2020-02-27,107.31
Dolnośląskie,sub-region,driving,Polska,2020-02-28,132.58
Dolnośląskie,sub-region,walking,Polska,2020-02-28,135.19
Dolnośląskie,sub-region,driving,Polska,2020-02-29,109.13
Dolnośląskie,sub-region,walking,Polska,2020-02-29,140.23
Dolnośląskie,sub-region,driving,Polska,2020-03-01,107.81
Dolnośląskie,sub-region,walking,Polska,2020-03-01,99.55
Dolnośląskie,sub-region,driving,Polska,2020-03-02,101.49
Dolnośląskie,sub-region,walking,Polska,2020-03-02,103.29
Dolnośląskie,sub-region,driving,Polska,2020-03-03,102.89
Dolnośląskie,sub-region,walking,Polska,2020-03-03,99.5
Dolnośląskie,sub-region,driving,Polska,2020-03-04,100.62
Dolnośląskie,sub-region,walking,Polska,2020-03-04,102.95
Dolnośląskie,sub-region,driving,Polska,2020-03-05,108.61
Dolnośląskie,sub-region,walking,Polska,2020-03-05,114.98
Dolnośląskie,sub-region,driving,Polska,2020-03-06,120.56
Dolnośląskie,sub-region,walking,Polska,2020-03-06,139.95
Dolnośląskie,sub-region,driving,Polska,2020-03-07,102.89
Dolnośląskie,sub-region,walking,Polska,2020-03-07,134.71
Dolnośląskie,sub-region,driving,Polska,2020-03-08,101.06
Dolnośląskie,sub-region,walking,Polska,2020-03-08,109.24
Dolnośląskie,sub-region,driving,Polska,2020-03-09,95.57
Dolnośląskie,sub-region,walking,Polska,2020-03-09,101.29
Dolnośląskie,sub-region,driving,Polska,2020-03-10,93.39
Dolnośląskie,sub-region,walking,Polska,2020-03-10,95.98
Dolnośląskie,sub-region,driving,Polska,2020-03-11,87.1
Dolnośląskie,sub-region,walking,Polska,2020-03-11,89.26
Dolnośląskie,sub-region,driving,Polska,2020-03-12,82.4
Dolnośląskie,sub-region,walking,Polska,2020-03-12,70.85
Dolnośląskie,sub-region,driving,Polska,2020-03-13,71.69
Dolnośląskie,sub-region,walking,Polska,2020-03-13,64.09
Dolnośląskie,sub-region,driving,Polska,2020-03-14,62.67
Dolnośląskie,sub-region,walking,Polska,2020-03-14,47.95
Dolnośląskie,sub-region,driving,Polska,2020-03-15,47.01
Dolnośląskie,sub-region,walking,Polska,2020-03-15,38.98
Dolnośląskie,sub-region,driving,Polska,2020-03-16,49.03
Dolnośląskie,sub-region,walking,Polska,2020-03-16,39.82
Dolnośląskie,sub-region,driving,Polska,2020-03-17,47.57
Dolnośląskie,sub-region,walking,Polska,2020-03-17,42.45
Dolnośląskie,sub-region,driving,Polska,2020-03-18,46.8
Dolnośląskie,sub-region,walking,Polska,2020-03-18,46.63
Dolnośląskie,sub-region,driving,Polska,2020-03-19,45.59
Dolnośląskie,sub-region,walking,Polska,2020-03-19,39.84
Dolnośląskie,sub-region,driving,Polska,2020-03-20,42.47
Dolnośląskie,sub-region,walking,Polska,2020-03-20,35.73
Dolnośląskie,sub-region,driving,Polska,2020-03-21,34.67
Dolnośląskie,sub-region,walking,Polska,2020-03-21,25.24
Dolnośląskie,sub-region,driving,Polska,2020-03-22,32.27
Dolnośląskie,sub-region,walking,Polska,2020-03-22,23.79
Dolnośląskie,sub-region,driving,Polska,2020-03-23,37.81
Dolnośląskie,sub-region,walking,Polska,2020-03-23,26.92
Dolnośląskie,sub-region,driving,Polska,2020-03-24,38.82
Dolnośląskie,sub-region,walking,Polska,2020-03-24,30.1
Dolnośląskie,sub-region,driving,Polska,2020-03-25,37.17
Dolnośląskie,sub-region,walking,Polska,2020-03-25,29.76
Dolnośląskie,sub-region,driving,Polska,2020-03-26,38.33
Dolnośląskie,sub-region,walking,Polska,2020-03-26,29.08
Dolnośląskie,sub-region,driving,Polska,2020-03-27,37.78
Dolnośląskie,sub-region,walking,Polska,2020-03-27,30.15
Dolnośląskie,sub-region,driving,Polska,2020-03-28,37.76
Dolnośląskie,sub-region,walking,Polska,2020-03-28,37.89
Dolnośląskie,sub-region,driving,Polska,2020-03-29,30.6
Dolnośląskie,sub-region,walking,Polska,2020-03-29,22.77
Dolnośląskie,sub-region,driving,Polska,2020-03-30,37.22
Dolnośląskie,sub-region,walking,Polska,2020-03-30,28.22
Dolnośląskie,sub-region,driving,Polska,2020-03-31,37.08
Dolnośląskie,sub-region,walking,Polska,2020-03-31,29.17
Dolnośląskie,sub-region,driving,Polska,2020-04-01,36.96
Dolnośląskie,sub-region,walking,Polska,2020-04-01,25.79
Dolnośląskie,sub-region,driving,Polska,2020-04-02,35.95
Dolnośląskie,sub-region,walking,Polska,2020-04-02,29.06
Dolnośląskie,sub-region,driving,Polska,2020-04-03,35.92
Dolnośląskie,sub-region,walking,Polska,2020-04-03,25.29
Dolnośląskie,sub-region,driving,Polska,2020-04-04,27.79
Dolnośląskie,sub-region,walking,Polska,2020-04-04,24.09
Dolnośląskie,sub-region,driving,Polska,2020-04-05,28.0
Dolnośląskie,sub-region,walking,Polska,2020-04-05,19.05
Dolnośląskie,sub-region,driving,Polska,2020-04-06,37.46
Dolnośląskie,sub-region,walking,Polska,2020-04-06,27.92
Dolnośląskie,sub-region,driving,Polska,2020-04-07,37.99
Dolnośląskie,sub-region,walking,Polska,2020-04-07,31.9
Dolnośląskie,sub-region,driving,Polska,2020-04-08,40.24
Dolnośląskie,sub-region,walking,Polska,2020-04-08,28.74
Dolnośląskie,sub-region,driving,Polska,2020-04-09,42.61
Dolnośląskie,sub-region,walking,Polska,2020-04-09,32.15
Dolnośląskie,sub-region,driving,Polska,2020-04-10,39.93
Dolnośląskie,sub-region,walking,Polska,2020-04-10,33.3
Dolnośląskie,sub-region,driving,Polska,2020-04-11,27.04
Dolnośląskie,sub-region,walking,Polska,2020-04-11,24.13
Dolnośląskie,sub-region,driving,Polska,2020-04-12,19.87
Dolnośląskie,sub-region,walking,Polska,2020-04-12,18.25
Dolnośląskie,sub-region,driving,Polska,2020-04-13,26.81
Dolnośląskie,sub-region,walking,Polska,2020-04-13,15.87
Dolnośląskie,sub-region,driving,Polska,2020-04-14,39.24
Dolnośląskie,sub-region,walking,Polska,2020-04-14,26.24
Dolnośląskie,sub-region,driving,Polska,2020-04-15,40.88
Dolnośląskie,sub-region,walking,Polska,2020-04-15,29.01
Dolnośląskie,sub-region,driving,Polska,2020-04-16,41.7
Dolnośląskie,sub-region,walking,Polska,2020-04-16,33.76
Dolnośląskie,sub-region,driving,Polska,2020-04-17,44.25
Dolnośląskie,sub-region,walking,Polska,2020-04-17,37.19
Dolnośląskie,sub-region,driving,Polska,2020-04-18,36.51
Dolnośląskie,sub-region,walking,Polska,2020-04-18,28.9
Dolnośląskie,sub-region,driving,Polska,2020-04-19,37.39
Dolnośląskie,sub-region,walking,Polska,2020-04-19,27.72
Dolnośląskie,sub-region,driving,Polska,2020-04-20,48.28
Dolnośląskie,sub-region,walking,Polska,2020-04-20,40.48
Dolnośląskie,sub-region,driving,Polska,2020-04-21,50.75
Dolnośląskie,sub-region,walking,Polska,2020-04-21,44.38
Dolnośląskie,sub-region,driving,Polska,2020-04-22,53.52
Dolnośląskie,sub-region,walking,Polska,2020-04-22,44.68
Dolnośląskie,sub-region,driving,Polska,2020-04-23,58.51
Dolnośląskie,sub-region,walking,Polska,2020-04-23,47.65
Dolnośląskie,sub-region,driving,Polska,2020-04-24,59.41
Dolnośląskie,sub-region,walking,Polska,2020-04-24,45.93
Dolnośląskie,sub-region,driving,Polska,2020-04-25,45.8
Dolnośląskie,sub-region,walking,Polska,2020-04-25,37.14
Dolnośląskie,sub-region,driving,Polska,2020-04-26,57.75
Dolnośląskie,sub-region,walking,Polska,2020-04-26,47.81
Dolnośląskie,sub-region,driving,Polska,2020-04-27,65.68
Dolnośląskie,sub-region,walking,Polska,2020-04-27,50.87
Dolnośląskie,sub-region,driving,Polska,2020-04-28,64.38
Dolnośląskie,sub-region,walking,Polska,2020-04-28,55.05
Dolnośląskie,sub-region,driving,Polska,2020-04-29,61.23
Dolnośląskie,sub-region,walking,Polska,2020-04-29,38.43
Dolnośląskie,sub-region,driving,Polska,2020-04-30,68.29
Dolnośląskie,sub-region,walking,Polska,2020-04-30,56.55
Dolnośląskie,sub-region,driving,Polska,2020-05-01,58.41
