date,year,total,age,short,location,typ,country
2019-01-07,2019,73.0,Y_LT20,UK,Wielka Brytania,C,United Kingdom
2019-01-07,2019,1080.0,TOTAL,PL22,śląskie,W,
2019-01-07,2019,719.0,TOTAL,PL21,małopolskie,W,
2019-01-07,2019,13.0,Y_LT20,SK,Słowacja,C,Slovakia
2019-01-07,2019,507.0,TOTAL,AL,Albania,C,Albania
2019-01-07,2019,1648.0,TOTAL,AT,Austria,C,Austria
2019-01-07,2019,2308.0,TOTAL,BE,Belgia,C,Belgium
2019-01-07,2019,1341.0,TOTAL,CH,Szwajcaria,C,Switzerland
2019-01-07,2019,133.0,TOTAL,CY,Cypr,C,Cyprus
2019-01-07,2019,732.0,TOTAL,PL41,wielkopolskie,W,
2019-01-07,2019,2321.0,TOTAL,CZ,Czechy,C,Czech Republic
2019-01-07,2019,1130.0,TOTAL,DK,Dania,C,Denmark
2019-01-07,2019,351.0,TOTAL,EE,Estonia,C,Estonia
2019-01-07,2019,2706.0,TOTAL,EL,Grecja,C,Greece
2019-01-07,2019,9127.0,TOTAL,ES,Hiszpania,C,Spain
2019-01-07,2019,1214.0,TOTAL,FI,Finlandia,C,Finland
2019-01-07,2019,13084.0,TOTAL,FR,Francja,C,France
2019-01-07,2019,1154.0,TOTAL,HR,Chorwacja,C,Croatia
2019-01-07,2019,3054.0,TOTAL,HU,Węgry,C,Hungary
2019-01-07,2019,18686.0,TOTAL,GE,Niemcy,C,Germany
2019-01-07,2019,0.0,TOTAL,IE,Irlandia,C,Ireland
2019-01-07,2019,394.0,TOTAL,PL42,zachodniopomorskie,W,
2019-01-07,2019,651.0,TOTAL,PL51,dolnośląskie,W,
2019-01-07,2019,0.0,UNK,PL61,kujawsko-pomorskie,W,
2019-01-07,2019,0.0,UNK,PL52,opolskie,W,
2019-01-07,2019,0.0,UNK,PL51,dolnośląskie,W,
2019-01-07,2019,0.0,UNK,PL43,lubuskie,W,
2019-01-07,2019,0.0,UNK,PL42,zachodniopomorskie,W,
2019-01-07,2019,0.0,UNK,PL41,wielkopolskie,W,
2019-01-07,2019,0.0,UNK,PL22,śląskie,W,
2019-01-07,2019,0.0,UNK,PL21,małopolskie,W,
2019-01-07,2019,245.0,TOTAL,PL43,lubuskie,W,
2019-01-07,2019,1191.0,TOTAL,PL9,mazowieckie,W,
2019-01-07,2019,472.0,TOTAL,PL82,podkarpackie,W,
2019-01-07,2019,436.0,TOTAL,PL81,lubelskie,W,
2019-01-07,2019,320.0,TOTAL,PL72,świętokrzyskie,W,
2019-01-07,2019,697.0,TOTAL,PL71,łódzkie,W,
2019-01-07,2019,459.0,TOTAL,PL63,pomorskie,W,
2019-01-07,2019,298.0,TOTAL,PL62,warmińsko-mazurskie,W,
2019-01-07,2019,454.0,TOTAL,PL61,kujawsko-pomorskie,W,
2019-01-07,2019,242.0,TOTAL,PL52,opolskie,W,
2019-01-07,2019,278.0,TOTAL,PL84,podlaskie,W,
2019-01-07,2019,0.0,UNK,PL62,warmińsko-mazurskie,W,
2019-01-07,2019,39.0,TOTAL,IS,Islandia,C,Iceland
2019-01-07,2019,5.0,TOTAL,LI,Liechenstein,C,Liechenstein
2019-01-07,2019,0.0,UNK,GE,Niemcy,C,Germany
2019-01-07,2019,0.0,UNK,DK,Dania,C,Denmark
2019-01-07,2019,0.0,UNK,EE,Estonia,C,Estonia
2019-01-07,2019,0.0,UNK,EL,Grecja,C,Greece
2019-01-07,2019,0.0,UNK,ES,Hiszpania,C,Spain
2019-01-07,2019,0.0,UNK,FI,Finlandia,C,Finland
2019-01-07,2019,93.0,UNK,FR,Francja,C,France
2019-01-07,2019,0.0,UNK,HR,Chorwacja,C,Croatia
2019-01-07,2019,0.0,UNK,CZ,Czechy,C,Czech Republic
2019-01-07,2019,0.0,UNK,HU,Węgry,C,Hungary
2019-01-07,2019,0.0,UNK,IT,Włochy,C,Italy
2019-01-07,2019,0.0,UNK,LI,Liechenstein,C,Liechenstein
2019-01-07,2019,0.0,UNK,LT,Litwa,C,Lithuania
2019-01-07,2019,0.0,UNK,LU,Luksemburg,C,Luxembourg
2019-01-07,2019,0.0,UNK,LV,Łotwa,C,Latvia
2019-01-07,2019,0.0,UNK,ME,Montegegro,C,Montegegro
2019-01-07,2019,0.0,UNK,MT,Malta,C,Malta
2019-01-07,2019,0.0,UNK,NL,Holandia,C,Netherlands
2019-01-07,2019,0.0,UNK,IS,Islandia,C,Iceland
2019-01-07,2019,14168.0,TOTAL,IT,Włochy,C,Italy
2019-01-07,2019,0.0,UNK,CY,Cypr,C,Cyprus
2019-01-07,2019,0.0,UNK,BG,Bułgaria,C,Bulgaria
2019-01-07,2019,842.0,TOTAL,LT,Litwa,C,Lithuania
2019-01-07,2019,98.0,TOTAL,LU,Luksemburg,C,Luxembourg
2019-01-07,2019,586.0,TOTAL,LV,Łotwa,C,Latvia
2019-01-07,2019,141.0,TOTAL,ME,Montegegro,C,Montegegro
2019-01-07,2019,99.0,TOTAL,MT,Malta,C,Malta
2019-01-07,2019,3062.0,TOTAL,NL,Holandia,C,Netherlands
2019-01-07,2019,872.0,TOTAL,NO,Norwegia,C,Norway
