bin,date,type,count
7,2020-03-12,D,1
7,2020-03-13,D,1
5,2020-03-14,D,1
7,2020-03-14,D,1
4,2020-03-16,D,1
7,2020-03-16,D,1
3,2020-03-17,D,1
7,2020-03-17,D,1
7,2020-03-18,D,2
7,2020-03-19,D,3
3,2020-03-19,D,2
4,2020-03-19,D,1
7,2020-03-20,D,4
7,2020-03-21,D,3
4,2020-03-21,D,1
5,2020-03-21,D,1
7,2020-03-22,D,6
6,2020-03-22,D,1
7,2020-03-23,D,3
6,2020-03-23,D,1
7,2020-03-24,D,7
4,2020-03-24,D,1
6,2020-03-24,D,1
7,2020-03-25,D,9
5,2020-03-25,D,1
7,2020-03-26,D,10
5,2020-03-26,D,1
6,2020-03-26,D,1
7,2020-03-27,D,9
6,2020-03-27,D,3
4,2020-03-27,D,1
5,2020-03-27,D,1
7,2020-03-28,D,14
6,2020-03-28,D,2
5,2020-03-28,D,1
7,2020-03-29,D,13
6,2020-03-29,D,1
7,2020-03-30,D,11
5,2020-03-30,D,1
7,2020-03-31,D,26
5,2020-03-31,D,1
6,2020-03-31,D,1
7,2020-04-01,D,20
6,2020-04-01,D,3
5,2020-04-01,D,1
7,2020-04-02,D,20
6,2020-04-02,D,2
2,2020-04-02,D,1
5,2020-04-02,D,1
7,2020-04-03,D,14
5,2020-04-03,D,1
7,2020-04-04,D,17
3,2020-04-04,D,1
7,2020-04-05,D,18
5,2020-04-05,D,1
6,2020-04-05,D,1
7,2020-04-06,D,15
5,2020-04-06,D,2
6,2020-04-06,D,1
7,2020-04-07,D,15
6,2020-04-07,D,2
3,2020-04-07,D,1
7,2020-04-08,D,16
4,2020-04-08,D,2
5,2020-04-08,D,1
6,2020-04-08,D,1
7,2020-04-09,D,10
5,2020-04-09,D,2
7,2020-04-10,D,14
6,2020-04-10,D,1
7,2020-04-11,D,9
4,2020-04-11,D,1
5,2020-04-11,D,1
6,2020-04-11,D,1
7,2020-04-12,D,12
6,2020-04-12,D,2
4,2020-04-12,D,1
5,2020-04-12,D,1
7,2020-04-13,D,11
4,2020-04-13,D,1
5,2020-04-13,D,1
7,2020-04-14,D,8
3,2020-04-14,D,1
7,2020-04-15,D,25
4,2020-04-15,D,1
5,2020-04-15,D,1
7,2020-04-16,D,7
7,2020-04-17,D,11
2,2020-04-17,D,1
4,2020-04-17,D,1
5,2020-04-17,D,1
6,2020-04-17,D,1
7,2020-04-18,D,32
5,2020-04-18,D,2
7,2020-04-19,D,7
5,2020-04-19,D,2
4,2020-04-19,D,1
6,2020-04-19,D,1
7,2020-04-20,D,15
6,2020-04-20,D,2
7,2020-04-21,D,12
5,2020-04-21,D,2
7,2020-04-22,D,19
4,2020-04-22,D,1
7,2020-04-23,D,13
3,2020-04-23,D,1
7,2020-04-24,D,19
7,2020-04-25,D,7
6,2020-04-25,D,2
7,2020-04-26,D,11
5,2020-04-26,D,1
7,2020-04-27,D,12
5,2020-04-27,D,2
7,2020-04-28,D,11
6,2020-04-28,D,1
7,2020-04-29,D,7
7,2020-04-30,D,6
7,2020-05-01,D,12
7,2020-05-02,D,5
7,2020-05-03,D,10
6,2020-05-03,D,1
7,2020-05-04,D,6
5,2020-05-04,D,1
6,2020-05-04,D,1
7,2020-05-05,D,9
5,2020-05-05,D,1
6,2020-05-05,D,1
7,2020-05-06,D,6
5,2020-05-06,D,1
7,2020-05-07,D,10
5,2020-05-07,D,1
6,2020-05-07,D,1
7,2020-05-08,D,11
7,2020-05-09,D,3
5,2020-05-09,D,1
7,2020-05-10,D,6
7,2020-05-11,D,6
6,2020-05-11,D,1
7,2020-05-12,D,3
7,2020-05-14,D,6
7,2020-05-15,D,2
5,2020-05-15,D,1
7,2020-05-16,D,3
5,2020-05-16,D,1
6,2020-05-16,D,1
7,2020-05-17,D,5
5,2020-05-17,D,1
6,2020-05-18,D,1
7,2020-05-18,D,1
7,2020-05-19,D,3
6,2020-05-19,D,1
7,2020-05-20,D,4
6,2020-05-20,D,2
5,2020-05-20,D,1
7,2020-05-21,D,9
4,2020-05-21,D,1
5,2020-05-21,D,1
7,2020-05-22,D,8
7,2020-05-23,D,13
5,2020-05-23,D,2
6,2020-05-23,D,2
7,2020-05-24,D,4
5,2020-05-24,D,1
7,2020-05-25,D,2
4,2020-05-25,D,1
6,2020-05-25,D,1
7,2020-05-26,D,8
6,2020-05-26,D,1
7,2020-05-27,D,10
6,2020-05-27,D,1
7,2020-05-28,D,3
7,2020-05-29,D,7
4,2020-05-29,D,1
5,2020-05-29,D,1
7,2020-05-30,D,8
6,2020-05-30,D,1
7,2020-05-31,D,5
4,2020-05-31,D,1
7,2020-06-01,D,8
6,2020-06-01,D,1
7,2020-06-02,D,4
7,2020-06-03,D,7
6,2020-06-03,D,1
7,2020-06-04,D,4
6,2020-06-04,D,2
7,2020-06-05,D,6
5,2020-06-05,D,1
7,2020-06-06,D,5
7,2020-06-07,D,9
5,2020-06-07,D,1
7,2020-06-08,D,7
6,2020-06-08,D,1
7,2020-06-09,D,6
3,2020-06-09,D,1
7,2020-06-10,D,3
6,2020-06-10,D,1
7,2020-06-11,D,6
7,2020-06-12,D,5
5,2020-06-12,D,2
6,2020-06-12,D,1
7,2020-06-13,D,7
7,2020-06-14,D,4
7,2020-06-15,D,15
7,2020-06-16,D,9
6,2020-06-16,D,1
7,2020-06-17,D,4
7,2020-06-18,D,3
6,2020-06-18,D,1
7,2020-06-19,D,3
7,2020-06-20,D,3
7,2020-06-21,D,4
7,2020-06-22,D,7
6,2020-06-22,D,1
7,2020-06-23,D,4
7,2020-06-24,D,4
4,2020-06-24,D,1
5,2020-06-24,D,1
7,2020-06-25,D,3
7,2020-06-26,D,5
6,2020-06-26,D,1
7,2020-06-27,D,3
7,2020-06-28,D,3
5,2020-06-28,D,1
7,2020-06-29,D,2
7,2020-06-30,D,3
7,2020-07-01,D,3
7,2020-07-02,D,2
7,2020-07-04,D,3
7,2020-07-05,D,4
7,2020-07-06,D,2
2,2020-07-06,D,1
7,2020-07-07,D,3
7,2020-07-08,D,3
7,2020-07-09,D,2
7,2020-07-10,D,3
7,2020-07-11,D,4
3,2020-07-11,D,1
6,2020-07-11,D,1
7,2020-07-12,D,7
6,2020-07-12,D,1
4,2020-07-13,D,1
7,2020-07-14,D,3
3,2020-07-14,D,1
6,2020-07-14,D,1
7,2020-07-15,D,3
3,2020-07-15,D,1
4,2020-07-15,D,1
7,2020-07-16,D,4
5,2020-07-16,D,1
7,2020-07-17,D,6
7,2020-07-18,D,8
7,2020-07-19,D,4
4,2020-07-20,D,1
7,2020-07-21,D,5
5,2020-07-21,D,1
6,2020-07-21,D,1
7,2020-07-23,D,11
5,2020-07-23,D,1
7,2020-07-24,D,7
3,2020-07-24,D,1
6,2020-07-24,D,1
7,2020-07-25,D,7
7,2020-07-26,D,9
5,2020-07-26,D,1
7,2020-07-27,D,3
6,2020-07-27,D,1
7,2020-07-28,D,5
6,2020-07-28,D,1
7,2020-07-29,D,3
5,2020-07-29,D,1
6,2020-07-29,D,1
7,2020-07-30,D,2
4,2020-07-30,D,1
5,2020-07-30,D,1
6,2020-07-30,D,1
7,2020-07-31,D,6
7,2020-08-01,D,6
5,2020-08-01,D,1
7,2020-08-02,D,8
5,2020-08-02,D,1
6,2020-08-02,D,1
7,2020-08-03,D,6
6,2020-08-03,D,2
5,2020-08-03,D,1
7,2020-08-04,D,5
6,2020-08-04,D,1
7,2020-08-05,D,6
5,2020-08-05,D,1
