JPT,powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,population,total_full,percent full,total_1d,nazwa,wojew,typ_p
JPT_0608022,lubartowski,349,40,251,425,299,4029,1027,"25,5",1364,Abramów,lubelskie,<20k
JPT_0620012,zamojski,377,48,279,546,329,4597,1246,"27,1",1579,Adamów,lubelskie,<20k
JPT_0611032,łukowski,421,39,339,483,350,5511,1272,"23,1",1632,Adamów,lubelskie,<20k
JPT_1814022,przeworski,282,22,224,415,273,4025,1007,25,1216,Adamówka,podkarpackie,<20k
JPT_0602022,biłgorajski,221,12,153,266,189,3269,674,"20,6",841,Aleksandrów,lubelskie,<20k
JPT_1010012,piotrkowski,430,51,317,524,417,4279,1325,31,1739,Aleksandrów,łódzkie,<20k
JPT_0401011,aleksandrowski,1251,312,1286,1834,1381,12058,4885,"40,5",6064,Aleksandrów Kujawski,kujawsko-pomorskie,<20k
JPT_1020043,zgierski,2876,733,3210,5615,2882,32685,12155,"37,2",15316,Aleksandrów Łódzki,łódzkie,20k-50k
JPT_1203013,chrzanowski,1078,260,1354,1979,1181,12490,4644,"37,2",5852,Alwernia,małopolskie,<20k
JPT_1006022,łódzki wschodni,1257,316,1379,2376,1346,14307,5477,"38,3",6674,Andrespol,łódzkie,<20k
JPT_1218013,wadowicki,3666,614,3650,5736,3587,43285,12727,"29,4",17253,Andrychów,małopolskie,20k-50k
JPT_1416022,ostrowski (mazowieckie),398,41,284,448,294,4022,1086,27,1465,Andrzejewo,mazowieckie,<20k
JPT_0607023,kraśnicki,729,80,524,889,762,8483,2436,"28,7",2984,Annopol,lubelskie,<20k
JPT_2001011,augustowski,2655,377,2127,3558,2462,29946,9489,"31,7",11179,Augustów,podlaskie,20k-50k
JPT_3009022,kolski,532,63,515,850,539,7832,1754,"22,4",2499,Babiak,wielkopolskie,<20k
JPT_1203022,chrzanowski,827,167,936,1498,815,9084,3309,"36,4",4243,Babice,małopolskie,<20k
JPT_0809013,zielonogórski,586,81,577,919,624,6177,2218,"35,9",2787,Babimost,lubuskie,<20k
