id,ordinalNumber,facilityName,terc,address,zipCode,wojew,powiat,community,place,lon,lat,facilityType
489765,1318,PUNKT SZCZEPIEŃ,661011,KRÓLOWEJ JADWIGI 2,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.110112,52.0446706,1
489763,1316,PUNKT SZCZEPIEŃ,661011,ZYGMUNTA AUGUSTA 9,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.106644,52.046384,1
489764,1317,PUNKT SZCZEPIEŃ,661011,SIDORSKA 59,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.1418268,52.023784899999995,1
489760,1313,PUNKT SZCZEPIEŃ POWSZECHNYCH- GABINET DIAGNOSTYCZNO-ZABIEGOWY,661011,TEREBELSKA 57-65,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.1112776,52.0468679,2
489766,1319,PUNKT SZCZEPIEŃ,661011,NARUTOWICZA 35,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.119931,52.031743,1
489767,1320,GABINET DIAGNOSTYCZNO - ZABIEGOWY,661011,TADEUSZA KOŚCIUSZKI 16,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.1335174,52.0222845,1
489768,1321,ZESPÓŁ WYJAZDOWY- MPS02,661011,TEREBELSKA 57-65,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.1112776,52.0468679,1
489769,1322,DOMOWY SZPITAL,661011,SPÓŁDZIELCZA 5,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.110669586999997,52.0342358,1
489770,1323,PUNKT SZCZEPIEŃ POWSZECHNYCH- BIALSKIE CENTRUM KULTURY,661011,WARSZAWSKA 11,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.1142511513206,52.03280595,2
489771,1324,APTEKA DR. MAX,661011,JANA PAWŁA II 163,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.135715459317304,52.0276840086228,4
489759,1312,PUNKT SZCZEPIEŃ,661011,ŁOMASKA 19,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.1212763,52.0222584,1
489762,1315,PUNKT SZCZEPIEŃ,661011,PARKOWA 11,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.133073100000004,52.025994,1
489761,1314,PUNKT SZCZEPIEŃ,661011,ALEJA TYSIĄCLECIA 4,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.128294,52.035377000000004,1
492791,4345,GABINET ZABIEGOWO SZCZEPIENNY,2061011,TRANSPORTOWA 4,15-399,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.123860999999998,53.11296899999999,1
492755,4309,GABINET PRZYGOTOWAWCZO-ZABIEGOWY (SZCZEPIENNY),2061011,STORCZYKOWA 5,15-644,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.094394,53.121424,1
492756,4310,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,STROMA 11 LOK. 2,15-162,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.105744,53.130176,1
492757,4311,PUNKT SZCZEPIEŃ COVID I,2061011,WYSZYŃSKIEGO 2/1 LOK. 320,15-888,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.138317,53.131645999999996,1
492800,4354,PUNKT SZCZEPIEŃ,2061011,UL. WOŁODYJOWSKIEGO 1,15-276,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.161299,53.122803000000005,1
492799,4353,GABINET ZABIEGOWO- SZCZEPIENNY,2061011,UL. WASZYNGTONA 15A,15-274,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.157557,53.124545,1
492798,4352,PUNKT SZCZEPIEŃ,2061011,DR IRENY BIAŁÓWNY 9/1,15-437,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.1575652,53.13328739999999,1
492797,4351,PUNKT SZCZEPIEŃ,2061011,NOWY ŚWIAT 11C,15-453,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.155279,53.135445999999995,1
492796,4350,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,BEMA 2 LOK. 6,15-369,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.14911,53.126155000000004,1
492795,4349,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,KLEPACKA 4,15-634,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.086809,53.113191,1
492794,4348,GABINET SZCZEPIEŃ,2061011,MIESZKA I 8C/15,15-054,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.188848,53.133028,1
492782,4336,GABINET SZCZEPIEŃ,2061011,RADZYMIŃSKA 16/25,15-863,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.15032,53.144998,1
492783,4337,GABINET SZCZEPIENNO-ZABIEGOWY,2061011,GEN. J. HALLERA 8,15-814,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.123694,53.1505834,1
492784,4338,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,BEMA 2 LOK. 26,15-369,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.14911,53.126155000000004,1
492785,4339,GABINET LEKARZA POZ,2061011,SIEWNA 2,15-183,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.191588,53.144616000000006,1
492786,4340,GABINET SZCZEPIEŃ,2061011,ANDRUKIEWICZA 4/3U,15-204,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.198454,53.133444,1
492793,4347,PORADNIA LEKARZA POZ,2061011,WŁADYSŁAWA RAGINISA 87/2,15-161,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.200226,53.162346,1
492788,4342,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,KOMISJI EDUKACJI NARODOWEJ 7,15-687,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.08405,53.149896999999996,1
492789,4343,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,ŁĄKOWA 9/2,15-017,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.1739563,53.1395622,1
492790,4344,GABINET DIAGNOSTYCZNO-ZABIEGOWY,2061011,AL. 1000-LECIA PAŃSTWA POLSKIEGO 10/21A,15-111,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.1555155,53.1514781,1
492792,4346,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,FABRYCZNA 4 LOK.1H,15-483,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.164820000000002,53.137710999999996,1
492787,4341,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,ZAGUMIENNA 10A,15-863,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.149817000000002,53.146727,1
