date,reproduction_rate,epiestim,location
2020-03-16,3.5751,3.2,Polska
2020-03-17,3.3205,3.4286,Polska
2020-03-18,2.8475,2.6122,Polska
2020-03-19,2.7201,2.6667,Polska
2020-03-20,2.5802,2.2313,Polska
2020-03-21,2.6162,2.0,Polska
2020-03-22,2.5231,1.9883,Polska
2020-03-23,2.3018,1.8816,Polska
2020-03-24,2.1975,1.8571,Polska
2020-03-25,2.2024,1.7685,Polska
2020-03-26,2.1448,1.7014,Polska
2020-03-27,2.0972,1.6853,Polska
2020-03-28,2.023,1.6621,Polska
2020-03-29,1.9898,1.6073,Polska
2020-03-30,1.8934,1.5081,Polska
2020-03-31,1.8035,1.4627,Polska
2020-04-01,1.7372,1.3639,Polska
2020-04-02,1.7785,1.4047,Polska
2020-04-03,1.8389,1.5268,Polska
2020-04-04,1.6589,1.4106,Polska
2020-04-05,1.6936,1.4904,Polska
2020-04-06,1.6627,1.367,Polska
2020-04-07,1.6414,1.2723,Polska
2020-04-08,1.6003,1.3328,Polska
2020-04-09,1.4535,1.1737,Polska
2020-04-10,1.3226,1.0908,Polska
2020-04-11,1.3526,1.0757,Polska
2020-04-12,1.205,0.9702,Polska
2020-04-13,1.153,0.9582,Polska
2020-04-14,1.0496,0.9152,Polska
2020-04-15,1.0522,0.871,Polska
2020-04-16,1.029,0.911,Polska
2020-04-17,1.0582,0.9607,Polska
2020-04-18,1.0211,0.9996,Polska
2020-04-19,1.1005,1.0728,Polska
2020-04-20,1.1092,1.1088,Polska
2020-04-21,1.0946,1.0707,Polska
2020-04-22,1.0522,1.0727,Polska
2020-04-23,1.048,0.9922,Polska
2020-04-24,1.0078,0.9446,Polska
2020-04-25,1.0266,0.9653,Polska
2020-04-26,0.9523,0.9231,Polska
2020-04-27,0.9497,0.9126,Polska
2020-04-28,0.9774,0.9625,Polska
2020-04-29,1.0266,0.988,Polska
2020-04-30,1.0059,1.0425,Polska
2020-05-01,0.9414,0.9857,Polska
