date,location,hosp_patients,total_beds,icu_patients,total_resp,used_beds,used_resp
2020-10-23,dolnośląskie,760.702,1438,60,116,52.9,51.7
2020-10-23,kujawsko-pomorskie,534.48,1020,41,78,52.4,52.6
2020-10-23,lubelskie,798.08,1160,71,97,68.8,73.2
2020-10-23,lubuskie,376.711,839,16,46,44.9,34.8
2020-10-23,mazowieckie,1248.075,1935,109,139,64.5,78.4
2020-10-23,małopolskie,1670.7279999999998,2153,163,173,77.6,94.2
2020-10-23,opolskie,311.805,585,24,33,53.3,72.7
2020-10-23,podkarpackie,681.5340000000001,1134,50,71,60.1,70.4
2020-10-23,podlaskie,423.18600000000004,843,37,43,50.2,86.0
2020-10-23,polska,11498.332,19132,911,1434,60.1,63.5
2020-10-23,pomorskie,542.061,1017,31,39,53.3,79.5
2020-10-23,warmińsko-mazurskie,272.322,738,23,45,36.9,51.1
2020-10-23,wielkopolskie,924.5579999999999,1338,59,158,69.1,37.3
2020-10-23,zachodniopomorskie,362.1,850,34,64,42.6,53.1
2020-10-23,łódzkie,973.482,1823,58,145,53.4,40.0
2020-10-23,śląskie,1058.4,1575,89,115,67.2,77.4
2020-10-23,świętokrzyskie,558.828,684,46,72,81.7,63.9
2020-10-24,dolnośląskie,764.4,1456,61,116,52.5,52.6
2020-10-24,kujawsko-pomorskie,566.93,1157,48,98,49.0,49.0
2020-10-24,lubelskie,835.572,1167,76,92,71.6,82.6
2020-10-24,lubuskie,410.40799999999996,841,20,48,48.8,41.7
2020-10-24,mazowieckie,1265.4900000000002,1935,107,139,65.4,77.0
2020-10-24,małopolskie,1667.254,2143,160,172,77.8,93.0
2020-10-24,opolskie,346.84,598,22,33,58.0,66.7
2020-10-24,podkarpackie,749.4689999999999,1203,54,73,62.3,74.0
2020-10-24,podlaskie,464.81,877,41,43,53.0,95.3
2020-10-24,polska,11885.783000000001,19453,947,1457,61.1,65.0
2020-10-24,pomorskie,538.434,1014,28,38,53.1,73.7
2020-10-24,warmińsko-mazurskie,298.152,738,23,45,40.4,51.1
2020-10-24,wielkopolskie,929.29,1387,56,163,67.0,34.4
2020-10-24,zachodniopomorskie,419.20599999999996,877,45,67,47.8,67.2
2020-10-24,łódzkie,1051.465,1861,70,144,56.5,48.6
2020-10-24,śląskie,997.26,1511,90,114,66.0,78.9
2020-10-24,świętokrzyskie,580.672,688,46,72,84.4,63.9
2020-10-25,dolnośląskie,774.592,1456,61,116,53.2,52.6
2020-10-25,kujawsko-pomorskie,606.05,1150,55,98,52.7,56.1
2020-10-25,lubelskie,863.58,1167,55,98,74.0,56.1
2020-10-25,lubuskie,417.97700000000003,841,25,48,49.7,52.1
2020-10-25,mazowieckie,1294.515,1935,107,139,66.9,77.0
2020-10-25,małopolskie,1762.348,2228,172,185,79.1,93.0
2020-10-25,opolskie,378.2,610,20,33,62.0,60.6
2020-10-25,podkarpackie,757.3159999999999,1204,56,81,62.9,69.1
2020-10-25,podlaskie,454.286,877,42,51,51.8,82.4
2020-10-25,polska,12275.86,19610,978,1507,62.6,64.9
2020-10-25,pomorskie,550.647,1037,33,39,53.1,84.6
2020-10-25,warmińsko-mazurskie,315.12600000000003,738,23,45,42.7,51.1
2020-10-25,wielkopolskie,960.4899999999999,1390,75,167,69.1,44.9
2020-10-25,zachodniopomorskie,451.213,883,49,67,51.1,73.1
2020-10-25,łódzkie,1123.554,1882,68,149,59.7,45.6
2020-10-25,śląskie,982.1000000000001,1525,91,118,64.4,77.1
2020-10-25,świętokrzyskie,588.759,687,46,73,85.7,63.0
2020-10-26,dolnośląskie,825.1320000000001,1551,65,119,53.2,54.6
2020-10-26,kujawsko-pomorskie,632.5,1150,53,100,55.0,53.0
2020-10-26,lubelskie,947.8560000000001,1209,78,111,78.4,70.3
2020-10-26,lubuskie,422.46600000000007,1038,24,57,40.7,42.1
2020-10-26,mazowieckie,1450.4160000000002,1968,119,140,73.7,85.0
2020-10-26,małopolskie,1906.08,2280,188,192,83.6,97.9
2020-10-26,opolskie,383.04,630,25,33,60.8,75.8
2020-10-26,podkarpackie,796.2239999999999,1248,68,84,63.8,81.0
2020-10-26,podlaskie,481.91900000000004,911,39,51,52.9,76.5
2020-10-26,polska,13335.952000000001,20708,1077,1602,64.4,67.2
2020-10-26,pomorskie,562.315,1055,35,54,53.3,64.8
2020-10-26,warmińsko-mazurskie,324.11999999999995,740,23,45,43.8,51.1
2020-10-26,wielkopolskie,1039.584,1547,74,173,67.2,42.8
2020-10-26,zachodniopomorskie,514.766,886,51,74,58.1,68.9
2020-10-26,łódzkie,1258.0,2000,73,150,62.9,48.7
2020-10-26,śląskie,1096.215,1605,111,134,68.3,82.8
2020-10-26,świętokrzyskie,703.99,890,51,85,79.1,60.0
2020-10-27,dolnośląskie,888.349,1529,70,119,58.1,58.8
2020-10-27,kujawsko-pomorskie,725.76,1280,69,106,56.7,65.1
2020-10-27,lubelskie,968.3079999999999,1298,79,118,74.6,66.9
2020-10-27,lubuskie,439.07399999999996,1038,25,56,42.3,44.6
2020-10-27,mazowieckie,1528.849,2009,130,142,76.1,91.5
2020-10-27,małopolskie,1973.115,2421,207,219,81.5,94.5
2020-10-27,opolskie,397.84799999999996,726,26,35,54.8,74.3
2020-10-27,podkarpackie,819.5640000000001,1257,67,84,65.2,79.8
2020-10-27,podlaskie,451.725,951,41,51,47.5,80.4
2020-10-27,polska,13935.888,21506,1150,1663,64.8,69.2
2020-10-27,pomorskie,573.4,1175,41,60,48.8,68.3
2020-10-27,warmińsko-mazurskie,338.18,740,29,45,45.7,64.4
2020-10-27,wielkopolskie,1090.089,1573,77,173,69.3,44.5
2020-10-27,zachodniopomorskie,538.56,960,52,74,56.1,70.3
2020-10-27,łódzkie,1212.42,2004,71,150,60.5,47.3
2020-10-27,śląskie,1245.64,1672,114,144,74.5,79.2
2020-10-27,świętokrzyskie,742.05,873,52,87,85.0,59.8
2020-10-28,dolnośląskie,973.932,1662,74,123,58.6,60.2
2020-10-28,kujawsko-pomorskie,695.5,1300,69,104,53.5,66.3
2020-10-28,lubelskie,1044.636,1324,89,120,78.9,74.2
2020-10-28,lubuskie,488.482,1046,31,56,46.7,55.4
2020-10-28,mazowieckie,1728.95,2290,150,159,75.5,94.3
2020-10-28,małopolskie,2003.8930000000003,2477,215,224,80.9,96.0
2020-10-28,opolskie,436.1310000000001,783,26,35,55.7,74.3
2020-10-28,podkarpackie,812.82,1311,72,89,62.0,80.9
2020-10-28,podlaskie,452.676,951,38,51,47.6,74.5
2020-10-28,polska,14738.351999999999,22467,1203,1733,65.6,69.4
2020-10-28,pomorskie,584.425,1205,50,60,48.5,83.3
2020-10-28,warmińsko-mazurskie,366.16799999999995,836,31,60,43.8,51.7
2020-10-28,wielkopolskie,1136.856,1608,68,190,70.7,35.8
2020-10-28,zachodniopomorskie,590.265,1009,48,77,58.5,62.3
2020-10-28,łódzkie,1339.34,2005,71,152,66.8,46.7
2020-10-28,śląskie,1329.7979999999998,1766,121,145,75.3,83.4
2020-10-28,świętokrzyskie,750.066,894,50,88,83.9,56.8
2020-10-29,dolnośląskie,1002.7029999999999,1781,76,128,56.3,59.4
2020-10-29,kujawsko-pomorskie,723.753,1363,81,108,53.1,75.0
2020-10-29,lubelskie,1102.535,1445,90,127,76.3,70.9
2020-10-29,lubuskie,497.2989999999999,853,31,42,58.3,73.8
2020-10-29,mazowieckie,1845.975,2445,158,160,75.5,98.8
2020-10-29,małopolskie,2073.1369999999997,2519,209,224,82.3,93.3
2020-10-29,opolskie,439.85799999999995,761,27,35,57.8,77.1
2020-10-29,podkarpackie,847.585,1415,70,99,59.9,70.7
2020-10-29,podlaskie,574.404,951,43,51,60.4,84.3
2020-10-29,polska,15454.569000000001,23101,1254,1777,66.9,70.6
2020-10-29,pomorskie,631.944,1206,52,61,52.4,85.2
2020-10-29,warmińsko-mazurskie,360.39599999999996,846,27,60,42.6,45.0
2020-10-29,wielkopolskie,1181.192,1636,80,193,72.2,41.5
2020-10-29,zachodniopomorskie,603.081,1017,54,83,59.3,65.1
2020-10-29,łódzkie,1291.026,2046,71,151,63.1,47.0
2020-10-29,śląskie,1479.214,1894,135,167,78.1,80.8
2020-10-29,świętokrzyskie,791.934,923,50,88,85.8,56.8
2020-10-30,dolnośląskie,1016.54,1855,87,107,54.8,81.3
2020-10-30,kujawsko-pomorskie,775.602,1431,76,108,54.2,70.4
2020-10-30,lubelskie,1157.403,1509,95,127,76.7,74.8
2020-10-30,lubuskie,544.149,927,31,45,58.7,68.9
2020-10-30,mazowieckie,1858.725,2475,161,170,75.1,94.7
2020-10-30,małopolskie,2250.325,2695,208,232,83.5,89.7
2020-10-30,opolskie,464.31899999999996,783,27,35,59.3,77.1
2020-10-30,podkarpackie,883.05,1682,81,114,52.5,71.1
2020-10-30,podlaskie,654.288,951,48,51,68.8,94.1
2020-10-30,polska,16144.128,24024,1305,1807,67.2,72.2
2020-10-30,pomorskie,655.408,1196,53,60,54.8,88.3
2020-10-30,warmińsko-mazurskie,373.404,841,32,67,44.4,47.8
2020-10-30,wielkopolskie,1241.28,1724,94,195,72.0,48.2
2020-10-30,zachodniopomorskie,614.2679999999999,1017,50,84,60.4,59.5
2020-10-30,łódzkie,1332.9360000000001,2057,77,154,64.8,50.0
2020-10-30,śląskie,1535.3940000000002,1946,132,173,78.9,76.3
2020-10-30,świętokrzyskie,789.14,935,53,85,84.4,62.4
2020-10-31,dolnośląskie,1113.112,1946,99,109,57.2,90.8
2020-10-31,kujawsko-pomorskie,810.6469999999999,1381,83,112,58.7,74.1
2020-10-31,lubelskie,1219.272,1509,98,127,80.8,77.2
2020-10-31,lubuskie,575.667,927,35,45,62.1,77.8
2020-10-31,mazowieckie,1862.852,2573,159,173,72.4,91.9
2020-10-31,małopolskie,2289.4410000000003,2703,212,228,84.7,93.0
2020-10-31,opolskie,469.8,783,28,35,60.0,80.0
2020-10-31,podkarpackie,917.3190000000001,1677,90,117,54.7,76.9
2020-10-31,podlaskie,536.364,951,47,51,56.4,92.2
2020-10-31,polska,16432.789999999997,24490,1371,1852,67.1,74.0
2020-10-31,pomorskie,656.6419999999999,1246,56,60,52.7,93.3
2020-10-31,warmińsko-mazurskie,379.236,884,31,77,42.9,40.3
2020-10-31,wielkopolskie,1252.52,1810,94,203,69.2,46.3
2020-10-31,zachodniopomorskie,648.846,1017,58,86,63.8,67.4
2020-10-31,łódzkie,1300.815,2055,88,166,63.3,53.0
2020-10-31,śląskie,1616.4720000000002,2041,138,176,79.2,78.4
2020-10-31,świętokrzyskie,778.743,987,55,87,78.9,63.2
2020-11-01,dolnośląskie,1113.9360000000001,2018,109,119,55.2,91.6
2020-11-01,kujawsko-pomorskie,821.6519999999999,1374,88,112,59.8,78.6
2020-11-01,lubelskie,1297.764,1534,108,129,84.6,83.7
2020-11-01,lubuskie,578.448,927,37,45,62.4,82.2
2020-11-01,mazowieckie,1883.4360000000001,2573,161,176,73.2,91.5
2020-11-01,małopolskie,2365.912,2732,217,244,86.6,88.9
2020-11-01,opolskie,443.3,806,28,39,55.0,71.8
2020-11-01,podkarpackie,975.266,1714,95,129,56.9,73.6
2020-11-01,podlaskie,660.945,951,55,55,69.5,100.0
2020-11-01,polska,17191.251,24807,1453,1920,69.3,75.7
2020-11-01,pomorskie,676.578,1246,56,60,54.3,93.3
