date,reproduction_rate,location
2020-03-25,1.0191,dolnośląskie
2020-03-26,0.986,dolnośląskie
2020-03-27,1.2542,dolnośląskie
2020-03-28,1.2423,dolnośląskie
2020-03-29,1.2171,dolnośląskie
2020-03-30,1.2339,dolnośląskie
2020-03-31,1.1777,dolnośląskie
2020-04-01,1.4313,dolnośląskie
2020-04-02,1.3685,dolnośląskie
2020-04-03,1.5199,dolnośląskie
2020-04-04,1.3839,dolnośląskie
2020-04-05,1.579,dolnośląskie
2020-04-06,1.4868,dolnośląskie
2020-04-07,1.563,dolnośląskie
2020-04-08,1.2211,dolnośląskie
2020-04-09,1.2993,dolnośląskie
2020-04-10,1.2496,dolnośląskie
2020-04-11,1.3113,dolnośląskie
2020-04-12,1.1219,dolnośląskie
2020-04-13,1.0783,dolnośląskie
2020-04-14,0.9492,dolnośląskie
2020-04-15,1.1049,dolnośląskie
2020-04-16,1.2203,dolnośląskie
2020-04-17,1.1824,dolnośląskie
2020-04-18,1.2898,dolnośląskie
2020-04-19,1.4527,dolnośląskie
2020-04-20,1.4965,dolnośląskie
2020-04-21,1.5545,dolnośląskie
2020-04-22,1.4225,dolnośląskie
2020-04-23,1.381,dolnośląskie
2020-04-24,1.1319,dolnośląskie
2020-04-25,1.0684,dolnośląskie
2020-04-26,0.9486,dolnośląskie
2020-04-27,1.0727,dolnośląskie
2020-04-28,1.0885,dolnośląskie
2020-04-29,1.1778,dolnośląskie
2020-04-30,1.073,dolnośląskie
2020-05-01,1.0513,dolnośląskie
2020-05-02,1.0361,dolnośląskie
2020-05-03,0.9084,dolnośląskie
2020-05-04,0.9561,dolnośląskie
2020-05-05,0.9555,dolnośląskie
2020-05-06,0.8465,dolnośląskie
2020-05-07,0.8457,dolnośląskie
2020-05-08,0.9504,dolnośląskie
2020-05-09,0.935,dolnośląskie
2020-05-10,1.1995,dolnośląskie
2020-05-11,0.9953,dolnośląskie
2020-05-12,0.9555,dolnośląskie
2020-05-13,1.0389,dolnośląskie
2020-05-14,1.0009,dolnośląskie
2020-05-15,0.9033,dolnośląskie
2020-05-16,0.8647,dolnośląskie
2020-05-17,0.5444,dolnośląskie
2020-05-18,0.7605,dolnośląskie
2020-05-19,0.787,dolnośląskie
2020-05-20,0.7216,dolnośląskie
2020-05-21,0.7242,dolnośląskie
2020-05-22,1.004,dolnośląskie
2020-05-23,1.0621,dolnośląskie
2020-05-24,1.1136,dolnośląskie
2020-05-25,0.9927,dolnośląskie
2020-05-26,0.9331,dolnośląskie
2020-05-27,1.0415,dolnośląskie
2020-05-28,1.0357,dolnośląskie
2020-05-29,0.8217,dolnośląskie
2020-05-30,0.8103,dolnośląskie
2020-05-31,0.7977,dolnośląskie
2020-06-01,0.83,dolnośląskie
2020-06-02,0.808,dolnośląskie
2020-06-03,0.6766,dolnośląskie
2020-06-04,0.6654,dolnośląskie
2020-06-05,0.6768,dolnośląskie
2020-06-06,0.6916,dolnośląskie
2020-06-07,0.6822,dolnośląskie
2020-06-08,0.6097,dolnośląskie
2020-06-09,0.6555,dolnośląskie
2020-06-10,0.6234,dolnośląskie
2020-06-11,0.6469,dolnośląskie
2020-06-12,0.5235,dolnośląskie
2020-06-13,0.5777,dolnośląskie
2020-06-14,0.5235,dolnośląskie
2020-06-15,0.4046,dolnośląskie
2020-06-16,0.4719,dolnośląskie
2020-06-17,0.9591,dolnośląskie
2020-06-18,0.9822,dolnośląskie
2020-06-19,1.1115,dolnośląskie
2020-06-20,1.0626,dolnośląskie
2020-06-21,1.0841,dolnośląskie
2020-06-22,1.1331,dolnośląskie
2020-06-23,1.1096,dolnośląskie
2020-06-24,0.7481,dolnośląskie
2020-06-25,0.7151,dolnośląskie
2020-06-26,0.8358,dolnośląskie
2020-06-27,0.7738,dolnośląskie
2020-06-28,0.7799,dolnośląskie
2020-06-29,0.7777,dolnośląskie
2020-06-30,0.7462,dolnośląskie
2020-07-01,0.6862,dolnośląskie
2020-07-02,0.7189,dolnośląskie
2020-07-03,0.518,dolnośląskie
2020-07-04,0.5046,dolnośląskie
2020-07-05,0.477,dolnośląskie
2020-07-06,0.5653,dolnośląskie
2020-07-07,0.7069,dolnośląskie
2020-07-08,0.6664,dolnośląskie
2020-07-09,0.6888,dolnośląskie
2020-07-10,0.9869,dolnośląskie
2020-07-11,0.9681,dolnośląskie
2020-07-12,1.0182,dolnośląskie
2020-07-13,0.9106,dolnośląskie
2020-07-14,0.9151,dolnośląskie
2020-07-15,1.0913,dolnośląskie
2020-07-16,1.6321,dolnośląskie
2020-07-17,1.4112,dolnośląskie
2020-07-18,1.6566,dolnośląskie
2020-07-19,1.7405,dolnośląskie
2020-07-20,2.0435,dolnośląskie
2020-07-21,1.8317,dolnośląskie
2020-07-22,1.8606,dolnośląskie
2020-07-23,1.2724,dolnośląskie
2020-07-24,1.5264,dolnośląskie
2020-07-25,1.4621,dolnośląskie
2020-07-26,1.4275,dolnośląskie
2020-07-27,1.1905,dolnośląskie
2020-07-28,1.4917,dolnośląskie
2020-07-29,1.3927,dolnośląskie
2020-07-30,1.3488,dolnośląskie
2020-07-31,1.3094,dolnośląskie
2020-08-01,1.2073,dolnośląskie
2020-08-02,1.243,dolnośląskie
2020-08-03,1.2941,dolnośląskie
2020-08-04,1.3543,dolnośląskie
2020-08-05,1.3476,dolnośląskie
2020-08-06,1.5646,dolnośląskie
2020-08-07,1.3465,dolnośląskie
2020-08-08,1.4346,dolnośląskie
2020-08-09,1.3676,dolnośląskie
2020-08-10,1.3333,dolnośląskie
2020-08-11,1.1052,dolnośląskie
2020-08-12,1.1476,dolnośląskie
2020-08-13,1.0207,dolnośląskie
2020-08-14,1.013,dolnośląskie
2020-08-15,1.1447,dolnośląskie
2020-08-16,1.1318,dolnośląskie
2020-08-17,1.1151,dolnośląskie
2020-08-18,1.1351,dolnośląskie
2020-08-19,1.1153,dolnośląskie
2020-08-20,1.0928,dolnośląskie
2020-08-21,1.1346,dolnośląskie
2020-08-22,0.9583,dolnośląskie
2020-08-23,1.0297,dolnośląskie
2020-08-24,1.0435,dolnośląskie
2020-08-25,1.0972,dolnośląskie
2020-08-26,1.0016,dolnośląskie
2020-08-27,1.0403,dolnośląskie
2020-08-28,1.0351,dolnośląskie
