date,location,total
2020-01-20,Małopolskie,655
2020-01-20,Mazowieckie,620566
2020-01-20,Podlaskie,254
2020-01-20,Podkarpackie,389
2020-01-20,Lubelskie,444
2020-01-20,Łódzkie,634
2020-01-20,Pomorskie,454
2020-01-20,Warmińsko-Mazurskie,319
2020-01-20,Świętokrzyskie,313
2020-01-20,Opolskie,218
2020-01-20,Dolnośląskie,653
2020-01-20,Lubuskie,252
2020-01-20,Zachodniopomorskie,400
2020-01-20,Wielkopolskie,735
2020-01-20,Śląskie,1027
2020-01-20,Kujawsko-Pomorskie,505
2020-01-27,Pomorskie,468
2020-01-27,Mazowieckie,640527
2020-01-27,Podlaskie,252
2020-01-27,Podkarpackie,414
2020-01-27,Lubelskie,466
2020-01-27,Świętokrzyskie,292
2020-01-27,Łódzkie,649
2020-01-27,Warmińsko-Mazurskie,272
2020-01-27,Zachodniopomorskie,372
2020-01-27,Opolskie,218
2020-01-27,Dolnośląskie,656
2020-01-27,Lubuskie,243
2020-01-27,Wielkopolskie,689
2020-01-27,Śląskie,991
2020-01-27,Małopolskie,670
2020-01-27,Kujawsko-Pomorskie,421
2020-02-03,Pomorskie,438
2020-02-03,Mazowieckie,572516
2020-02-03,Podlaskie,261
2020-02-03,Podkarpackie,375
2020-02-03,Lubelskie,476
2020-02-03,Łódzkie,604
2020-02-03,Warmińsko-Mazurskie,295
2020-02-03,Świętokrzyskie,268
2020-02-03,Opolskie,209
2020-02-03,Dolnośląskie,665
2020-02-03,Lubuskie,225
2020-02-03,Kujawsko-Pomorskie,436
2020-02-03,Zachodniopomorskie,378
2020-02-03,Wielkopolskie,650
2020-02-03,Śląskie,1047
2020-02-03,Małopolskie,641
2020-03-09,Podlaskie,241
2020-03-09,Podkarpackie,419
2020-03-09,Lubelskie,489
2020-03-09,Świętokrzyskie,315
2020-03-09,Łódzkie,684
2020-03-09,Pomorskie,484
2020-03-09,Warmińsko-Mazurskie,256
2020-03-09,Mazowieckie,644612
2020-03-09,Opolskie,240
2020-03-09,Dolnośląskie,641
2020-03-09,Lubuskie,199
2020-03-09,Zachodniopomorskie,387
2020-03-09,Wielkopolskie,666
2020-03-09,Śląskie,1129
2020-03-09,Małopolskie,669
2020-03-09,Kujawsko-Pomorskie,396
2020-03-16,Mazowieckie,653547
2020-03-16,Podlaskie,273
2020-03-16,Podkarpackie,426
2020-03-16,Lubelskie,484
2020-03-16,Świętokrzyskie,311
2020-03-16,Łódzkie,603
2020-03-16,Pomorskie,513
2020-03-16,Warmińsko-Mazurskie,262
2020-03-16,Kujawsko-Pomorskie,469
2020-03-16,Dolnośląskie,673
2020-03-16,Lubuskie,203
2020-03-16,Zachodniopomorskie,373
2020-03-16,Wielkopolskie,633
2020-03-16,Śląskie,1162
2020-03-16,Małopolskie,683
2020-03-16,Opolskie,201
2020-03-23,Pomorskie,500
2020-03-23,Mazowieckie,585599
2020-03-23,Podlaskie,280
2020-03-23,Podkarpackie,424
2020-03-23,Lubelskie,490
2020-03-23,Łódzkie,599
2020-03-23,Warmińsko-Mazurskie,292
2020-03-23,Świętokrzyskie,319
2020-03-23,Opolskie,244
2020-03-23,Małopolskie,647
2020-03-23,Śląskie,1088
2020-03-23,Wielkopolskie,644
2020-03-23,Kujawsko-Pomorskie,470
2020-03-23,Lubuskie,196
2020-03-23,Dolnośląskie,609
2020-03-23,Zachodniopomorskie,377
2020-03-30,Mazowieckie,622516
2020-03-30,Podlaskie,245
2020-03-30,Podkarpackie,424
2020-03-30,Lubelskie,498
2020-03-30,Świętokrzyskie,316
2020-03-30,Pomorskie,459
2020-03-30,Warmińsko-Mazurskie,319
2020-03-30,Łódzkie,655
2020-03-30,Opolskie,197
2020-03-30,Dolnośląskie,625
2020-03-30,Lubuskie,202
2020-03-30,Zachodniopomorskie,360
2020-03-30,Wielkopolskie,741
2020-03-30,Śląskie,1091
2020-03-30,Małopolskie,664
2020-03-30,Kujawsko-Pomorskie,470
2020-04-06,Pomorskie,441
2020-04-06,Mazowieckie,734515
2020-04-06,Podlaskie,268
2020-04-06,Podkarpackie,358
2020-04-06,Lubelskie,492
2020-04-06,Świętokrzyskie,301
2020-04-06,Łódzkie,608
2020-04-06,Warmińsko-Mazurskie,294
2020-04-06,Wielkopolskie,645
2020-04-06,Opolskie,202
2020-04-06,Dolnośląskie,671
2020-04-06,Lubuskie,234
2020-04-06,Zachodniopomorskie,387
2020-04-06,Śląskie,1038
2020-04-06,Małopolskie,676
2020-04-06,Kujawsko-Pomorskie,456
2020-04-13,Warmińsko-Mazurskie,269
2020-04-13,Podlaskie,259
2020-04-13,Podkarpackie,410
2020-04-13,Lubelskie,445
2020-04-13,Świętokrzyskie,336
2020-04-13,Łódzkie,620
2020-04-13,Pomorskie,429
2020-04-13,Mazowieckie,622552
2020-04-13,Kujawsko-Pomorskie,442
2020-04-13,Dolnośląskie,653
2020-04-13,Lubuskie,206
2020-04-13,Zachodniopomorskie,371
2020-04-13,Wielkopolskie,654
2020-04-13,Śląskie,1050
2020-04-13,Małopolskie,646
2020-04-13,Opolskie,181
2020-04-20,Mazowieckie,653562
2020-04-20,Podlaskie,232
2020-04-20,Podkarpackie,386
2020-04-20,Lubelskie,467
2020-04-20,Świętokrzyskie,286
2020-04-20,Łódzkie,520
2020-04-20,Pomorskie,459
2020-04-20,Warmińsko-Mazurskie,302
2020-04-20,Opolskie,224
2020-04-20,Dolnośląskie,600
2020-04-20,Lubuskie,214
2020-04-20,Zachodniopomorskie,351
2020-04-20,Wielkopolskie,656
2020-04-20,Śląskie,992
2020-04-20,Małopolskie,652
2020-04-20,Kujawsko-Pomorskie,432
2020-04-27,Pomorskie,395
2020-04-27,Mazowieckie,623555
2020-04-27,Podlaskie,240
2020-04-27,Podkarpackie,409
2020-04-27,Lubelskie,441
2020-04-27,Świętokrzyskie,273
2020-04-27,Łódzkie,595
2020-04-27,Warmińsko-Mazurskie,282
2020-04-27,Małopolskie,623
2020-04-27,Opolskie,185
2020-04-27,Dolnośląskie,638
2020-04-27,Lubuskie,235
2020-04-27,Zachodniopomorskie,363
2020-04-27,Wielkopolskie,694
2020-04-27,Śląskie,1019
2020-04-27,Kujawsko-Pomorskie,422
2020-05-04,Pomorskie,451
2020-05-04,Mazowieckie,647547
2020-05-04,Podlaskie,229
2020-05-04,Podkarpackie,407
2020-05-04,Lubelskie,451
2020-05-04,Świętokrzyskie,289
2020-05-04,Łódzkie,579
2020-05-04,Warmińsko-Mazurskie,276
2020-05-04,Zachodniopomorskie,404
2020-05-04,Opolskie,220
2020-05-04,Dolnośląskie,705
2020-05-04,Lubuskie,199
2020-05-04,Kujawsko-Pomorskie,445
2020-05-04,Wielkopolskie,684
2020-05-04,Śląskie,993
2020-05-04,Małopolskie,653
2020-05-11,Mazowieckie,634469
2020-05-11,Podlaskie,263
2020-05-11,Podkarpackie,354
2020-05-11,Lubelskie,416
2020-05-11,Świętokrzyskie,290
2020-05-11,Łódzkie,615
2020-05-11,Pomorskie,377
2020-05-11,Warmińsko-Mazurskie,281
2020-05-11,Kujawsko-Pomorskie,435
2020-05-11,Opolskie,212
2020-05-11,Dolnośląskie,626
2020-05-11,Lubuskie,195
2020-05-11,Zachodniopomorskie,327
2020-05-11,Wielkopolskie,671
2020-05-11,Śląskie,992
2020-05-11,Małopolskie,580
2020-05-18,Podlaskie,241
2020-05-18,Podkarpackie,395
2020-05-18,Lubelskie,439
2020-05-18,Świętokrzyskie,259
2020-05-18,Łódzkie,583
2020-05-18,Pomorskie,394
2020-05-18,Warmińsko-Mazurskie,266
2020-05-18,Mazowieckie,572459
2020-05-18,Opolskie,210
2020-05-18,Dolnośląskie,592
2020-05-18,Lubuskie,218
2020-05-18,Zachodniopomorskie,366
2020-05-18,Wielkopolskie,679
2020-05-18,Śląskie,993
2020-05-18,Małopolskie,659
2020-05-18,Kujawsko-Pomorskie,432
2020-05-25,Podlaskie,228
2020-05-25,Podkarpackie,334
2020-05-25,Lubelskie,396
2020-05-25,Świętokrzyskie,269
2020-05-25,Łódzkie,565
2020-05-25,Pomorskie,396
2020-05-25,Warmińsko-Mazurskie,284
2020-05-25,Mazowieckie,542513
2020-05-25,Opolskie,208
2020-05-25,Dolnośląskie,619
2020-05-25,Lubuskie,187
2020-05-25,Zachodniopomorskie,329
2020-05-25,Wielkopolskie,700
2020-05-25,Śląskie,973
2020-05-25,Małopolskie,617
2020-05-25,Kujawsko-Pomorskie,417
2020-06-01,Mazowieckie,597479
2020-06-01,Podlaskie,211
2020-06-01,Podkarpackie,329
2020-06-01,Lubelskie,420
2020-06-01,Świętokrzyskie,282
2020-06-01,Łódzkie,596
2020-06-01,Pomorskie,405
2020-06-01,Warmińsko-Mazurskie,275
2020-06-01,Kujawsko-Pomorskie,425
2020-06-01,Dolnośląskie,598
2020-06-01,Lubuskie,200
2020-06-01,Zachodniopomorskie,357
2020-06-01,Wielkopolskie,608
2020-06-01,Śląskie,1001
2020-06-01,Małopolskie,598
2020-06-01,Opolskie,175
2020-06-08,Pomorskie,376
2020-06-08,Podlaskie,235
2020-06-08,Podkarpackie,362
2020-06-08,Lubelskie,421
2020-06-08,Świętokrzyskie,277
2020-06-08,Łódzkie,551
2020-06-08,Warmińsko-Mazurskie,295
2020-06-08,Mazowieckie,611466
2020-06-08,Opolskie,199
2020-06-08,Małopolskie,635
2020-06-08,Śląskie,970
2020-06-08,Wielkopolskie,632
2020-06-08,Kujawsko-Pomorskie,375
2020-06-08,Lubuskie,203
2020-06-08,Dolnośląskie,614
2020-06-08,Zachodniopomorskie,320
2020-06-15,Podlaskie,259
2020-06-15,Podkarpackie,371
2020-06-15,Lubelskie,453
2020-06-15,Świętokrzyskie,252
2020-06-15,Łódzkie,567
2020-06-15,Pomorskie,441
2020-06-15,Warmińsko-Mazurskie,267
2020-06-15,Mazowieckie,634491
