date,location,total_quarantine,total_nadzor
2020-03-03,Polska,316,4459.0
2020-03-04,Polska,349,4540.0
2020-03-05,Polska,490,5647.0
2020-03-06,Polska,1299,6184.0
2020-03-07,Polska,1548,6409.0
2020-03-08,Polska,932,7112.0
2020-03-09,Polska,1014,7110.0
2020-03-10,Polska,1055,9366.0
2020-03-11,Polska,1193,11524.0
2020-03-12,Polska,2736,14841.0
2020-03-13,Polska,3151,17784.0
2020-03-14,Polska,4413,20340.0
2020-03-15,Polska,7535,25816.0
2020-03-16,Polska,10050,30129.0
2020-03-17,Polska,37503,35853.0
2020-03-18,Polska,57185,40110.0
2020-03-19,Polska,76764,48660.0
2020-03-20,Polska,109235,53117.0
2020-03-21,Polska,128919,56623.0
2020-03-22,Polska,128980,58826.0
2020-03-23,Polska,150746,51142.0
2020-03-24,Polska,167040,53426.0
2020-03-25,Polska,209208,56930.0
2020-03-26,Polska,234382,59081.0
2020-03-27,Polska,256156,58306.0
2020-03-28,Polska,265303,56585.0
2020-03-29,Polska,269307,52612.0
2020-03-30,Polska,270314,52370.0
2020-03-31,Polska,171994,50804.0
2020-04-01,Polska,183095,48093.0
2020-04-02,Polska,174997,44491.0
2020-04-03,Polska,160587,41146.0
2020-04-04,Polska,131888,39157.0
2020-04-05,Polska,143256,37295.0
2020-04-06,Polska,148130,36391.0
2020-04-07,Polska,153390,33273.0
2020-04-08,Polska,152898,33989.0
2020-04-09,Polska,158663,33879.0
2020-04-10,Polska,166973,31370.0
2020-04-11,Polska,162924,30982.0
2020-04-12,Polska,151548,29571.0
2020-04-13,Polska,144875,28665.0
2020-04-14,Polska,145875,28085.0
2020-04-15,Polska,142220,25923.0
2020-04-16,Polska,138004,25773.0
2020-04-17,Polska,118361,25273.0
2020-04-18,Polska,124311,17436.0
2020-04-19,Polska,111079,17266.0
2020-04-20,Polska,105602,21364.0
2020-04-21,Polska,98020,22731.0
2020-04-22,Polska,103129,21781.0
