,dawka_1,dawka_2,dostawa,grupa,marka,denom,location,week2,year2,date
21254,61,0,0.0,ALL,COM,945809.0,Podlaskie,52,2020,2020-12-21
21255,2216,0,9750.0,ALL,COM,31044901.0,Polska,52,2020,2020-12-21
21256,0,0,0.0,ALL,AZ,1719530.0,Lubelskie,52,2020,2020-12-21
21257,15,0,0.0,ALL,COM,1016552.0,Świętokrzyskie,52,2020,2020-12-21
21258,0,0,0.0,ALL,JANSS,1016552.0,Świętokrzyskie,52,2020,2020-12-21
21259,0,0,0.0,ALL,MOD,1381726.0,Zachodniopomorskie,52,2020,2020-12-21
21260,0,0,0.0,ALL,MOD,786355.0,Opolskie,52,2020,2020-12-21
21261,95,0,0.0,ALL,COM,1856577.0,Pomorskie,52,2020,2020-12-21
21262,0,0,0.0,ALL,JANSS,786355.0,Opolskie,52,2020,2020-12-21
21263,0,0,0.0,ALL,JANSS,1719530.0,Lubelskie,52,2020,2020-12-21
21264,0,0,0.0,ALL,JANSS,2026852.0,Łódzkie,52,2020,2020-12-21
21265,0,0,0.0,ALL,MOD,819729.0,Lubuskie,52,2020,2020-12-21
21266,0,0,0.0,ALL,JANSS,1141615.0,Warmińsko-Mazurskie,52,2020,2020-12-21
21267,0,0,0.0,ALL,MOD,2725922.0,Małopolskie,52,2020,2020-12-21
21268,0,0,0.0,ALL,AZ,4381866.0,Mazowieckie,52,2020,2020-12-21
21269,0,0,0.0,ALL,AZ,1679966.0,Kujawsko-Pomorskie,52,2020,2020-12-21
21270,0,0,0.0,ALL,JANSS,819729.0,Lubuskie,52,2020,2020-12-21
21271,0,0,0.0,ALL,MOD,31044901.0,Polska,52,2020,2020-12-21
21272,0,0,0.0,ALL,MOD,1701879.0,Podkarpackie,52,2020,2020-12-21
21273,0,0,0.0,ALL,JANSS,1701879.0,Podkarpackie,52,2020,2020-12-21
21274,0,0,0.0,ALL,AZ,2725922.0,Małopolskie,52,2020,2020-12-21
21275,0,0,0.0,ALL,MOD,1016552.0,Świętokrzyskie,52,2020,2020-12-21
21276,0,0,0.0,ALL,MOD,2803093.0,Wielkopolskie,52,2020,2020-12-21
21277,0,0,0.0,ALL,MOD,1856577.0,Pomorskie,52,2020,2020-12-21
21278,0,0,0.0,ALL,AZ,1381726.0,Zachodniopomorskie,52,2020,2020-12-21
21279,124,0,0.0,ALL,COM,819729.0,Lubuskie,52,2020,2020-12-21
21280,0,0,0.0,ALL,AZ,31044901.0,Polska,52,2020,2020-12-21
21281,30,0,0.0,ALL,COM,786355.0,Opolskie,52,2020,2020-12-21
21282,55,0,0.0,ALL,COM,2803093.0,Wielkopolskie,52,2020,2020-12-21
21283,0,0,0.0,ALL,MOD,2026852.0,Łódzkie,52,2020,2020-12-21
21284,20,0,0.0,ALL,COM,1381726.0,Zachodniopomorskie,52,2020,2020-12-21
21285,0,0,0.0,ALL,JANSS,2803093.0,Wielkopolskie,52,2020,2020-12-21
21286,0,0,0.0,ALL,MOD,1141615.0,Warmińsko-Mazurskie,52,2020,2020-12-21
21287,189,0,0.0,ALL,COM,2725922.0,Małopolskie,52,2020,2020-12-21
21288,0,0,0.0,ALL,JANSS,4381866.0,Mazowieckie,52,2020,2020-12-21
21289,0,0,0.0,ALL,MOD,4381866.0,Mazowieckie,52,2020,2020-12-21
21290,0,0,0.0,ALL,AZ,1016552.0,Świętokrzyskie,52,2020,2020-12-21
21291,152,0,0.0,ALL,COM,1141615.0,Warmińsko-Mazurskie,52,2020,2020-12-21
21292,0,0,0.0,ALL,JANSS,2371693.0,Dolnośląskie,52,2020,2020-12-21
21293,150,0,0.0,ALL,COM,1679966.0,Kujawsko-Pomorskie,52,2020,2020-12-21
21294,0,0,0.0,ALL,MOD,945809.0,Podlaskie,52,2020,2020-12-21
21295,0,0,0.0,ALL,JANSS,1679966.0,Kujawsko-Pomorskie,52,2020,2020-12-21
21296,0,0,0.0,ALL,JANSS,1856577.0,Pomorskie,52,2020,2020-12-21
21297,0,0,0.0,ALL,AZ,1141615.0,Warmińsko-Mazurskie,52,2020,2020-12-21
21298,0,0,0.0,ALL,AZ,819729.0,Lubuskie,52,2020,2020-12-21
21299,0,0,0.0,ALL,AZ,1701879.0,Podkarpackie,52,2020,2020-12-21
21300,0,0,0.0,ALL,AZ,786355.0,Opolskie,52,2020,2020-12-21
21301,0,0,0.0,ALL,AZ,2026852.0,Łódzkie,52,2020,2020-12-21
21302,0,0,0.0,ALL,JANSS,1381726.0,Zachodniopomorskie,52,2020,2020-12-21
21303,309,0,0.0,ALL,COM,1719530.0,Lubelskie,52,2020,2020-12-21
21304,0,0,0.0,ALL,AZ,2803093.0,Wielkopolskie,52,2020,2020-12-21
21305,0,0,0.0,ALL,AZ,945809.0,Podlaskie,52,2020,2020-12-21
21306,185,0,0.0,ALL,COM,3705960.0,Śląskie,52,2020,2020-12-21
21307,0,0,0.0,ALL,MOD,1679966.0,Kujawsko-Pomorskie,52,2020,2020-12-21
21308,0,0,0.0,ALL,JANSS,945809.0,Podlaskie,52,2020,2020-12-21
21309,258,0,0.0,ALL,COM,2026852.0,Łódzkie,52,2020,2020-12-21
21310,0,0,0.0,ALL,MOD,1719530.0,Lubelskie,52,2020,2020-12-21
21311,0,0,0.0,ALL,MOD,3705960.0,Śląskie,52,2020,2020-12-21
21312,0,0,0.0,ALL,JANSS,2725922.0,Małopolskie,52,2020,2020-12-21
21313,207,0,0.0,ALL,COM,2371693.0,Dolnośląskie,52,2020,2020-12-21
21314,0,0,0.0,ALL,MOD,2371693.0,Dolnośląskie,52,2020,2020-12-21
21315,34,0,0.0,ALL,COM,1701879.0,Podkarpackie,52,2020,2020-12-21
