JPT,powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,population,total_full,percent full,total_1d,nazwa,wojew,typ_p
JPT_0608022,lubartowski,349,40,253,425,299,4029,1031,"25,6",1366,Abramów,lubelskie,<20k
JPT_0620012,zamojski,377,49,281,547,329,4597,1248,"27,1",1583,Adamów,lubelskie,<20k
JPT_0611032,łukowski,421,39,341,484,351,5511,1281,"23,2",1636,Adamów,lubelskie,<20k
JPT_1814022,przeworski,282,22,224,415,273,4025,1011,"25,1",1216,Adamówka,podkarpackie,<20k
JPT_0602022,biłgorajski,221,12,155,266,189,3269,677,"20,7",843,Aleksandrów,lubelskie,<20k
JPT_1010012,piotrkowski,430,54,321,531,423,4279,1335,"31,2",1759,Aleksandrów,łódzkie,<20k
JPT_0401011,aleksandrowski,1251,313,1297,1837,1381,12058,4900,"40,6",6079,Aleksandrów Kujawski,kujawsko-pomorskie,<20k
JPT_1020043,zgierski,2876,736,3224,5627,2886,32685,12283,"37,6",15349,Aleksandrów Łódzki,łódzkie,20k-50k
JPT_1203013,chrzanowski,1084,272,1373,1998,1199,12490,4682,"37,5",5926,Alwernia,małopolskie,<20k
JPT_1006022,łódzki wschodni,1257,317,1381,2376,1346,14307,5507,"38,5",6677,Andrespol,łódzkie,<20k
JPT_1218013,wadowicki,3680,651,3684,5797,3616,43285,13092,"30,2",17428,Andrychów,małopolskie,20k-50k
JPT_1416022,ostrowski (mazowieckie),398,41,285,448,294,4022,1091,"27,1",1466,Andrzejewo,mazowieckie,<20k
JPT_0607023,kraśnicki,729,80,525,889,762,8483,2437,"28,7",2985,Annopol,lubelskie,<20k
JPT_2001011,augustowski,2655,377,2128,3558,2462,29946,9496,"31,7",11180,Augustów,podlaskie,20k-50k
JPT_3009022,kolski,532,63,518,854,540,7832,1764,"22,5",2507,Babiak,wielkopolskie,<20k
JPT_1203022,chrzanowski,832,168,949,1505,821,9084,3352,"36,9",4275,Babice,małopolskie,<20k
JPT_0809013,zielonogórski,586,82,578,919,624,6177,2240,"36,3",2789,Babimost,lubuskie,<20k
JPT_1602013,głubczycki,473,55,427,687,507,5901,1827,31,2149,Baborów,opolskie,<20k
JPT_1420032,płoński,602,106,621,1017,612,7913,2117,"26,8",2958,Baboszewo,mazowieckie,<20k
JPT_2012012,suwalski,159,23,190,265,221,3091,707,"22,9",858,Bakałarzewo,podlaskie,<20k
JPT_1821012,leski,235,20,156,306,222,3150,827,"26,3",939,Baligród,podkarpackie,<20k
JPT_3206012,gryfiński,457,85,482,794,584,6253,1705,"27,3",2402,Banie,zachodniopomorskie,<20k
JPT_2818012,gołdapski,326,41,239,426,336,3614,1040,"28,8",1368,Banie Mazurskie,warmińsko-mazurskie,<20k
JPT_1415012,ostrołęcki,477,48,342,648,397,6460,1454,"22,5",1912,Baranowo,mazowieckie,<20k
JPT_1405032,grodziski (mazowieckie),383,110,522,798,392,5371,1523,"28,4",2205,Baranów,mazowieckie,<20k
JPT_3008012,kępiński,537,150,975,1270,665,8020,2540,"31,7",3597,Baranów,wielkopolskie,<20k
JPT_0614022,puławski,364,39,265,429,287,3830,1031,"26,9",1384,Baranów,lubelskie,<20k
JPT_1820013,tarnobrzeski,812,119,693,1211,782,11770,3058,26,3617,Baranów Sandomierski,podkarpackie,<20k
JPT_2808022,kętrzyński,446,58,339,684,560,6030,1488,"24,7",2087,Barciany,warmińsko-mazurskie,<20k
JPT_0419013,żniński,1354,307,1252,2171,1411,14720,4878,"33,1",6495,Barcin,kujawsko-pomorskie,<20k
JPT_2814013,olsztyński,1306,402,1703,2844,1696,18142,6509,"35,9",7951,Barczewo,warmińsko-mazurskie,<20k
JPT_0224013,ząbkowicki,450,84,516,649,509,5210,1778,"34,1",2208,Bardo,dolnośląskie,<20k
JPT_2001032,augustowski,379,41,289,461,327,5455,1213,"22,2",1497,Bargłów Kościelny,podlaskie,<20k
JPT_3210013,myśliborski,1669,263,1394,2440,1765,19220,6292,"32,7",7531,Barlinek,zachodniopomorskie,<20k
JPT_0402062,brodnicki,350,82,432,688,333,4708,1245,"26,4",1885,Bartniczka,kujawsko-pomorskie,<20k
JPT_2801011,bartoszycki,2422,510,2215,3699,2618,22984,9613,"41,8",11464,Bartoszyce,warmińsko-mazurskie,20k-50k
JPT_0418022,włocławski,342,47,270,535,305,3407,1156,"33,9",1499,Baruchowo,kujawsko-pomorskie,<20k
