population,total_vacc,new_vacc,total_vacc_2,new_vacc_2,slots_7,slots_30,date,powiat,wojew
57352,108664,0,39600,0,388,725,2022-10-01,Biała Podlaska,lubelskie
297459,706604,0,256909,0,3398,9384,2022-10-01,Białystok,podlaskie
171259,340774,11,117680,1,2473,7136,2022-10-01,Bielsko-Biała,śląskie
350178,705146,0,231105,0,12746,42460,2022-10-01,Bydgoszcz,kujawsko-pomorskie
166795,223478,0,77731,0,1165,3041,2022-10-01,Bytom,śląskie
62670,102223,0,34674,0,200,416,2022-10-01,Chełm,lubelskie
108434,179973,0,61556,0,3345,6779,2022-10-01,Chorzów,śląskie
222292,429268,21,140522,0,13607,39168,2022-10-01,Częstochowa,śląskie
120259,157414,0,49819,0,2085,4153,2022-10-01,Dąbrowa Górnicza,śląskie
120142,204158,0,70186,0,1401,6368,2022-10-01,Elbląg,warmińsko-mazurskie
466631,1216394,115,434858,2,18214,52083,2022-10-01,Gdańsk,pomorskie
246309,470411,52,148751,0,12836,41029,2022-10-01,Gdynia,pomorskie
179806,390316,0,142620,0,4455,16684,2022-10-01,Gliwice,śląskie
123921,257331,0,84156,0,3892,10798,2022-10-01,Gorzów Wielkopolski,lubuskie
95045,187191,0,65450,0,646,1289,2022-10-01,Grudziądz,kujawsko-pomorskie
160647,164231,3,57010,0,632,2047,2022-10-01,Inowrocław,kujawsko-pomorskie
89128,105897,0,32671,0,602,1052,2022-10-01,Jastrzębie-Zdrój,śląskie
91563,141173,0,48622,0,1034,2124,2022-10-01,Jaworzno,śląskie
79480,143920,0,49456,0,775,2077,2022-10-01,Jelenia Góra,dolnośląskie
100975,171523,0,60318,0,3154,7463,2022-10-01,Kalisz,wielkopolskie
294510,814322,21,299659,0,5529,18518,2022-10-01,Katowice,śląskie
195774,416375,5,148362,0,10978,37906,2022-10-01,Kielce,świętokrzyskie
74151,166446,0,56589,0,2082,4215,2022-10-01,Konin,wielkopolskie
107321,204006,3,67009,0,3145,8099,2022-10-01,Koszalin,zachodniopomorskie
771069,1786295,79,629386,2,43888,162778,2022-10-01,Kraków,małopolskie
46511,70006,0,24304,0,171,409,2022-10-01,Krosno,podkarpackie
99752,145621,0,48850,0,619,1855,2022-10-01,Legnica,dolnośląskie
63952,122351,0,39452,0,291,744,2022-10-01,Leszno,wielkopolskie
339682,683204,0,236167,0,4527,13228,2022-10-01,Lublin,lubelskie
74586,82701,0,27634,0,974,1601,2022-10-01,Mysłowice,śląskie
83896,103445,0,34917,0,1526,5133,2022-10-01,Nowy Sącz,małopolskie
172362,365222,0,122884,0,5841,16001,2022-10-01,Olsztyn,warmińsko-mazurskie
128137,283087,0,100005,0,1079,3018,2022-10-01,Opole,opolskie
52262,103756,0,38342,0,1574,2650,2022-10-01,Ostrołęka,mazowieckie
55299,71560,0,21818,0,1301,4804,2022-10-01,Piekary Śląskie,śląskie
73670,133277,0,44525,0,1231,1746,2022-10-01,Piotrków Trybunalski,łódzkie
536438,1822665,72,602507,0,62612,205086,2022-10-01,Poznań,wielkopolskie
61251,79875,0,25677,0,219,816,2022-10-01,Przemyśl,podkarpackie
120000,206075,0,68581,0,3247,10877,2022-10-01,Płock,mazowieckie
