jpt_nazwa_,Populacja,SZCZEPIENIA_SUMA,DAWKA_2_SUMA,DAWKA_2_DZIENNIE,JPT_KJ_I_2,SZCZEPIENIA_DZIENNIE
opolskie,986506,717328,315475,2252,t16,2666
świętokrzyskie,1241546,806964,332708,3066,t26,3727
kujawsko-pomorskie,2077775,1502673,600177,6111,t04,7228
mazowieckie,5403412,4452211,1822912,22708,t14,27734
pomorskie,2333523,1893177,803380,7209,t22,9452
śląskie,4533565,3456483,1428780,10939,t24,13946
warmińsko-mazurskie,1428983,948855,390484,3956,t28,5053
zachodniopomorskie,1701030,1331297,557292,5524,t32,6949
dolnośląskie,2901225,2338937,974328,7997,t02,11463
wielkopolskie,3493969,2587027,1031147,10365,t30,13519
łódzkie,2466322,1890625,789600,6123,t10,7458
podlaskie,1181533,867890,388392,2094,t20,2557
małopolskie,3400577,2370334,953264,11409,t12,14613
lubuskie,1014548,790568,336214,2875,t08,3495
podkarpackie,2129015,1298161,583274,3926,t18,4858
lubelskie,2117619,1348790,577022,5028,t06,6298
