id,ordinalNumber,facilityName,terc,address,zipCode,wojew,powiat,community,place,lon,lat,facilityType
452311,1271,DOMOWY SZPITAL,661011,SPÓŁDZIELCZA 5,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.110669586999997,52.0342358,1
452301,1261,PUNKT SZCZEPIEŃ,661011,ŁOMASKA 19,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.1212763,52.0222584,1
452302,1262,PUNKT SZCZEPIEŃ POWSZECHNYCH- GABINET DIAGNOSTYCZNO-ZABIEGOWY,661011,TEREBELSKA 57-65,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.1112776,52.0468679,2
452303,1263,PUNKT SZCZEPIEŃ,661011,ALEJA TYSIĄCLECIA 4,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.128294,52.035377000000004,1
452304,1264,PUNKT SZCZEPIEŃ,661011,PARKOWA 11,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.133073100000004,52.025994,1
452305,1265,PUNKT SZCZEPIEŃ,661011,ZYGMUNTA AUGUSTA 9,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.106644,52.046384,1
452306,1266,PUNKT SZCZEPIEŃ,661011,SIDORSKA 59,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.1418268,52.023784899999995,1
452307,1267,PUNKT SZCZEPIEŃ,661011,KRÓLOWEJ JADWIGI 2,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.110112,52.0446706,1
452308,1268,PUNKT SZCZEPIEŃ,661011,NARUTOWICZA 35,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.119931,52.031743,1
452309,1269,GABINET DIAGNOSTYCZNO - ZABIEGOWY,661011,TADEUSZA KOŚCIUSZKI 16,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.1335174,52.0222845,1
452310,1270,ZESPÓŁ WYJAZDOWY- MPS02,661011,TEREBELSKA 57-65,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.1112776,52.0468679,1
452312,1272,PUNKT SZCZEPIEŃ POWSZECHNYCH- BIALSKIE CENTRUM KULTURY,661011,WARSZAWSKA 11,21-500,lubelskie,Biała Podlaska,Biała Podlaska,BIAŁA PODLASKA,23.1142511513206,52.03280595,2
455210,4170,"ZESPOŁY WYJAZDOWE OBSZAR NR 1,3",2061011,ZŁOTA 5,15-016,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.172572,53.13921,1
455180,4140,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,BEMA 2 LOK. 26,15-369,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.14911,53.126155000000004,1
455179,4139,GABINET SZCZEPIENNO-ZABIEGOWY,2061011,GEN. J. HALLERA 8,15-814,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.123694,53.1505834,1
455178,4138,GABINET SZCZEPIEŃ,2061011,RADZYMIŃSKA 16/25,15-863,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.15032,53.144998,1
455177,4137,GABINET DIAGNOSTYCZNO-ZABIEGOWY,2061011,MIŁOSNA 24,15-666,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.083842999999998,53.133729,1
455176,4136,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,GAJOWA 75,15-794,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.116959,53.15424300000001,1
455175,4135,GABINET SZCZEPIEŃ,2061011,ŚWIĘTOKRZYSKA 5A LOK U5,15-843,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.134004,53.14591899999999,1
455174,4134,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,ŚWIĘTEGO JERZEGO 22,15-349,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.125066,53.107473,1
455173,4133,GABINET SZCZEPIENNY,2061011,ZWIERZYNIECKA 9,15-312,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.149565,53.120431999999994,1
455172,4132,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,AL. JANA PAWŁA II 59/14U,15-704,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.101542000000002,53.140624,1
455171,4131,CENTRUM MEDYCZNE RODZINA (GABINET DIAGNOSTYCZNO- ZABIEGOWY),2061011,WITOSA 15B GAB 5,15-660,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.105506,53.132114,1
455181,4141,GABINET LEKARZA POZ,2061011,SIEWNA 2,15-183,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.191588,53.144616000000006,1
455182,4142,GABINET SZCZEPIEŃ,2061011,ANDRUKIEWICZA 4/3U,15-204,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.198454,53.133444,1
455183,4143,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,ZAGUMIENNA 10A,15-863,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.149817000000002,53.146727,1
455184,4144,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,KOMISJI EDUKACJI NARODOWEJ 7,15-687,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.08405,53.149896999999996,1
455206,4166,PUNKT SZCZEPIEŃ POWSZECHNYCH - UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU,2061011,JERZEGO WASZYNGTONA 15A,15-274,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.157525,53.124483999999995,2
455207,4167,PUNKT SZCZEPIEŃ POWSZECHNYCH - ZESPÓŁ SZKÓŁ MECHANICZNYCH CENTRUM KSZTAŁCENIA PRAKTYCZNEGO NR 2 IM. ŚW. JÓZEFA W BIAŁYMSTOKU,2061011,BRONIEWSKIEGO 14,15-750,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.125941,53.139247,2
455208,4168,PUNKT SZCZEPIEŃ POWSZECHNYCH - SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ WOJEWÓDZKI SZPITAL ZESPOLONY IM. JĘDRZEJA ŚNIADECKIEGO W BIAŁYMSTOKU,2061011,M.SKŁODOWSKIEJ-CURIE 26,15-950,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.161720000000003,53.125403000000006,2
455209,4169,PUNKT SZCZEPIEŃ POWSZECHNYCH - SZKOŁA PODSTAWOWA NR 12,2061011,KEN 1A,15-687,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.090876,53.150816000000006,2
455203,4163,UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU SZPITAL TYMCZASOWY NR 1 - PUNKT SZCZEPIEŃ,2061011,UL. ŻURAWIA 14,15-535,podlaskie,Białystok,Białystok,BIALYSTOK,23.190500139963397,53.1089934727923,1
455202,4162,UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU SZPITAL TYMCZASOWY NR 2 - PUNKT SZCZEPIEŃ,2061011,UL. WOŁODYJOWSKIEGO 1,15-369,podlaskie,Białystok,Białystok,BIALYSTOK,23.160938,53.122879000000005,1
455201,4161,GABINET DIAGNOSTYCZNO-ZABIEGOWY,2061011,KEN 50/U4,15-687,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.0841236,53.1506002,1
455200,4160,"PUNKT SZCZEPIEŃ, BIAŁYSTOK, UL. STORCZYKOWA 5 LOK. 104",2061011,STORCZYKOWA 5/104,15-644,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.094394,53.121424,1
455199,4159,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,TRANSPORTOWA 9 LOK. U1,15-399,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.122484,53.110629,1
455198,4158,AMBULATORYJNY PUNKT SZCZEPIEŃ,2061011,POLESKA 89,15-874,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.144087,53.137614,1
455197,4157,KLINIKA DERMATOLOGII I WENEROLOGII Z PODODDZIAŁEM DERMATOLOGII DZIECIĘCEJ I PODODDZIAŁEM DERMATOLOGICZNYM DZIENNEGO POBYTU,2061011,ŻURAWIA 14,15-540,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.189966000000002,53.108895,1
455196,4156,PUNKT SZCZEPIEŃ,2061011,UL. WOŁODYJOWSKIEGO 1,15-276,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.161299,53.122803000000005,1
455195,4155,GABINET ZABIEGOWO- SZCZEPIENNY,2061011,UL. WASZYNGTONA 15A,15-274,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.157557,53.124545,1
455194,4154,PUNKT SZCZEPIEŃ,2061011,DR IRENY BIAŁÓWNY 9/1,15-437,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.1575652,53.13328739999999,1
455193,4153,PUNKT SZCZEPIEŃ,2061011,NOWY ŚWIAT 11C,15-453,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.155279,53.135445999999995,1
455192,4152,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,BEMA 2 LOK. 6,15-369,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.14911,53.126155000000004,1
455191,4151,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,KLEPACKA 4,15-634,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.086809,53.113191,1
455190,4150,GABINET SZCZEPIEŃ,2061011,MIESZKA I 8C/15,15-054,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.188848,53.133028,1
455189,4149,PORADNIA LEKARZA POZ,2061011,WŁADYSŁAWA RAGINISA 87/2,15-161,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.200226,53.162346,1
455188,4148,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,FABRYCZNA 4 LOK.1H,15-483,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.164820000000002,53.137710999999996,1
455187,4147,GABINET ZABIEGOWO SZCZEPIENNY,2061011,TRANSPORTOWA 4,15-399,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.123860999999998,53.11296899999999,1
455186,4146,GABINET DIAGNOSTYCZNO-ZABIEGOWY,2061011,AL. 1000-LECIA PAŃSTWA POLSKIEGO 10/21A,15-111,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.1555155,53.1514781,1
455185,4145,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,ŁĄKOWA 9/2,15-017,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.1739563,53.1395622,1
455167,4127,PUNKT SZCZEPIEŃ QMEDICA,2061011,JERZEGO WASZYNGTONA 30/1U,15-305,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.152482,53.124858999999994,1
455205,4165,ZESPÓŁ WYJAZDOWY OBSZAR NR 3,2061011,POLESKA 89,15-874,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.144087,53.137614,1
455204,4164,"ZESPÓŁ WYJAZDOWY OBSZAR NR 2,3",2061011,1000LECIA PP 10 LOK 21A,15-111,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.1555155,53.1514781,1
455156,4116,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,AKADEMICKA 3,15-267,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.16399,53.127928000000004,1
455164,4124,GABINET SZCZEPIENNY,2061011,MAZOWIECKA 33,15-301,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.150012,53.124553000000006,1
455163,4123,GABINET DIAGNOSTYCZNO-ZABIEGOWY,2061011,ŚW. ROCHA 12A GAB. 8,15-879,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.1413659,53.134352,1
455169,4129,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,MICKIEWICZA 44A,15-223,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.172368,53.122427,1
455162,4122,GABINET SZCZEPIENNY,2061011,SWOBODNA 24,15-756,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.108168,53.147932,1
455161,4121,GABINET SZCZEPIENNY,2061011,PIŁSUDSKIEGO 4A,15-445,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.1483552,53.135186600000004,1
455160,4120,GABINET DIAGNOSTYCZNO-ZABIEGOWY,2061011,"1000-LECIA PAŃSTWA POLSKIEGO 10 LOK 17A, 18A",15-111,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.155036,53.151396,1
455170,4130,GABINET PIELĘGNIARKI POZ,2061011,ADAMA MICKIEWICZA 14/28,15-224,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.171079000000002,53.125443999999995,1
455159,4119,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,KOMISJI EDUKACJI NARODOWEJ 3/U3,15-687,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.088695,53.150735,1
455158,4118,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,CIOŁKOWSKIEGO 27,15-264,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.18344,53.116512,1
455157,4117,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,FABRYCZNA 27/ LOKAL 1/15,15-471,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.166232,53.139013,1
455166,4126,GABINET SZCZEPIENNY,2061011,SOWLAŃSKA 3/U2,15-560,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.210562,53.121573,1
455168,4128,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,WASZYNGTONA 17,15-274,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.155810100000004,53.123957999999995,1
455155,4115,GABINET DIAGNOSTYCZNO-ZABIEGOWY Z PUNKTEM SZCZEPIEŃ,2061011,FABRYCZNA 27,15-471,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.165727800000003,53.13934939999999,1
455153,4113,PUNKT SZCZEPIEŃ COVID I,2061011,WYSZYŃSKIEGO 2/1 LOK. 320,15-888,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.138317,53.131645999999996,1
455152,4112,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,STROMA 11 LOK. 2,15-162,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.105744,53.130176,1
455151,4111,GABINET PRZYGOTOWAWCZO-ZABIEGOWY (SZCZEPIENNY),2061011,STORCZYKOWA 5,15-644,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.094394,53.121424,1
455150,4110,GABINET DIAGNOSTYCZNO-ZABIEGOWY,2061011,ALEJA JANA PAWŁA II 59 6U,15-704,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.1015609,53.140369799999995,1
455149,4109,GABINET ZABIEGOWO-SZCZEPIENNY,2061011,RZEMIEŚLNICZA 31,15-773,podlaskie,Białystok,Białystok,BIAŁYSTOK,23.116695,53.143365,1
