Gmina,Powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,Województwo,Grupa wiekowa,Liczba ludności,Pacjenci w pełni zaszczepieni,% pacjentów zaszczepionych pełną dawką,Pacjenci zaszczepieni przynajmniej jedną dawką
m. Ciechocinek,aleksandrowski,1711,100,849,1458,1264,kujawsko-pomorskie,:,10534,4064,"38,58%",5382
Sopot,Sopot,5569,547,4130,5206,3427,pomorskie,:,35286,13050,"36,98%",18879
m. Podkowa Leśna,grodziski,539,87,446,721,438,mazowieckie,:,3801,1364,"35,89%",2231
gm.m-w. Konstancin-Jeziorna,piaseczyński,2823,565,2675,4786,2611,mazowieckie,:,24621,8636,"35,08%",13460
Gdańsk,Gdańsk,55814,8231,73259,76650,43238,pomorskie,:,470805,164980,"35,04%",257192
m. Puszczykowo,poznański,1120,164,1012,1723,1089,wielkopolskie,:,9575,3315,"34,62%",5108
M. st. Warszawa,Warszawa,211975,31257,298249,327412,164040,mazowieckie,:,1794166,612343,"34,13%",1032935
Gdynia,Gdynia,31381,3432,29977,38300,23716,pomorskie,:,244969,82690,"33,76%",126806
Poznań,Poznań,65056,7265,80329,86653,50876,wielkopolskie,:,532048,178428,"33,54%",290179
Wrocław,Wrocław,74761,8497,107816,101514,59468,dolnośląskie,:,641928,212074,"33,04%",352056
m. Szczawno-Zdrój,wałbrzyski,739,65,457,827,652,dolnośląskie,:,5534,1811,"32,73%",2740
Katowice,Katowice,35780,3781,35029,44819,29394,śląskie,:,290553,94775,"32,62%",148803
m. Łeba,lęborski,396,36,264,495,468,pomorskie,:,3541,1138,"32,14%",1659
gm.w. Bobrowniki,będziński,1361,193,1176,2148,1268,śląskie,:,12122,3891,"32,10%",6146
gm.w. Suchy Las,poznański,1445,422,2295,3835,1615,wielkopolskie,:,18512,5915,"31,95%",9612
gm.w. Branice,głubczycki,657,73,478,931,688,opolskie,:,6363,2023,"31,79%",2827
gm.w. Michałowice,pruszkowski,1821,471,2221,3708,1850,mazowieckie,:,18361,5835,"31,78%",10071
Kraków,Kraków,86089,10016,125824,124803,67133,małopolskie,:,779966,247821,"31,77%",413865
m. Krynica Morska,nowodworski,116,16,119,222,163,pomorskie,:,1290,407,"31,55%",636
Opole,Opole,15006,1572,14030,19180,12187,opolskie,:,127839,40242,"31,48%",61975
Łódź,Łódź,87096,7851,70646,98758,71693,łódzkie,:,672185,211413,"31,45%",336045
Lublin,Lublin,37674,4058,33951,48001,31081,lubelskie,:,338586,106257,"31,38%",154765
m. Polanica-Zdrój,kłodzki,887,39,403,769,632,dolnośląskie,:,6228,1941,"31,17%",2730
Szczecin,Szczecin,45844,5386,43892,59264,38936,zachodniopomorskie,:,398255,124130,"31,17%",193323
m. Puławy,puławski,6555,478,3450,6393,4414,lubelskie,:,46965,14621,"31,13%",21291
gm.w. Raciążek,aleksandrowski,317,28,243,471,297,kujawsko-pomorskie,:,3116,966,31%,1356
Białystok,Białystok,28069,2884,27815,39940,25293,podlaskie,:,296958,92008,"30,98%",124001
gm.w. Dobra (Szczecińska),policki,1355,634,2954,5500,1874,zachodniopomorskie,:,25061,7749,"30,92%",12317
m. Łańcut,łańcucki,1861,163,1566,2292,1551,podkarpackie,:,17675,5453,"30,85%",7433
Rzeszów,Rzeszów,17521,2087,20546,24850,16095,podkarpackie,:,196638,60437,"30,74%",81099
gm.w. Stare Babice,warszawski zachodni,1500,441,2155,3889,1796,mazowieckie,:,19605,6022,"30,72%",9781
gm.m-w. Łomianki,warszawski zachodni,2374,653,3452,5604,2511,mazowieckie,:,27705,8506,"30,70%",14594
m. Złotoryja,złotoryjski,1647,185,1198,2092,1770,dolnośląskie,:,15273,4686,"30,68%",6892
Sosnowiec,Sosnowiec,23859,2356,17019,29149,22817,śląskie,:,197586,60602,"30,67%",95200
m. Sandomierz,sandomierski,2782,230,1840,3577,2253,świętokrzyskie,:,22997,7054,"30,67%",10682
m. Łowicz,łowicki,3199,313,2629,4279,3172,łódzkie,:,27896,8539,"30,61%",13592
gm.m-w. Dziwnów,kamieński,436,34,300,610,460,zachodniopomorskie,:,3939,1195,"30,34%",1840
gm.w. Białowieża,hajnowski,292,16,130,270,194,podlaskie,:,2130,644,"30,23%",902
m. Szczecinek,szczecinecki,4518,451,3131,5499,4225,zachodniopomorskie,:,39827,12039,"30,23%",17824
gm.w. Izabelin,warszawski zachodni,994,281,1145,1943,1098,mazowieckie,:,10560,3188,"30,19%",5461
Olsztyn,Olsztyn,18676,1678,16821,25365,16948,warmińsko-mazurskie,:,171249,51707,"30,19%",79488
m. Piastów,pruszkowski,2554,323,2629,3890,2294,mazowieckie,:,22559,6788,"30,09%",11690
gm.m-w. Piaseczno,piaseczyński,7013,2240,11562,18099,6857,mazowieckie,:,86217,25896,"30,04%",45771
m. Lubaczów,lubaczowski,1100,102,922,1493,1294,podkarpackie,:,11830,3553,"30,03%",4911
gm.w. Osielsko,bydgoski,903,367,1863,3260,1287,kujawsko-pomorskie,:,15347,4606,"30,01%",7680
