Rok;Miesiąc;Rok;Miesiąc;producent;czy_druga_dawka;kat_wiek;kat_zakazenia;plec; ile_osob 
BD;BD;BD;BD;BD;Pierwsza dawka;BD;Brak pozytywnego wyniku COVID;M; 2 
2021;marzec;;;BD;Pierwsza dawka;BD;Brak pozytywnego wyniku COVID;M; 1 
2021;marzec;2021;marzec;BD;Druga dawka;BD;Brak pozytywnego wyniku COVID;K; 1 
2021;marzec;2021;czerwiec;BD;Druga dawka;41-50 lat;Brak pozytywnego wyniku COVID;M; 1 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;BD;Brak pozytywnego wyniku COVID;K; 1 
2021;luty;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;K; 5 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;K; 58 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;K; 34 
2021;maj;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;K; 326 
2021;czerwiec;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;K; 30 
2021;lipiec;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;K; 44 
2021;sierpień;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;K; 33 
2021;luty;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;M; 1 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;M; 43 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;M; 99 
2021;maj;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;M; 412 
2021;czerwiec;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;M; 31 
2021;lipiec;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;M; 55 
2021;sierpień;;;Astra Zeneca;Pierwsza dawka;11-20 lat;Brak pozytywnego wyniku COVID;M; 49 
2021;maj;;;Astra Zeneca;Pierwsza dawka;11-20 lat;do 14 dni po pierwszej dawce;M; 1 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;11-20 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;K; 3 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;11-20 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;M; 3 
2021;luty;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;K; 349 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;K; 743 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;K; 259 
2021;maj;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;K; 1 116 
2021;czerwiec;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;K; 65 
2021;lipiec;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;K; 153 
2021;sierpień;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;K; 136 
2021;luty;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;M; 43 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;M; 309 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;M; 672 
2021;maj;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;M; 1 695 
2021;czerwiec;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;M; 161 
2021;lipiec;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;M; 181 
2021;sierpień;;;Astra Zeneca;Pierwsza dawka;21-30 lat;Brak pozytywnego wyniku COVID;M; 163 
2021;luty;;;Astra Zeneca;Pierwsza dawka;21-30 lat;do 14 dni po pierwszej dawce;K; 13 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;21-30 lat;do 14 dni po pierwszej dawce;K; 18 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;21-30 lat;do 14 dni po pierwszej dawce;K; 1 
2021;maj;;;Astra Zeneca;Pierwsza dawka;21-30 lat;do 14 dni po pierwszej dawce;K; 3 
2021;luty;;;Astra Zeneca;Pierwsza dawka;21-30 lat;do 14 dni po pierwszej dawce;M; 1 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;21-30 lat;do 14 dni po pierwszej dawce;M; 4 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;21-30 lat;do 14 dni po pierwszej dawce;M; 2 
2021;maj;;;Astra Zeneca;Pierwsza dawka;21-30 lat;do 14 dni po pierwszej dawce;M; 1 
2021;luty;;;Astra Zeneca;Pierwsza dawka;21-30 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;K; 49 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;21-30 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;K; 45 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;21-30 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;K; 2 
2021;maj;;;Astra Zeneca;Pierwsza dawka;21-30 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;K; 2 
2021;luty;;;Astra Zeneca;Pierwsza dawka;21-30 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;M; 4 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;21-30 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;M; 10 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;21-30 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;M; 6 
2021;maj;;;Astra Zeneca;Pierwsza dawka;21-30 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;M; 1 
2021;luty;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;K; 890 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;K; 1 354 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;K; 348 
2021;maj;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;K; 1 344 
2021;czerwiec;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;K; 71 
2021;lipiec;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;K; 172 
2021;sierpień;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;K; 129 
2021;luty;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;M; 108 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;M; 555 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;M; 878 
2021;maj;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;M; 2 292 
2021;czerwiec;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;M; 185 
2021;lipiec;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;M; 259 
2021;sierpień;;;Astra Zeneca;Pierwsza dawka;31-40 lat;Brak pozytywnego wyniku COVID;M; 230 
2021;luty;;;Astra Zeneca;Pierwsza dawka;31-40 lat;do 14 dni po pierwszej dawce;K; 45 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;31-40 lat;do 14 dni po pierwszej dawce;K; 52 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;31-40 lat;do 14 dni po pierwszej dawce;K; 3 
2021;maj;;;Astra Zeneca;Pierwsza dawka;31-40 lat;do 14 dni po pierwszej dawce;K; 3 
2021;luty;;;Astra Zeneca;Pierwsza dawka;31-40 lat;do 14 dni po pierwszej dawce;M; 4 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;31-40 lat;do 14 dni po pierwszej dawce;M; 18 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;31-40 lat;do 14 dni po pierwszej dawce;M; 8 
2021;maj;;;Astra Zeneca;Pierwsza dawka;31-40 lat;do 14 dni po pierwszej dawce;M; 4 
2021;luty;;;Astra Zeneca;Pierwsza dawka;31-40 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;K; 148 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;31-40 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;K; 118 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;31-40 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;K; 3 
2021;maj;;;Astra Zeneca;Pierwsza dawka;31-40 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;K; 2 
2021;luty;;;Astra Zeneca;Pierwsza dawka;31-40 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;M; 16 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;31-40 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;M; 31 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;31-40 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;M; 16 
2021;maj;;;Astra Zeneca;Pierwsza dawka;31-40 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;M; 2 
2021;lipiec;;;Astra Zeneca;Pierwsza dawka;31-40 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;M; 1 
2021;luty;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;K; 819 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;K; 1 332 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;K; 278 
2021;maj;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;K; 998 
2021;czerwiec;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;K; 67 
2021;lipiec;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;K; 144 
2021;sierpień;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;K; 117 
2021;luty;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;M; 143 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;M; 499 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;M; 806 
2021;maj;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;M; 1 984 
2021;czerwiec;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;M; 122 
2021;lipiec;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;M; 223 
2021;sierpień;;;Astra Zeneca;Pierwsza dawka;41-50 lat;Brak pozytywnego wyniku COVID;M; 160 
2021;luty;;;Astra Zeneca;Pierwsza dawka;41-50 lat;do 14 dni po pierwszej dawce;K; 36 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;41-50 lat;do 14 dni po pierwszej dawce;K; 58 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;41-50 lat;do 14 dni po pierwszej dawce;K; 11 
2021;maj;;;Astra Zeneca;Pierwsza dawka;41-50 lat;do 14 dni po pierwszej dawce;K; 2 
2021;luty;;;Astra Zeneca;Pierwsza dawka;41-50 lat;do 14 dni po pierwszej dawce;M; 6 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;41-50 lat;do 14 dni po pierwszej dawce;M; 28 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;41-50 lat;do 14 dni po pierwszej dawce;M; 14 
2021;maj;;;Astra Zeneca;Pierwsza dawka;41-50 lat;do 14 dni po pierwszej dawce;M; 9 
2021;luty;;;Astra Zeneca;Pierwsza dawka;41-50 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;K; 166 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;41-50 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;K; 113 
2021;kwiecień;;;Astra Zeneca;Pierwsza dawka;41-50 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;K; 2 
2021;maj;;;Astra Zeneca;Pierwsza dawka;41-50 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;K; 1 
2021;luty;;;Astra Zeneca;Pierwsza dawka;41-50 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;M; 31 
2021;marzec;;;Astra Zeneca;Pierwsza dawka;41-50 lat;powyżej 14 dni po pierwszej dawce, przed drugą dawką;M; 29 
