kod,wojew,ha,km2,ltotal,lkm2,p1,p2,p3,p4,p5
02,Dolnośląskie,1994670,19947,2901225,145,7,5,,,
04,Kujawsko-Pomorskie,1797134,17971,2077775,116,10,10,,,
06,Lubelskie,2512246,25123,2117619,84,3,9,,,
08,Lubuskie,1398793,13988,1014548,73,13,15,,,
10,Łódzkie,1821895,18219,2466322,135,9,6,,,
12,Małopolskie,1518279,15183,3400577,224,12,4,,,
14,Mazowieckie,3555847,35559,5403412,152,1,1,,,
16,Opolskie,941187,9412,986506,105,16,16,,,
18,Podkarpackie,1784576,17846,2129015,119,11,8,,,
20,Podlaskie,2018702,20187,1181533,59,6,14,,,
22,Pomorskie,1832368,18323,2333523,127,8,7,,,
24,Śląskie,1233309,12333,4533565,368,14,2,,,
26,Świętokrzyskie,1171050,11710,1241546,106,15,13,,,
28,Warmińsko-Mazurskie,2417347,24173,1428983,59,4,12,,,
30,Wielkopolskie,2982650,29826,3493969,117,2,3,,,
32,Zachodniopomorskie,2290472,22905,1701030,74,5,11,,,
