,lp,date,location,kwarantanna
0,1,2021-01-03,Biała Podlaska,16.615
1,2,2021-01-10,Biała Podlaska,17.74
2,3,2021-01-17,Biała Podlaska,18.70428571428571
3,4,2021-01-24,Biała Podlaska,16.847142857142856
4,5,2021-01-31,Biała Podlaska,21.31142857142857
5,6,2021-02-07,Biała Podlaska,16.775714285714283
6,7,2021-02-14,Biała Podlaska,16.061428571428568
7,8,2021-02-21,Biała Podlaska,14.025714285714285
8,9,2021-02-28,Biała Podlaska,16.775714285714283
9,10,2021-03-07,Biała Podlaska,17.63285714285714
10,11,2021-03-14,Biała Podlaska,28.808571428571423
11,12,2021-03-21,Biała Podlaska,35.122857142857136
12,13,2021-03-28,Biała Podlaska,38.15857142857142
13,14,2021-04-04,Biała Podlaska,49.40857142857143
14,15,2021-04-11,Biała Podlaska,41.65857142857142
15,16,2021-04-18,Biała Podlaska,46.76428571428572
16,17,2021-04-25,Biała Podlaska,33.034000000000006
17,18,2021-01-03,Białystok,23.957499999999996
18,19,2021-01-10,Białystok,24.901666666666667
19,20,2021-01-17,Białystok,23.98714285714286
20,21,2021-01-24,Białystok,20.005714285714284
21,22,2021-01-31,Białystok,21.434285714285718
22,23,2021-02-07,Białystok,22.009999999999998
23,24,2021-02-14,Białystok,19.897142857142857
24,25,2021-02-21,Białystok,20.404285714285717
25,26,2021-02-28,Białystok,23.725714285714286
26,27,2021-03-07,Białystok,27.66714285714286
27,28,2021-03-14,Białystok,26.782857142857146
28,29,2021-03-21,Białystok,32.978571428571435
29,30,2021-03-28,Białystok,43.99857142857143
30,31,2021-04-04,Białystok,53.044285714285714
31,32,2021-04-11,Białystok,43.558571428571426
32,33,2021-04-18,Białystok,43.784285714285716
33,34,2021-04-25,Białystok,31.110000000000003
34,35,2021-01-03,Bielsko-Biała,14.795
35,36,2021-01-10,Bielsko-Biała,12.456666666666669
36,37,2021-01-17,Bielsko-Biała,12.43857142857143
37,38,2021-01-24,Bielsko-Biała,11.695714285714287
38,39,2021-01-31,Bielsko-Biała,11.994285714285715
39,40,2021-02-07,Bielsko-Biała,11.061428571428573
40,41,2021-02-14,Bielsko-Biała,12.19714285714286
41,42,2021-02-21,Bielsko-Biała,14.622857142857143
42,43,2021-02-28,Bielsko-Biała,27.455714285714286
43,44,2021-03-07,Bielsko-Biała,41.519999999999996
44,45,2021-03-14,Bielsko-Biała,63.22285714285715
45,46,2021-03-21,Bielsko-Biała,93.28571428571429
46,47,2021-03-28,Bielsko-Biała,117.68142857142858
47,48,2021-04-04,Bielsko-Biała,140.28285714285713
48,49,2021-04-11,Bielsko-Biała,99.9442857142857
49,50,2021-04-18,Bielsko-Biała,64.34714285714286
50,51,2021-04-25,Bielsko-Biała,42.724000000000004
51,52,2021-01-03,Bydgoszcz,45.7875
52,53,2021-01-10,Bydgoszcz,55.251666666666665
53,54,2021-01-17,Bydgoszcz,53.394285714285715
54,55,2021-01-24,Bydgoszcz,39.30571428571428
55,56,2021-01-31,Bydgoszcz,34.17285714285715
56,57,2021-02-07,Bydgoszcz,29.684285714285714
57,58,2021-02-14,Bydgoszcz,28.712857142857143
58,59,2021-02-21,Bydgoszcz,30.437142857142856
59,60,2021-02-28,Bydgoszcz,35.62428571428571
60,61,2021-03-07,Bydgoszcz,44.25142857142857
61,62,2021-03-14,Bydgoszcz,51.128571428571426
62,63,2021-03-21,Bydgoszcz,67.60857142857142
63,64,2021-03-28,Bydgoszcz,84.75999999999999
64,65,2021-04-04,Bydgoszcz,95.22142857142856
65,66,2021-04-11,Bydgoszcz,71.85142857142857
66,67,2021-04-18,Bydgoszcz,59.27857142857143
67,68,2021-04-25,Bydgoszcz,39.814
68,69,2021-01-03,Bytom,23.275
69,70,2021-01-10,Bytom,17.834999999999997
70,71,2021-01-17,Bytom,15.239999999999998
71,72,2021-01-24,Bytom,12.705714285714285
72,73,2021-01-31,Bytom,10.594285714285714
73,74,2021-02-07,Bytom,8.322857142857144
74,75,2021-02-14,Bytom,10.05285714285714
75,76,2021-02-21,Bytom,11.274285714285714
76,77,2021-02-28,Bytom,14.301428571428572
77,78,2021-03-07,Bytom,21.277142857142856
78,79,2021-03-14,Bytom,26.057142857142857
79,80,2021-03-21,Bytom,41.89857142857143
80,81,2021-03-28,Bytom,56.57000000000001
81,82,2021-04-04,Bytom,75.42857142857143
82,83,2021-04-11,Bytom,65.71000000000001
83,84,2021-04-18,Bytom,62.54571428571429
84,85,2021-04-25,Bytom,48.510000000000005
85,86,2021-01-03,Chełm,24.5075
86,87,2021-01-10,Chełm,23.22
87,88,2021-01-17,Chełm,18.124285714285715
88,89,2021-01-24,Chełm,17.43285714285714
89,90,2021-01-31,Chełm,26.098571428571432
90,91,2021-02-07,Chełm,13.675714285714287
91,92,2021-02-14,Chełm,8.831428571428573
92,93,2021-02-21,Chełm,11.864285714285716
93,94,2021-02-28,Chełm,16.377142857142857
94,95,2021-03-07,Chełm,15.618571428571428
95,96,2021-03-14,Chełm,22.77
96,97,2021-03-21,Chełm,35.224285714285706
97,98,2021-03-28,Chełm,40.23428571428571
98,99,2021-04-04,Chełm,49.528571428571425
99,100,2021-04-11,Chełm,36.74142857142857
100,101,2021-04-18,Chełm,36.347142857142856
101,102,2021-04-25,Chełm,25.326
102,103,2021-01-03,Chorzów,19.0475
103,104,2021-01-10,Chorzów,17.444999999999997
104,105,2021-01-17,Chorzów,17.64142857142857
105,106,2021-01-24,Chorzów,14.5
106,107,2021-01-31,Chorzów,10.108571428571427
107,108,2021-02-07,Chorzów,11.697142857142856
108,109,2021-02-14,Chorzów,12.022857142857143
109,110,2021-02-21,Chorzów,10.77
110,111,2021-02-28,Chorzów,11.262857142857143
111,112,2021-03-07,Chorzów,17.15142857142857
112,113,2021-03-14,Chorzów,31.33142857142857
113,114,2021-03-21,Chorzów,43.50285714285714
114,115,2021-03-28,Chorzów,67.9042857142857
115,116,2021-04-04,Chorzów,89.80571428571429
116,117,2021-04-11,Chorzów,65.53571428571429
117,118,2021-04-18,Chorzów,59.611428571428576
118,119,2021-04-25,Chorzów,44.818
119,120,2021-01-03,Częstochowa,16.9825
120,121,2021-01-10,Częstochowa,15.866666666666669
121,122,2021-01-17,Częstochowa,12.767142857142858
122,123,2021-01-24,Częstochowa,11.027142857142858
123,124,2021-01-31,Częstochowa,9.778571428571427
124,125,2021-02-07,Częstochowa,9.84142857142857
125,126,2021-02-14,Częstochowa,11.285714285714286
126,127,2021-02-21,Częstochowa,13.498571428571427
127,128,2021-02-28,Częstochowa,17.637142857142855
128,129,2021-03-07,Częstochowa,22.73714285714286
129,130,2021-03-14,Częstochowa,29.830000000000002
130,131,2021-03-21,Częstochowa,44.52428571428571
131,132,2021-03-28,Częstochowa,63.962857142857146
132,133,2021-04-04,Częstochowa,78.51714285714286
133,134,2021-04-11,Częstochowa,63.69571428571429
134,135,2021-04-18,Częstochowa,58.41142857142858
135,136,2021-04-25,Częstochowa,49.188
136,137,2021-01-03,Dąbrowa Górnicza,17.802500000000002
137,138,2021-01-10,Dąbrowa Górnicza,16.256666666666664
138,139,2021-01-17,Dąbrowa Górnicza,15.147142857142857
139,140,2021-01-24,Dąbrowa Górnicza,11.832857142857142
