,lp,date,location,new_cases,total_deaths,new_deaths,total_cases
0,1,2021-02-25,Biała Podlaska,23.0,98.0,0.0,3014.0
1,2,2021-02-25,Białystok,104.0,267.0,9.0,13912.0
2,3,2021-02-25,Bielsko-Biała,79.0,112.0,1.0,7237.0
3,4,2021-02-25,Bydgoszcz,213.0,454.0,4.0,22998.0
4,5,2021-02-25,Bytom,42.0,165.0,0.0,5916.0
5,6,2021-02-25,Chełm,11.0,81.0,1.0,2755.0
6,7,2021-02-25,Chorzów,11.0,147.0,1.0,3945.0
7,8,2021-02-25,Częstochowa,85.0,291.0,0.0,9561.0
8,9,2021-02-25,Dąbrowa Górnicza,42.0,100.0,1.0,4690.0
9,10,2021-02-25,Elbląg,24.0,188.0,5.0,6691.0
10,11,2021-02-25,Gdańsk,339.0,523.0,8.0,24452.0
11,12,2021-02-25,Gdynia,120.0,233.0,1.0,13199.0
12,13,2021-02-25,Gliwice,32.0,145.0,1.0,7394.0
13,14,2021-02-25,Gorzów Wielkopolski,87.0,178.0,1.0,6910.0
14,15,2021-02-25,Grudziądz,46.0,119.0,0.0,5734.0
15,16,2021-02-25,Jastrzębie-Zdrój,29.0,58.0,0.0,4109.0
16,17,2021-02-25,Jaworzno,11.0,86.0,0.0,3169.0
17,18,2021-02-25,Jelenia Góra,21.0,74.0,1.0,2679.0
18,19,2021-02-25,Kalisz,30.0,149.0,1.0,3252.0
19,20,2021-02-25,Katowice,84.0,310.0,1.0,11830.0
20,21,2021-02-25,Kielce,77.0,147.0,3.0,2619.0
21,22,2021-02-25,Konin,20.0,112.0,2.0,3237.0
22,23,2021-02-25,Koszalin,24.0,94.0,4.0,3220.0
23,24,2021-02-25,Kraków,229.0,521.0,2.0,36340.0
24,25,2021-02-25,Krosno,23.0,44.0,1.0,1631.0
25,26,2021-02-25,Legnica,16.0,80.0,0.0,3096.0
26,27,2021-02-25,Leszno,2.0,86.0,1.0,2835.0
27,28,2021-02-25,Lublin,94.0,398.0,3.0,17767.0
28,29,2021-02-25,Mysłowice,8.0,71.0,0.0,2554.0
29,30,2021-02-25,Nowy Sącz,27.0,62.0,0.0,3140.0
30,31,2021-02-25,Olsztyn,211.0,210.0,1.0,13365.0
31,32,2021-02-25,Opole,38.0,140.0,1.0,5625.0
32,33,2021-02-25,Ostrołęka,19.0,32.0,0.0,651.0
33,34,2021-02-25,Piekary Śląskie,5.0,59.0,0.0,2174.0
34,35,2021-02-25,Piotrków Trybunalski,18.0,108.0,1.0,2916.0
35,36,2021-02-25,Poznań,223.0,677.0,1.0,32023.0
36,37,2021-02-25,Przemyśl,17.0,99.0,0.0,3001.0
37,38,2021-02-25,Płock,24.0,148.0,2.0,2575.0
38,39,2021-02-25,Radom,37.0,298.0,0.0,2966.0
39,40,2021-02-25,Ruda Śląska,31.0,159.0,0.0,7327.0
40,41,2021-02-25,Rybnik,11.0,186.0,2.0,6556.0
41,42,2021-02-25,Rzeszów,139.0,189.0,0.0,10069.0
42,43,2021-02-25,Siedlce,10.0,101.0,0.0,1040.0
43,44,2021-02-25,Siemianowice Śląskie,37.0,59.0,1.0,1922.0
44,45,2021-02-25,Skierniewice,11.0,40.0,0.0,2295.0
45,46,2021-02-25,Sopot,27.0,47.0,1.0,1536.0
46,47,2021-02-25,Sosnowiec,83.0,157.0,0.0,6461.0
47,48,2021-02-25,Suwałki,19.0,69.0,0.0,2876.0
48,49,2021-02-25,Szczecin,113.0,389.0,3.0,23605.0
49,50,2021-02-25,Słupsk,39.0,138.0,2.0,5734.0
50,51,2021-02-25,Tarnobrzeg,14.0,67.0,0.0,1716.0
51,52,2021-02-25,Tarnów,30.0,40.0,0.0,3855.0
52,53,2021-02-25,Toruń,73.0,251.0,0.0,14366.0
53,54,2021-02-25,Tychy,37.0,152.0,1.0,4945.0
54,55,2021-02-25,Warszawa,803.0,1130.0,11.0,39200.0
55,56,2021-02-25,Wałbrzych,28.0,115.0,1.0,3396.0
56,57,2021-02-25,Wrocław,234.0,367.0,2.0,30482.0
57,58,2021-02-25,Włocławek,35.0,172.0,0.0,4680.0
58,59,2021-02-25,Zabrze,35.0,141.0,3.0,6428.0
59,60,2021-02-25,Zamość,9.0,82.0,0.0,2456.0
60,61,2021-02-25,Zielona Góra,92.0,140.0,0.0,6350.0
61,62,2021-02-25,aleksandrowski,10.0,71.0,0.0,3014.0
62,63,2021-02-25,augustowski,5.0,87.0,0.0,1694.0
63,64,2021-02-25,bartoszycki,52.0,106.0,0.0,3589.0
64,65,2021-02-25,bełchatowski,5.0,119.0,2.0,4479.0
65,66,2021-02-25,bialski,14.0,199.0,0.0,4221.0
66,67,2021-02-25,białobrzeski,2.0,25.0,0.0,1175.0
67,68,2021-02-25,białogardzki,9.0,50.0,0.0,2400.0
68,69,2021-02-25,białostocki,34.0,150.0,3.0,6545.0
69,70,2021-02-25,bielski (podlaskie),24.0,60.0,0.0,2386.0
70,71,2021-02-25,bielski (śląskie),72.0,125.0,0.0,7568.0
71,72,2021-02-25,bieruńsko-lędziński,29.0,45.0,0.0,2284.0
72,73,2021-02-25,bieszczadzki,11.0,22.0,0.0,626.0
73,74,2021-02-25,biłgorajski,21.0,142.0,1.0,2679.0
74,75,2021-02-25,bocheński,21.0,91.0,0.0,3961.0
75,76,2021-02-25,bolesławiecki,11.0,123.0,0.0,3514.0
76,77,2021-02-25,braniewski,4.0,56.0,0.0,1743.0
77,78,2021-02-25,brodnicki,16.0,77.0,0.0,3011.0
78,79,2021-02-25,brzeski (małopolskie),19.0,51.0,0.0,2673.0
79,80,2021-02-25,brzeski (opolskie),13.0,41.0,0.0,2744.0
80,81,2021-02-25,brzeziński,4.0,24.0,0.0,1408.0
81,82,2021-02-25,brzozowski,24.0,60.0,1.0,1858.0
82,83,2021-02-25,buski,11.0,71.0,0.0,1825.0
83,84,2021-02-25,bydgoski,59.0,111.0,0.0,7675.0
84,85,2021-02-25,bytowski,17.0,81.0,0.0,3346.0
85,86,2021-02-25,będziński,44.0,129.0,0.0,6082.0
86,87,2021-02-25,chełmiński,34.0,61.0,0.0,3099.0
87,88,2021-02-25,chełmski,10.0,95.0,1.0,2421.0
88,89,2021-02-25,chodzieski,5.0,51.0,0.0,1937.0
89,90,2021-02-25,chojnicki,19.0,106.0,2.0,4152.0
90,91,2021-02-25,choszczeński,9.0,49.0,0.0,2169.0
91,92,2021-02-25,chrzanowski,23.0,52.0,0.0,3773.0
92,93,2021-02-25,ciechanowski,49.0,91.0,9.0,3326.0
93,94,2021-02-25,cieszyński,75.0,237.0,1.0,8209.0
94,95,2021-02-25,czarnkowsko-trzcianecki,7.0,111.0,0.0,4352.0
95,96,2021-02-25,częstochowski,19.0,161.0,0.0,4643.0
96,97,2021-02-25,człuchowski,5.0,99.0,0.0,2192.0
97,98,2021-02-25,drawski,9.0,65.0,0.0,2365.0
98,99,2021-02-25,działdowski,52.0,123.0,4.0,4145.0
99,100,2021-02-25,dzierżoniowski,31.0,53.0,0.0,3261.0
100,101,2021-02-25,dąbrowski,10.0,58.0,0.0,1518.0
101,102,2021-02-25,dębicki,36.0,171.0,1.0,3514.0
102,103,2021-02-25,elbląski,13.0,62.0,0.0,2754.0
103,104,2021-02-25,ełcki,21.0,96.0,0.0,3886.0
104,105,2021-02-25,garwoliński,6.0,57.0,0.0,3588.0
105,106,2021-02-25,gdański,68.0,88.0,0.0,7243.0
106,107,2021-02-25,giżycki,18.0,35.0,0.0,2983.0
107,108,2021-02-25,gliwicki,19.0,107.0,6.0,5587.0
108,109,2021-02-25,gnieźnieński,72.0,212.0,0.0,7407.0
109,110,2021-02-25,goleniowski,37.0,96.0,1.0,4440.0
110,111,2021-02-25,golubsko-dobrzyński,37.0,55.0,0.0,2146.0
111,112,2021-02-25,gorlicki,8.0,58.0,0.0,3013.0
112,113,2021-02-25,gorzowski,23.0,71.0,0.0,3230.0
113,114,2021-02-25,gostyniński,6.0,55.0,2.0,1432.0
114,115,2021-02-25,gostyński,16.0,121.0,0.0,3062.0
115,116,2021-02-25,gołdapski,7.0,36.0,0.0,1046.0
116,117,2021-02-25,grajewski,15.0,51.0,0.0,1365.0
117,118,2021-02-25,grodziski (mazowieckie),75.0,68.0,0.0,4629.0
118,119,2021-02-25,grodziski (wielkopolskie),12.0,65.0,0.0,2254.0
119,120,2021-02-25,grudziądzki,11.0,42.0,0.0,2138.0
120,121,2021-02-25,gryficki,12.0,73.0,1.0,2757.0
121,122,2021-02-25,gryfiński,8.0,67.0,0.0,4218.0
122,123,2021-02-25,grójecki,30.0,89.0,2.0,3830.0
123,124,2021-02-25,górowski,3.0,16.0,0.0,1115.0
124,125,2021-02-25,głogowski,6.0,51.0,0.0,3331.0
125,126,2021-02-25,głubczycki,17.0,56.0,0.0,2882.0
126,127,2021-02-25,hajnowski,8.0,86.0,0.0,1990.0
127,128,2021-02-25,hrubieszowski,14.0,91.0,0.0,1919.0
128,129,2021-02-25,inowrocławski,92.0,214.0,0.0,8309.0
129,130,2021-02-25,iławski,35.0,108.0,0.0,4312.0
130,131,2021-02-25,janowski,3.0,74.0,1.0,1412.0
131,132,2021-02-25,jarociński,23.0,91.0,0.0,2717.0
132,133,2021-02-25,jarosławski,68.0,185.0,3.0,4661.0
133,134,2021-02-25,jasielski,7.0,115.0,0.0,3203.0
134,135,2021-02-25,jaworski,12.0,47.0,0.0,1549.0
135,136,2021-02-25,jeleniogórski,6.0,67.0,0.0,2020.0
136,137,2021-02-25,jędrzejowski,31.0,54.0,0.0,2598.0
137,138,2021-02-25,kaliski,19.0,94.0,0.0,2102.0
138,139,2021-02-25,kamiennogórski,19.0,20.0,0.0,1249.0
139,140,2021-02-25,kamieński,5.0,51.0,0.0,1752.0
140,141,2021-02-25,kartuski,59.0,158.0,0.0,6872.0
141,142,2021-02-25,kazimierski,2.0,32.0,0.0,1041.0
142,143,2021-02-25,kielecki,58.0,146.0,3.0,14464.0
143,144,2021-02-25,kluczborski,8.0,44.0,0.0,2663.0
144,145,2021-02-25,kolbuszowski,19.0,60.0,0.0,1784.0
145,146,2021-02-25,kolneński,16.0,57.0,1.0,1099.0
146,147,2021-02-25,kolski,3.0,98.0,0.0,1787.0
147,148,2021-02-25,konecki,11.0,119.0,2.0,2548.0
148,149,2021-02-25,koniński,25.0,130.0,2.0,4319.0
149,150,2021-02-25,koszaliński,16.0,91.0,2.0,5185.0
