location,grupa,marka,total,share
Polska,Age18_24,AZ,49001,0.017790959762753317
Polska,Age18_24,COM,87385,0.031727169218346535
Polska,Age18_24,JANSS,2084,0.0007566449694001737
Polska,Age18_24,MOD,9527,0.003459000299172483
Polska,Age25_49,AZ,624525,0.04449538905153735
Polska,Age25_49,COM,1041946,0.07423528704326189
Polska,Age25_49,JANSS,48643,0.003465656634456477
Polska,Age25_49,MOD,179894,0.012816866447359609
Polska,Age50_59,AZ,362226,0.07863573535742499
Polska,Age50_59,COM,949331,0.20609051057240405
Polska,Age50_59,JANSS,34433,0.007475068812184147
Polska,Age50_59,MOD,170736,0.03706512208396226
Polska,Age60_69,AZ,1041856,0.20114556843253897
Polska,Age60_69,COM,1350760,0.2607840123932063
Polska,Age60_69,JANSS,44662,0.008622653588724407
Polska,Age60_69,MOD,216175,0.04173575163545069
Polska,Age70_79,AZ,1033,0.0003711604386807384
Polska,Age70_79,COM,1754666,0.630457504644895
Polska,Age70_79,JANSS,11652,0.004186603515496577
Polska,Age70_79,MOD,203620,0.07316136352775601
Polska,Age80+,AZ,142,8.423505376509929e-05
Polska,Age80+,COM,900468,0.5341617633362776
Polska,Age80+,JANSS,2160,0.0012813219445958763
Polska,Age80+,MOD,56625,0.033590210700343286
