location,grupa,marka,total1,total2
Polska,Age18_24,AZ,48086,1032
Polska,Age18_24,COM,78142,59619
Polska,Age18_24,JANSS,578,0
Polska,Age18_24,MOD,7362,2469
Polska,Age25_49,AZ,597159,38785
Polska,Age25_49,COM,738392,408832
Polska,Age25_49,JANSS,9844,0
Polska,Age25_49,MOD,108944,10800
Polska,Age50_59,AZ,352622,23777
Polska,Age50_59,COM,788243,227890
Polska,Age50_59,JANSS,25167,0
Polska,Age50_59,MOD,151292,4213
Polska,Age60_69,AZ,1030878,1898
Polska,Age60_69,COM,1187902,235452
Polska,Age60_69,JANSS,38579,0
Polska,Age60_69,MOD,201493,21214
Polska,Age70_79,AZ,1025,255
Polska,Age70_79,COM,1699522,799317
Polska,Age70_79,JANSS,9874,0
Polska,Age70_79,MOD,200909,154844
Polska,Age80+,AZ,141,33
Polska,Age80+,COM,889144,714387
Polska,Age80+,JANSS,1784,0
Polska,Age80+,MOD,55918,47532
